    NUMERO_CITTA':          x:                 y:
           1       -3.773506e-01        -3.300820e-01
           2        2.296494e-01        -1.688343e-01
           3       -2.288530e-02         7.183458e-02
           4        2.050290e-01        -4.139928e-01
           5        1.560187e-01         4.054837e-01
           6       -1.285037e-01         3.365666e-01
           7        2.760479e-01        -4.788624e-01
           8       -3.316753e-01         7.243873e-02
           9       -2.207670e-01         4.585790e-02
          10       -4.826983e-01         8.317875e-02
          11       -4.353571e-01         2.546537e-01
          12       -2.668432e-01        -3.067070e-01
          13       -6.773697e-03         2.560475e-01
          14       -2.086209e-02        -5.740304e-03
          15       -2.421065e-01        -2.607318e-01
          16       -2.820342e-02         8.491692e-02
          17        1.168095e-01         8.046828e-02
          18       -4.160461e-01        -3.407409e-01
          19        4.318655e-01         2.540516e-01
          20        1.857787e-03        -4.757160e-01
          21        1.860058e-01        -1.306493e-01
          22        1.519547e-01        -2.861484e-01
          23        1.783800e-01        -4.017855e-01
          24       -3.790402e-01         1.801369e-01
          25        7.726915e-02         3.400049e-01
          26       -4.472392e-01        -4.649252e-02
          27        2.657639e-01         4.702670e-01
          28       -2.738901e-01         4.946104e-01
          29        4.188554e-01         4.398755e-01
          30        3.132855e-01        -4.820576e-01
          31       -3.661961e-01        -4.465205e-01
          32        2.134228e-01        -3.882231e-01
          33        4.854752e-01        -1.009782e-01
          34       -2.272485e-01        -2.486348e-01
