#     BLOCK:          ACTUAL_KE:              KE_AVE:              ERROR:
           1         1.844200e+00         1.844200e+00         0.000000e+00
           2         1.825808e+00         1.835004e+00         6.502731e-03
           3         1.831282e+00         1.833763e+00         4.451976e-03
           4         1.765777e+00         1.816767e+00         1.509339e-02
           5         1.762664e+00         1.805946e+00         1.547473e-02
           6         1.781315e+00         1.801841e+00         1.342911e-02
           7         1.799984e+00         1.801576e+00         1.151329e-02
           8         1.775281e+00         1.798289e+00         1.053285e-02
           9         1.812564e+00         1.799875e+00         9.481212e-03
          10         1.827911e+00         1.802679e+00         8.938012e-03
          11         1.779359e+00         1.800559e+00         8.373106e-03
          12         1.843712e+00         1.804155e+00         8.412198e-03
          13         1.817027e+00         1.805145e+00         7.823161e-03
          14         1.831568e+00         1.807032e+00         7.488573e-03
          15         1.915092e+00         1.814236e+00         9.863509e-03
          16         1.872888e+00         1.817902e+00         9.904822e-03
          17         1.846306e+00         1.819573e+00         9.462056e-03
          18         1.846488e+00         1.821068e+00         9.053767e-03
          19         1.906055e+00         1.825541e+00         9.618939e-03
          20         1.871064e+00         1.827817e+00         9.403443e-03
          21         1.836777e+00         1.828244e+00         8.965334e-03
          22         1.880138e+00         1.830603e+00         8.862697e-03
          23         1.899841e+00         1.833613e+00         8.974068e-03
          24         1.845226e+00         1.834097e+00         8.613183e-03
          25         1.825826e+00         1.833766e+00         8.275007e-03
          26         1.803983e+00         1.832621e+00         8.035632e-03
          27         1.745492e+00         1.829394e+00         8.360892e-03
          28         1.772482e+00         1.827361e+00         8.305675e-03
          29         1.797697e+00         1.826338e+00         8.082016e-03
          30         1.820542e+00         1.826145e+00         7.814924e-03
          31         1.803493e+00         1.825414e+00         7.596914e-03
          32         1.731808e+00         1.822489e+00         7.902640e-03
          33         1.769200e+00         1.820874e+00         7.826410e-03
          34         1.788817e+00         1.819931e+00         7.652804e-03
          35         1.741135e+00         1.817680e+00         7.758242e-03
          36         1.850612e+00         1.818595e+00         7.596475e-03
          37         1.812807e+00         1.818438e+00         7.392775e-03
          38         1.821589e+00         1.818521e+00         7.198693e-03
          39         1.774032e+00         1.817381e+00         7.103920e-03
          40         1.784688e+00         1.816563e+00         6.973179e-03
          41         1.884854e+00         1.818229e+00         6.999201e-03
          42         1.900767e+00         1.820194e+00         7.103082e-03
          43         1.866242e+00         1.821265e+00         7.018154e-03
          44         1.854494e+00         1.822020e+00         6.899164e-03
          45         1.816362e+00         1.821894e+00         6.746995e-03
          46         1.831115e+00         1.822095e+00         6.603298e-03
          47         1.869835e+00         1.823111e+00         6.540458e-03
          48         1.819980e+00         1.823045e+00         6.404524e-03
          49         1.843537e+00         1.823464e+00         6.287457e-03
          50         1.827937e+00         1.823553e+00         6.162345e-03
          51         1.808391e+00         1.823256e+00         6.048681e-03
          52         1.763098e+00         1.822099e+00         6.041981e-03
          53         1.807114e+00         1.821816e+00         5.934593e-03
          54         1.777590e+00         1.820997e+00         5.880936e-03
          55         1.778603e+00         1.820226e+00         5.824305e-03
          56         1.817435e+00         1.820176e+00         5.720513e-03
          57         1.788252e+00         1.819616e+00         5.647504e-03
          58         1.844797e+00         1.820051e+00         5.566796e-03
          59         1.835539e+00         1.820313e+00         5.478630e-03
          60         1.833668e+00         1.820536e+00         5.391839e-03
          61         1.858329e+00         1.821155e+00         5.338925e-03
          62         1.840540e+00         1.821468e+00         5.261960e-03
          63         1.867655e+00         1.822201e+00         5.229261e-03
          64         1.785044e+00         1.821620e+00         5.179682e-03
          65         1.782276e+00         1.821015e+00         5.135241e-03
          66         1.753797e+00         1.819997e+00         5.157438e-03
          67         1.819700e+00         1.819992e+00         5.080463e-03
          68         1.853755e+00         1.820489e+00         5.029954e-03
          69         1.857532e+00         1.821026e+00         4.985624e-03
          70         1.865431e+00         1.821660e+00         4.954594e-03
          71         1.821973e+00         1.821664e+00         4.884813e-03
          72         1.807784e+00         1.821472e+00         4.820771e-03
          73         1.819067e+00         1.821439e+00         4.754846e-03
          74         1.813836e+00         1.821336e+00         4.691701e-03
          75         1.761540e+00         1.820539e+00         4.696398e-03
          76         1.800065e+00         1.820269e+00         4.642323e-03
          77         1.853839e+00         1.820705e+00         4.602459e-03
          78         1.893568e+00         1.821639e+00         4.637282e-03
          79         1.859190e+00         1.822115e+00         4.602878e-03
          80         1.830903e+00         1.822225e+00         4.546653e-03
          81         1.828101e+00         1.822297e+00         4.491100e-03
          82         1.832662e+00         1.822423e+00         4.438109e-03
          83         1.815842e+00         1.822344e+00         4.385346e-03
          84         1.787709e+00         1.821932e+00         4.352480e-03
          85         1.785450e+00         1.821503e+00         4.322385e-03
          86         1.757746e+00         1.820761e+00         4.335236e-03
          87         1.780448e+00         1.820298e+00         4.310098e-03
          88         1.815563e+00         1.820244e+00         4.261456e-03
          89         1.824337e+00         1.820290e+00         4.213822e-03
          90         1.810136e+00         1.820177e+00         4.168512e-03
          91         1.770941e+00         1.819636e+00         4.157670e-03
          92         1.824607e+00         1.819690e+00         4.112829e-03
          93         1.813301e+00         1.819622e+00         4.069179e-03
          94         1.756099e+00         1.818946e+00         4.081618e-03
          95         1.755458e+00         1.818277e+00         4.092999e-03
          96         1.804036e+00         1.818129e+00         4.053051e-03
          97         1.804187e+00         1.817985e+00         4.013815e-03
          98         1.741470e+00         1.817205e+00         4.048083e-03
          99         1.761505e+00         1.816642e+00         4.046103e-03
         100         1.749695e+00         1.815973e+00         4.060650e-03
