#     BLOCK:          ACTUAL_PE:              PE_AVE:              ERROR:
           1        -4.341134e-01        -4.341134e-01         0.000000e+00
           2        -4.156057e-01        -4.248596e-01         6.543448e-03
           3        -4.210825e-01        -4.236005e-01         4.481787e-03
           4        -3.556309e-01        -4.066081e-01         1.509487e-02
           5        -3.524648e-01        -3.957794e-01         1.548016e-02
           6        -3.711351e-01        -3.916721e-01         1.343400e-02
           7        -3.898336e-01        -3.914094e-01         1.151742e-02
           8        -3.650588e-01        -3.881156e-01         1.053822e-02
           9        -4.024320e-01        -3.897063e-01         9.486604e-03
          10        -4.177782e-01        -3.925135e-01         8.943643e-03
          11        -3.691582e-01        -3.903903e-01         8.378819e-03
          12        -4.336839e-01        -3.939981e-01         8.421574e-03
          13        -4.068866e-01        -3.949895e-01         7.831901e-03
          14        -4.215096e-01        -3.968838e-01         7.498066e-03
          15        -5.051544e-01        -4.041018e-01         9.879347e-03
          16        -4.629105e-01        -4.077774e-01         9.922088e-03
          17        -4.361995e-01        -4.094493e-01         9.478247e-03
          18        -4.363250e-01        -4.109424e-01         9.068518e-03
          19        -4.959413e-01        -4.154160e-01         9.631676e-03
          20        -4.609597e-01        -4.176932e-01         9.415438e-03
          21        -4.266591e-01        -4.181201e-01         8.976759e-03
          22        -4.700531e-01        -4.204807e-01         8.873676e-03
          23        -4.898266e-01        -4.234958e-01         8.985491e-03
          24        -4.351391e-01        -4.239809e-01         8.624182e-03
          25        -4.156347e-01        -4.236470e-01         8.285674e-03
          26        -3.937022e-01        -4.224953e-01         8.046643e-03
          27        -3.352848e-01        -4.192653e-01         8.371840e-03
          28        -3.623629e-01        -4.172331e-01         8.315846e-03
          29        -3.875856e-01        -4.162107e-01         8.091689e-03
          30        -4.104547e-01        -4.160189e-01         7.824241e-03
          31        -3.932716e-01        -4.152851e-01         7.606176e-03
          32        -3.215910e-01        -4.123572e-01         7.911983e-03
          33        -3.589997e-01        -4.107403e-01         7.835698e-03
          34        -3.786934e-01        -4.097977e-01         7.661717e-03
          35        -3.309900e-01        -4.075461e-01         7.766627e-03
          36        -4.404075e-01        -4.084589e-01         7.604340e-03
          37        -4.026706e-01        -4.083024e-01         7.400427e-03
          38        -4.115345e-01        -4.083875e-01         7.206167e-03
          39        -3.638873e-01        -4.072465e-01         7.111156e-03
          40        -3.745598e-01        -4.064293e-01         6.980171e-03
          41        -4.747964e-01        -4.080968e-01         7.006266e-03
          42        -4.907620e-01        -4.100650e-01         7.110537e-03
          43        -4.562384e-01        -4.111388e-01         7.025788e-03
          44        -4.444830e-01        -4.118966e-01         6.906860e-03
          45        -4.064298e-01        -4.117751e-01         6.754443e-03
          46        -4.210086e-01        -4.119759e-01         6.610589e-03
          47        -4.597471e-01        -4.129923e-01         6.547611e-03
          48        -4.099152e-01        -4.129282e-01         6.411516e-03
          49        -4.333858e-01        -4.133457e-01         6.294247e-03
          50        -4.178328e-01        -4.134354e-01         6.169002e-03
          51        -3.982397e-01        -4.131375e-01         6.055233e-03
          52        -3.530130e-01        -4.119812e-01         6.048170e-03
          53        -3.969346e-01        -4.116973e-01         5.940713e-03
          54        -3.674000e-01        -4.108770e-01         5.887064e-03
          55        -3.684373e-01        -4.101054e-01         5.830377e-03
          56        -4.075075e-01        -4.100590e-01         5.726447e-03
          57        -3.782408e-01        -4.095008e-01         5.653125e-03
          58        -4.347825e-01        -4.099367e-01         5.572437e-03
          59        -4.255116e-01        -4.102006e-01         5.484238e-03
          60        -4.235790e-01        -4.104236e-01         5.397365e-03
          61        -4.483400e-01        -4.110452e-01         5.344556e-03
          62        -4.304653e-01        -4.113584e-01         5.267524e-03
          63        -4.575194e-01        -4.120911e-01         5.234625e-03
          64        -3.747861e-01        -4.115082e-01         5.185186e-03
          65        -3.721158e-01        -4.109022e-01         5.140708e-03
          66        -3.436071e-01        -4.098826e-01         5.162946e-03
          67        -4.095200e-01        -4.098772e-01         5.085890e-03
          68        -4.435163e-01        -4.103719e-01         5.035099e-03
          69        -4.473755e-01        -4.109082e-01         4.990604e-03
          70        -4.554886e-01        -4.115450e-01         4.959779e-03
          71        -4.119675e-01        -4.115510e-01         4.889927e-03
          72        -3.976428e-01        -4.113578e-01         4.825825e-03
          73        -4.089167e-01        -4.113244e-01         4.759833e-03
          74        -4.038395e-01        -4.112232e-01         4.696586e-03
          75        -3.514870e-01        -4.104267e-01         4.701016e-03
          76        -3.899893e-01        -4.101578e-01         4.646846e-03
          77        -4.437104e-01        -4.105936e-01         4.606883e-03
          78        -4.833939e-01        -4.115269e-01         4.641403e-03
          79        -4.490911e-01        -4.120024e-01         4.606943e-03
          80        -4.208481e-01        -4.121130e-01         4.550683e-03
          81        -4.181029e-01        -4.121869e-01         4.495102e-03
          82        -4.226299e-01        -4.123143e-01         4.442088e-03
          83        -4.058156e-01        -4.122360e-01         4.389259e-03
          84        -3.776956e-01        -4.118248e-01         4.356224e-03
          85        -3.753118e-01        -4.113952e-01         4.326102e-03
          86        -3.475200e-01        -4.106525e-01         4.339089e-03
          87        -3.702497e-01        -4.101881e-01         4.313994e-03
          88        -4.054227e-01        -4.101339e-01         4.265312e-03
          89        -4.142022e-01        -4.101796e-01         4.217632e-03
          90        -3.999090e-01        -4.100655e-01         4.172313e-03
          91        -3.607214e-01        -4.095233e-01         4.161549e-03
          92        -4.144109e-01        -4.095764e-01         4.116654e-03
          93        -4.031268e-01        -4.095071e-01         4.072973e-03
          94        -3.460207e-01        -4.088317e-01         4.085257e-03
          95        -3.454086e-01        -4.081641e-01         4.096441e-03
          96        -3.939332e-01        -4.080158e-01         4.056451e-03
          97        -3.940797e-01        -4.078721e-01         4.017176e-03
          98        -3.312624e-01        -4.070904e-01         4.051532e-03
          99        -3.513556e-01        -4.065274e-01         4.049532e-03
         100        -3.396738e-01        -4.058589e-01         4.063847e-03
