#     BLOCK:          ACTUAL_P:              P_AVE:              ERROR:
           1         4.961537e-02         4.961537e-02         0.000000e+00
           2         5.126006e-02         5.043771e-02         5.814849e-04
           3         4.965654e-02         5.017732e-02         4.421312e-04
           4         4.973050e-02         5.006562e-02         3.454217e-04
           5         4.920773e-02         4.989404e-02         3.160903e-04
           6         4.765725e-02         4.952124e-02         4.303483e-04
           7         4.866357e-02         4.939872e-02         3.859178e-04
           8         4.946089e-02         4.940649e-02         3.377563e-04
           9         5.252926e-02         4.975346e-02         4.440173e-04
          10         4.988558e-02         4.976668e-02         3.998121e-04
          11         4.777893e-02         4.958597e-02         4.022347e-04
          12         4.911060e-02         4.954636e-02         3.706607e-04
          13         4.751555e-02         4.939014e-02         3.736196e-04
          14         5.241915e-02         4.960650e-02         4.047582e-04
          15         5.242998e-02         4.979473e-02         4.192643e-04
          16         4.858416e-02         4.971907e-02         3.998289e-04
          17         4.949528e-02         4.970591e-02         3.765262e-04
          18         5.070575e-02         4.976145e-02         3.596820e-04
          19         5.205477e-02         4.988215e-02         3.604350e-04
          20         5.331696e-02         5.005389e-02         3.811389e-04
          21         5.087034e-02         5.009277e-02         3.649670e-04
          22         5.012756e-02         5.009435e-02         3.483810e-04
          23         5.272882e-02         5.020890e-02         3.515599e-04
          24         4.916590e-02         5.016544e-02         3.395870e-04
          25         5.232190e-02         5.025170e-02         3.367806e-04
          26         4.924625e-02         5.021303e-02         3.260402e-04
          27         4.936168e-02         5.018149e-02         3.154856e-04
          28         4.975648e-02         5.016631e-02         3.045832e-04
          29         4.836399e-02         5.010417e-02         3.003541e-04
          30         5.098341e-02         5.013347e-02         2.917687e-04
          31         4.934288e-02         5.010797e-02         2.834692e-04
          32         4.836898e-02         5.005363e-02         2.797713e-04
          33         4.906609e-02         5.002370e-02         2.728892e-04
          34         4.979949e-02         5.001711e-02         2.649427e-04
          35         4.699192e-02         4.993067e-02         2.711055e-04
          36         4.926410e-02         4.991216e-02         2.642063e-04
          37         4.926995e-02         4.989480e-02         2.576351e-04
          38         5.027302e-02         4.990475e-02         2.510474e-04
          39         4.850684e-02         4.986891e-02         2.471559e-04
          40         5.036460e-02         4.988130e-02         2.412875e-04
          41         5.115655e-02         4.991241e-02         2.373987e-04
          42         5.215129e-02         4.996571e-02         2.376559e-04
          43         5.173184e-02         5.000679e-02         2.356515e-04
          44         4.977153e-02         5.000144e-02         2.303564e-04
          45         4.943218e-02         4.998879e-02         2.255845e-04
          46         4.933094e-02         4.997449e-02         2.211333e-04
          47         5.173684e-02         5.001198e-02         2.195844e-04
          48         4.963033e-02         5.000403e-02         2.151537e-04
          49         4.921193e-02         4.998787e-02         2.113692e-04
          50         4.895053e-02         4.996712e-02         2.081575e-04
          51         4.718080e-02         4.991249e-02         2.111240e-04
          52         4.769010e-02         4.986975e-02         2.113454e-04
          53         5.079088e-02         4.988713e-02         2.080711e-04
          54         5.130474e-02         4.991338e-02         2.058674e-04
          55         5.167739e-02         4.994545e-02         2.046075e-04
          56         4.969338e-02         4.994095e-02         2.010033e-04
          57         4.774966e-02         4.990251e-02         2.011197e-04
          58         5.156205e-02         4.993112e-02         1.996771e-04
          59         5.116870e-02         4.995210e-02         1.973914e-04
          60         4.994532e-02         4.995198e-02         1.941016e-04
          61         5.297596e-02         5.000156e-02         1.971485e-04
          62         5.007068e-02         5.000267e-02         1.939718e-04
          63         4.839394e-02         4.997714e-02         1.925664e-04
          64         4.868794e-02         4.995699e-02         1.906082e-04
          65         5.102969e-02         4.997350e-02         1.883888e-04
          66         4.792203e-02         4.994241e-02         1.880812e-04
          67         4.925747e-02         4.993219e-02         1.855516e-04
          68         4.961866e-02         4.992758e-02         1.828802e-04
          69         5.120754e-02         4.994613e-02         1.811681e-04
          70         5.204273e-02         4.997608e-02         1.810389e-04
          71         5.065878e-02         4.998570e-02         1.787442e-04
          72         4.916243e-02         4.997426e-02         1.766270e-04
          73         4.854941e-02         4.995474e-02         1.752826e-04
          74         4.912008e-02         4.994347e-02         1.732765e-04
          75         4.840257e-02         4.992292e-02         1.721798e-04
          76         5.324939e-02         4.996669e-02         1.753893e-04
          77         5.456158e-02         5.002636e-02         1.829818e-04
          78         5.149104e-02         5.004514e-02         1.815968e-04
          79         5.032961e-02         5.004874e-02         1.793338e-04
          80         4.897819e-02         5.003536e-02         1.775907e-04
          81         4.621440e-02         4.998819e-02         1.815552e-04
          82         4.954026e-02         4.998273e-02         1.794233e-04
          83         5.084372e-02         4.999310e-02         1.775612e-04
          84         4.920745e-02         4.998375e-02         1.756935e-04
          85         4.817822e-02         4.996250e-02         1.749059e-04
          86         4.642543e-02         4.992138e-02         1.776420e-04
          87         4.702636e-02         4.988810e-02         1.786896e-04
          88         5.039146e-02         4.989382e-02         1.767505e-04
          89         4.925871e-02         4.988668e-02         1.749086e-04
          90         4.890432e-02         4.987577e-02         1.733054e-04
          91         4.852968e-02         4.986098e-02         1.720311e-04
          92         5.196383e-02         4.988383e-02         1.716729e-04
          93         5.057224e-02         4.989124e-02         1.699865e-04
          94         4.867223e-02         4.987827e-02         1.686720e-04
          95         4.976613e-02         4.987709e-02         1.669007e-04
          96         5.014379e-02         4.987986e-02         1.651852e-04
          97         5.138032e-02         4.989533e-02         1.642050e-04
          98         5.132845e-02         4.990996e-02         1.631793e-04
          99         4.887461e-02         4.989950e-02         1.618658e-04
         100         5.083711e-02         4.990888e-02         1.605185e-04
