#     BLOCK:          ACTUAL_T:              T_AVE:              ERROR:
           1         1.229467e+00         1.229467e+00         0.000000e+00
           2         1.217205e+00         1.223336e+00         4.335154e-03
           3         1.220854e+00         1.222509e+00         2.967984e-03
           4         1.177185e+00         1.211178e+00         1.006226e-02
           5         1.175109e+00         1.203964e+00         1.031648e-02
           6         1.187543e+00         1.201227e+00         8.952742e-03
           7         1.199989e+00         1.201050e+00         7.675526e-03
           8         1.183521e+00         1.198859e+00         7.021900e-03
           9         1.208376e+00         1.199917e+00         6.320808e-03
          10         1.218608e+00         1.201786e+00         5.958675e-03
          11         1.186239e+00         1.200372e+00         5.582071e-03
          12         1.229141e+00         1.202770e+00         5.608132e-03
          13         1.211351e+00         1.203430e+00         5.215440e-03
          14         1.221045e+00         1.204688e+00         4.992382e-03
          15         1.276728e+00         1.209491e+00         6.575673e-03
          16         1.248592e+00         1.211935e+00         6.603214e-03
          17         1.230870e+00         1.213049e+00         6.308037e-03
          18         1.230992e+00         1.214045e+00         6.035844e-03
          19         1.270703e+00         1.217027e+00         6.412626e-03
          20         1.247376e+00         1.218545e+00         6.268962e-03
          21         1.224518e+00         1.218829e+00         5.976889e-03
          22         1.253425e+00         1.220402e+00         5.908464e-03
          23         1.266561e+00         1.222409e+00         5.982712e-03
          24         1.230150e+00         1.222731e+00         5.742122e-03
          25         1.217217e+00         1.222511e+00         5.516672e-03
          26         1.202655e+00         1.221747e+00         5.357088e-03
          27         1.163662e+00         1.219596e+00         5.573928e-03
          28         1.181655e+00         1.218241e+00         5.537117e-03
          29         1.198465e+00         1.217559e+00         5.388010e-03
          30         1.213695e+00         1.217430e+00         5.209949e-03
          31         1.202329e+00         1.216943e+00         5.064610e-03
          32         1.154539e+00         1.214993e+00         5.268426e-03
          33         1.179467e+00         1.213916e+00         5.217606e-03
          34         1.192545e+00         1.213288e+00         5.101869e-03
          35         1.160756e+00         1.211787e+00         5.172161e-03
          36         1.233741e+00         1.212397e+00         5.064317e-03
          37         1.208538e+00         1.212292e+00         4.928517e-03
          38         1.214392e+00         1.212348e+00         4.799129e-03
          39         1.182688e+00         1.211587e+00         4.735947e-03
          40         1.189792e+00         1.211042e+00         4.648786e-03
          41         1.256569e+00         1.212153e+00         4.666134e-03
          42         1.267178e+00         1.213463e+00         4.735388e-03
          43         1.244161e+00         1.214177e+00         4.678769e-03
          44         1.236330e+00         1.214680e+00         4.599443e-03
          45         1.210908e+00         1.214596e+00         4.497997e-03
          46         1.220743e+00         1.214730e+00         4.402199e-03
          47         1.246556e+00         1.215407e+00         4.360305e-03
          48         1.213320e+00         1.215364e+00         4.269683e-03
          49         1.229024e+00         1.215642e+00         4.191638e-03
          50         1.218625e+00         1.215702e+00         4.108230e-03
          51         1.205594e+00         1.215504e+00         4.032454e-03
          52         1.175399e+00         1.214733e+00         4.027988e-03
          53         1.204743e+00         1.214544e+00         3.956395e-03
          54         1.185060e+00         1.213998e+00         3.920624e-03
          55         1.185735e+00         1.213484e+00         3.882870e-03
          56         1.211624e+00         1.213451e+00         3.813675e-03
          57         1.192168e+00         1.213078e+00         3.765003e-03
          58         1.229865e+00         1.213367e+00         3.711197e-03
          59         1.223693e+00         1.213542e+00         3.652420e-03
          60         1.222445e+00         1.213690e+00         3.594560e-03
          61         1.238886e+00         1.214103e+00         3.559283e-03
          62         1.227027e+00         1.214312e+00         3.507974e-03
          63         1.245104e+00         1.214801e+00         3.486174e-03
          64         1.190030e+00         1.214414e+00         3.453122e-03
          65         1.188184e+00         1.214010e+00         3.423494e-03
          66         1.169198e+00         1.213331e+00         3.438292e-03
          67         1.213133e+00         1.213328e+00         3.386975e-03
          68         1.235837e+00         1.213659e+00         3.353303e-03
          69         1.238355e+00         1.214017e+00         3.323749e-03
          70         1.243621e+00         1.214440e+00         3.303063e-03
          71         1.214649e+00         1.214443e+00         3.256542e-03
          72         1.205189e+00         1.214314e+00         3.213847e-03
          73         1.212711e+00         1.214292e+00         3.169897e-03
          74         1.209224e+00         1.214224e+00         3.127801e-03
          75         1.174360e+00         1.213692e+00         3.130932e-03
          76         1.200044e+00         1.213513e+00         3.094882e-03
          77         1.235892e+00         1.213803e+00         3.068306e-03
          78         1.262378e+00         1.214426e+00         3.091521e-03
          79         1.239460e+00         1.214743e+00         3.068585e-03
          80         1.220602e+00         1.214816e+00         3.031102e-03
          81         1.218734e+00         1.214865e+00         2.994067e-03
          82         1.221775e+00         1.214949e+00         2.958739e-03
          83         1.210561e+00         1.214896e+00         2.923564e-03
          84         1.191806e+00         1.214621e+00         2.901654e-03
          85         1.190300e+00         1.214335e+00         2.881590e-03
          86         1.171831e+00         1.213841e+00         2.890157e-03
          87         1.186965e+00         1.213532e+00         2.873399e-03
          88         1.210375e+00         1.213496e+00         2.840970e-03
          89         1.216225e+00         1.213527e+00         2.809215e-03
          90         1.206757e+00         1.213452e+00         2.779008e-03
          91         1.180627e+00         1.213091e+00         2.771780e-03
          92         1.216405e+00         1.213127e+00         2.741886e-03
          93         1.208867e+00         1.213081e+00         2.712786e-03
          94         1.170732e+00         1.212631e+00         2.721079e-03
          95         1.170305e+00         1.212185e+00         2.728666e-03
          96         1.202691e+00         1.212086e+00         2.702034e-03
          97         1.202791e+00         1.211990e+00         2.675876e-03
          98         1.160980e+00         1.211470e+00         2.698722e-03
          99         1.174336e+00         1.211095e+00         2.697402e-03
         100         1.166463e+00         1.210648e+00         2.707100e-03
