#     BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -3.377897e+00        -3.377897e+00         0.000000e+00
           2        -3.378737e+00        -3.378317e+00         2.970881e-04
           3        -3.379921e+00        -3.378851e+00         4.794090e-04
           4        -3.378131e+00        -3.378671e+00         3.919703e-04
           5        -3.376959e+00        -3.378329e+00         4.383017e-04
           6        -3.379212e+00        -3.378476e+00         3.891895e-04
           7        -3.376841e+00        -3.378243e+00         3.975228e-04
           8        -3.378371e+00        -3.378259e+00         3.481563e-04
           9        -3.379021e+00        -3.378343e+00         3.196173e-04
          10        -3.378569e+00        -3.378366e+00         2.884481e-04
          11        -3.379194e+00        -3.378441e+00         2.718771e-04
          12        -3.378760e+00        -3.378468e+00         2.505194e-04
          13        -3.376924e+00        -3.378349e+00         2.578674e-04
          14        -3.378977e+00        -3.378394e+00         2.433206e-04
          15        -3.379014e+00        -3.378435e+00         2.305898e-04
          16        -3.378293e+00        -3.378426e+00         2.163497e-04
          17        -3.378699e+00        -3.378442e+00         2.042152e-04
          18        -3.377593e+00        -3.378395e+00         1.982504e-04
          19        -3.380031e+00        -3.378481e+00         2.056631e-04
          20        -3.379514e+00        -3.378533e+00         2.017644e-04
          21        -3.378120e+00        -3.378513e+00         1.931114e-04
          22        -3.377433e+00        -3.378464e+00         1.904788e-04
          23        -3.377701e+00        -3.378431e+00         1.850633e-04
          24        -3.379298e+00        -3.378467e+00         1.808405e-04
          25        -3.378295e+00        -3.378460e+00         1.737381e-04
          26        -3.379028e+00        -3.378482e+00         1.684245e-04
          27        -3.378460e+00        -3.378481e+00         1.621885e-04
          28        -3.377631e+00        -3.378451e+00         1.592154e-04
          29        -3.379200e+00        -3.378477e+00         1.558087e-04
          30        -3.379425e+00        -3.378508e+00         1.537858e-04
          31        -3.377497e+00        -3.378476e+00         1.522446e-04
          32        -3.379252e+00        -3.378500e+00         1.494090e-04
          33        -3.377276e+00        -3.378463e+00         1.494158e-04
          34        -3.377591e+00        -3.378437e+00         1.472054e-04
          35        -3.377939e+00        -3.378423e+00         1.436860e-04
          36        -3.378872e+00        -3.378435e+00         1.402350e-04
          37        -3.378758e+00        -3.378444e+00         1.367164e-04
          38        -3.379844e+00        -3.378481e+00         1.379913e-04
          39        -3.380197e+00        -3.378525e+00         1.412949e-04
          40        -3.377799e+00        -3.378507e+00         1.389234e-04
          41        -3.378387e+00        -3.378504e+00         1.355657e-04
          42        -3.379067e+00        -3.378517e+00         1.329986e-04
          43        -3.378047e+00        -3.378506e+00         1.303540e-04
          44        -3.378013e+00        -3.378495e+00         1.278726e-04
          45        -3.378048e+00        -3.378485e+00         1.254161e-04
          46        -3.378727e+00        -3.378490e+00         1.227995e-04
          47        -3.379322e+00        -3.378508e+00         1.214533e-04
          48        -3.376896e+00        -3.378475e+00         1.234801e-04
          49        -3.377911e+00        -3.378463e+00         1.214947e-04
          50        -3.377292e+00        -3.378440e+00         1.213003e-04
          51        -3.378562e+00        -3.378442e+00         1.189454e-04
          52        -3.378193e+00        -3.378437e+00         1.167543e-04
          53        -3.377844e+00        -3.378426e+00         1.150867e-04
          54        -3.379083e+00        -3.378438e+00         1.135957e-04
          55        -3.378024e+00        -3.378431e+00         1.117792e-04
          56        -3.378275e+00        -3.378428e+00         1.098179e-04
          57        -3.378593e+00        -3.378431e+00         1.079294e-04
          58        -3.378750e+00        -3.378436e+00         1.062084e-04
          59        -3.379691e+00        -3.378458e+00         1.065160e-04
          60        -3.378863e+00        -3.378464e+00         1.049547e-04
          61        -3.379642e+00        -3.378484e+00         1.049937e-04
          62        -3.377660e+00        -3.378470e+00         1.041376e-04
          63        -3.378525e+00        -3.378471e+00         1.024881e-04
          64        -3.378473e+00        -3.378471e+00         1.008868e-04
          65        -3.377901e+00        -3.378462e+00         9.971548e-05
          66        -3.378626e+00        -3.378465e+00         9.823525e-05
          67        -3.378241e+00        -3.378462e+00         9.682598e-05
          68        -3.376748e+00        -3.378436e+00         9.862717e-05
          69        -3.377416e+00        -3.378422e+00         9.830066e-05
          70        -3.378904e+00        -3.378428e+00         9.713723e-05
          71        -3.377374e+00        -3.378414e+00         9.689785e-05
          72        -3.377610e+00        -3.378402e+00         9.619312e-05
          73        -3.378466e+00        -3.378403e+00         9.487938e-05
          74        -3.377617e+00        -3.378393e+00         9.419105e-05
          75        -3.378405e+00        -3.378393e+00         9.293532e-05
          76        -3.379372e+00        -3.378406e+00         9.260195e-05
          77        -3.378563e+00        -3.378408e+00         9.142171e-05
          78        -3.378601e+00        -3.378410e+00         9.028329e-05
          79        -3.378117e+00        -3.378407e+00         8.921664e-05
          80        -3.378686e+00        -3.378410e+00         8.816956e-05
          81        -3.380017e+00        -3.378430e+00         8.928420e-05
          82        -3.378239e+00        -3.378428e+00         8.822580e-05
          83        -3.378792e+00        -3.378432e+00         8.727223e-05
          84        -3.379232e+00        -3.378441e+00         8.675107e-05
          85        -3.378277e+00        -3.378440e+00         8.575213e-05
          86        -3.379065e+00        -3.378447e+00         8.506279e-05
          87        -3.378536e+00        -3.378448e+00         8.409131e-05
          88        -3.376911e+00        -3.378430e+00         8.492876e-05
          89        -3.378045e+00        -3.378426e+00         8.408490e-05
          90        -3.377336e+00        -3.378414e+00         8.401765e-05
          91        -3.378359e+00        -3.378413e+00         8.309652e-05
          92        -3.377017e+00        -3.378398e+00         8.356692e-05
          93        -3.375516e+00        -3.378367e+00         8.822635e-05
          94        -3.376157e+00        -3.378344e+00         9.036790e-05
          95        -3.378528e+00        -3.378346e+00         8.943742e-05
          96        -3.377116e+00        -3.378333e+00         8.941888e-05
          97        -3.378073e+00        -3.378330e+00         8.853722e-05
