#     BLOCK:          ACTUAL_KE:              KE_AVE:              ERROR:
           1         1.645622e+00         1.645622e+00         0.000000e+00
           2         1.637341e+00         1.641482e+00         2.928052e-03
           3         1.667767e+00         1.650243e+00         7.415538e-03
           4         1.640721e+00         1.647863e+00         5.931454e-03
           5         1.644592e+00         1.647209e+00         4.781112e-03
           6         1.656605e+00         1.648775e+00         4.232957e-03
           7         1.632886e+00         1.646505e+00         4.192874e-03
           8         1.597781e+00         1.640414e+00         6.776198e-03
           9         1.641011e+00         1.640481e+00         6.023611e-03
          10         1.624550e+00         1.638888e+00         5.627980e-03
          11         1.660497e+00         1.640852e+00         5.448423e-03
          12         1.647969e+00         1.641445e+00         5.026563e-03
          13         1.632907e+00         1.640788e+00         4.682619e-03
          14         1.654041e+00         1.641735e+00         4.442794e-03
          15         1.643960e+00         1.641883e+00         4.149083e-03
          16         1.647038e+00         1.642205e+00         3.902254e-03
          17         1.621930e+00         1.641013e+00         3.850662e-03
          18         1.636730e+00         1.640775e+00         3.644080e-03
          19         1.684915e+00         1.643098e+00         4.126917e-03
          20         1.669383e+00         1.644412e+00         4.124526e-03
          21         1.613139e+00         1.642923e+00         4.188350e-03
          22         1.651406e+00         1.643309e+00         4.015681e-03
          23         1.632153e+00         1.642824e+00         3.870267e-03
          24         1.660762e+00         1.643571e+00         3.780489e-03
          25         1.655883e+00         1.644064e+00         3.661208e-03
          26         1.667633e+00         1.644970e+00         3.630887e-03
          27         1.636204e+00         1.644645e+00         3.510895e-03
          28         1.645920e+00         1.644691e+00         3.385801e-03
          29         1.629385e+00         1.644163e+00         3.309929e-03
          30         1.645961e+00         1.644223e+00         3.200141e-03
          31         1.648290e+00         1.644354e+00         3.099599e-03
          32         1.666366e+00         1.645042e+00         3.078113e-03
          33         1.649785e+00         1.645186e+00         2.988190e-03
          34         1.664961e+00         1.645767e+00         2.956366e-03
          35         1.633742e+00         1.645424e+00         2.891796e-03
          36         1.647565e+00         1.645483e+00         2.812080e-03
          37         1.668489e+00         1.646105e+00         2.803972e-03
          38         1.667050e+00         1.646656e+00         2.783830e-03
          39         1.665722e+00         1.647145e+00         2.755042e-03
          40         1.630636e+00         1.646732e+00         2.716906e-03
          41         1.652103e+00         1.646863e+00         2.653796e-03
          42         1.649222e+00         1.646920e+00         2.591204e-03
          43         1.641582e+00         1.646795e+00         2.533915e-03
          44         1.627874e+00         1.646365e+00         2.512550e-03
          45         1.650368e+00         1.646454e+00         2.458289e-03
          46         1.651033e+00         1.646554e+00         2.406862e-03
          47         1.665953e+00         1.646967e+00         2.390781e-03
          48         1.617097e+00         1.646344e+00         2.420604e-03
          49         1.667756e+00         1.646781e+00         2.410322e-03
          50         1.637058e+00         1.646587e+00         2.369948e-03
          51         1.634825e+00         1.646356e+00         2.334673e-03
          52         1.636625e+00         1.646169e+00         2.297263e-03
          53         1.657651e+00         1.646386e+00         2.264111e-03
          54         1.639239e+00         1.646253e+00         2.226048e-03
          55         1.652763e+00         1.646372e+00         2.188718e-03
          56         1.657140e+00         1.646564e+00         2.158063e-03
          57         1.671742e+00         1.647006e+00         2.164937e-03
          58         1.661989e+00         1.647264e+00         2.142968e-03
          59         1.667148e+00         1.647601e+00         2.132982e-03
          60         1.660275e+00         1.647812e+00         2.107866e-03
          61         1.676827e+00         1.648288e+00         2.126301e-03
          62         1.648554e+00         1.648292e+00         2.092010e-03
          63         1.666363e+00         1.648579e+00         2.078374e-03
          64         1.629392e+00         1.648279e+00         2.067408e-03
          65         1.644735e+00         1.648225e+00         2.036321e-03
          66         1.640944e+00         1.648114e+00         2.008454e-03
          67         1.649116e+00         1.648129e+00         1.978532e-03
          68         1.623687e+00         1.647770e+00         1.981818e-03
          69         1.631031e+00         1.647527e+00         1.967888e-03
          70         1.657048e+00         1.647663e+00         1.944470e-03
          71         1.642902e+00         1.647596e+00         1.918239e-03
          72         1.639495e+00         1.647484e+00         1.894894e-03
          73         1.642240e+00         1.647412e+00         1.870298e-03
          74         1.641404e+00         1.647331e+00         1.846784e-03
          75         1.653773e+00         1.647417e+00         1.824157e-03
          76         1.628952e+00         1.647174e+00         1.816262e-03
          77         1.622741e+00         1.646856e+00         1.820180e-03
          78         1.637412e+00         1.646735e+00         1.800867e-03
          79         1.671859e+00         1.647053e+00         1.805934e-03
          80         1.629482e+00         1.646834e+00         1.796667e-03
          81         1.660083e+00         1.646997e+00         1.781916e-03
          82         1.658604e+00         1.647139e+00         1.765798e-03
          83         1.638432e+00         1.647034e+00         1.747637e-03
          84         1.652656e+00         1.647101e+00         1.728112e-03
          85         1.640100e+00         1.647018e+00         1.709743e-03
          86         1.636558e+00         1.646897e+00         1.694184e-03
          87         1.656450e+00         1.647007e+00         1.678265e-03
          88         1.620219e+00         1.646702e+00         1.686575e-03
          89         1.650261e+00         1.646742e+00         1.668098e-03
          90         1.677448e+00         1.647083e+00         1.684093e-03
          91         1.623449e+00         1.646824e+00         1.685495e-03
          92         1.646679e+00         1.646822e+00         1.667176e-03
          93         1.636977e+00         1.646716e+00         1.652607e-03
          94         1.628015e+00         1.646517e+00         1.646958e-03
          95         1.634902e+00         1.646395e+00         1.634154e-03
          96         1.636804e+00         1.646295e+00         1.620183e-03
          97         1.624405e+00         1.646069e+00         1.619120e-03
          98         1.651374e+00         1.646124e+00         1.603503e-03
          99         1.660755e+00         1.646271e+00         1.594103e-03
         100         1.631194e+00         1.646121e+00         1.585276e-03
