#     BLOCK:          ACTUAL_T:              T_AVE:              ERROR:
           1         1.097082e+00         1.097082e+00         0.000000e+00
           2         1.091560e+00         1.094321e+00         1.952034e-03
           3         1.111845e+00         1.100162e+00         4.943692e-03
           4         1.093814e+00         1.098575e+00         3.954303e-03
           5         1.096394e+00         1.098139e+00         3.187408e-03
           6         1.104403e+00         1.099183e+00         2.821971e-03
           7         1.088591e+00         1.097670e+00         2.795249e-03
           8         1.065187e+00         1.093610e+00         4.517465e-03
           9         1.094007e+00         1.093654e+00         4.015741e-03
          10         1.083033e+00         1.092592e+00         3.751987e-03
          11         1.106998e+00         1.093901e+00         3.632282e-03
          12         1.098646e+00         1.094297e+00         3.351042e-03
          13         1.088604e+00         1.093859e+00         3.121746e-03
          14         1.102694e+00         1.094490e+00         2.961863e-03
          15         1.095973e+00         1.094589e+00         2.766055e-03
          16         1.098025e+00         1.094804e+00         2.601502e-03
          17         1.081287e+00         1.094008e+00         2.567108e-03
          18         1.091153e+00         1.093850e+00         2.429386e-03
          19         1.123277e+00         1.095399e+00         2.751278e-03
          20         1.112922e+00         1.096275e+00         2.749684e-03
          21         1.075426e+00         1.095282e+00         2.792233e-03
          22         1.100937e+00         1.095539e+00         2.677121e-03
          23         1.088102e+00         1.095216e+00         2.580178e-03
          24         1.107175e+00         1.095714e+00         2.520326e-03
          25         1.103922e+00         1.096042e+00         2.440805e-03
          26         1.111755e+00         1.096647e+00         2.420592e-03
          27         1.090803e+00         1.096430e+00         2.340597e-03
          28         1.097280e+00         1.096461e+00         2.257201e-03
          29         1.086257e+00         1.096109e+00         2.206619e-03
          30         1.097307e+00         1.096149e+00         2.133427e-03
          31         1.098860e+00         1.096236e+00         2.066399e-03
          32         1.110910e+00         1.096695e+00         2.052075e-03
          33         1.099857e+00         1.096791e+00         1.992127e-03
          34         1.109974e+00         1.097178e+00         1.970911e-03
          35         1.089161e+00         1.096949e+00         1.927864e-03
          36         1.098376e+00         1.096989e+00         1.874720e-03
          37         1.112326e+00         1.097403e+00         1.869315e-03
          38         1.111367e+00         1.097771e+00         1.855887e-03
          39         1.110482e+00         1.098097e+00         1.836695e-03
          40         1.087091e+00         1.097822e+00         1.811271e-03
          41         1.101402e+00         1.097909e+00         1.769197e-03
          42         1.099481e+00         1.097946e+00         1.727470e-03
          43         1.094388e+00         1.097864e+00         1.689277e-03
          44         1.085250e+00         1.097577e+00         1.675033e-03
          45         1.100245e+00         1.097636e+00         1.638859e-03
          46         1.100689e+00         1.097703e+00         1.604575e-03
          47         1.110635e+00         1.097978e+00         1.593854e-03
          48         1.078065e+00         1.097563e+00         1.613736e-03
          49         1.111837e+00         1.097854e+00         1.606882e-03
          50         1.091372e+00         1.097725e+00         1.579965e-03
          51         1.089883e+00         1.097571e+00         1.556449e-03
          52         1.091083e+00         1.097446e+00         1.531509e-03
          53         1.105101e+00         1.097590e+00         1.509407e-03
          54         1.092826e+00         1.097502e+00         1.484032e-03
          55         1.101842e+00         1.097581e+00         1.459145e-03
          56         1.104760e+00         1.097709e+00         1.438709e-03
          57         1.114495e+00         1.098004e+00         1.443291e-03
          58         1.107993e+00         1.098176e+00         1.428645e-03
          59         1.111432e+00         1.098401e+00         1.421988e-03
          60         1.106850e+00         1.098542e+00         1.405244e-03
          61         1.117885e+00         1.098859e+00         1.417534e-03
          62         1.099036e+00         1.098862e+00         1.394674e-03
          63         1.110908e+00         1.099053e+00         1.385583e-03
          64         1.086262e+00         1.098853e+00         1.378272e-03
          65         1.096490e+00         1.098817e+00         1.357547e-03
          66         1.093962e+00         1.098743e+00         1.338969e-03
          67         1.099411e+00         1.098753e+00         1.319022e-03
          68         1.082458e+00         1.098513e+00         1.321212e-03
          69         1.087354e+00         1.098352e+00         1.311925e-03
          70         1.104699e+00         1.098442e+00         1.296313e-03
          71         1.095268e+00         1.098398e+00         1.278826e-03
          72         1.092997e+00         1.098323e+00         1.263263e-03
          73         1.094827e+00         1.098275e+00         1.246865e-03
          74         1.094269e+00         1.098221e+00         1.231190e-03
          75         1.102516e+00         1.098278e+00         1.216105e-03
          76         1.085968e+00         1.098116e+00         1.210842e-03
          77         1.081828e+00         1.097904e+00         1.213454e-03
          78         1.091608e+00         1.097824e+00         1.200578e-03
          79         1.114573e+00         1.098036e+00         1.203956e-03
          80         1.086321e+00         1.097889e+00         1.197778e-03
          81         1.106722e+00         1.097998e+00         1.187944e-03
          82         1.105736e+00         1.098093e+00         1.177199e-03
          83         1.092288e+00         1.098023e+00         1.165091e-03
          84         1.101770e+00         1.098067e+00         1.152075e-03
          85         1.093400e+00         1.098012e+00         1.139829e-03
          86         1.091039e+00         1.097931e+00         1.129456e-03
          87         1.104300e+00         1.098004e+00         1.118843e-03
          88         1.080146e+00         1.097802e+00         1.124383e-03
          89         1.100174e+00         1.097828e+00         1.112066e-03
          90         1.118299e+00         1.098056e+00         1.122729e-03
          91         1.082299e+00         1.097882e+00         1.123664e-03
          92         1.097786e+00         1.097881e+00         1.111450e-03
          93         1.091318e+00         1.097811e+00         1.101738e-03
          94         1.085343e+00         1.097678e+00         1.097972e-03
          95         1.089934e+00         1.097597e+00         1.089436e-03
          96         1.091202e+00         1.097530e+00         1.080122e-03
          97         1.082937e+00         1.097380e+00         1.079414e-03
          98         1.100916e+00         1.097416e+00         1.069002e-03
          99         1.107170e+00         1.097514e+00         1.062735e-03
         100         1.087463e+00         1.097414e+00         1.056851e-03
