#     BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -5.447357e+00        -5.447357e+00         0.000000e+00
           2        -5.447423e+00        -5.447390e+00         2.352832e-05
           3        -5.446980e+00        -5.447254e+00         1.126037e-04
           4        -5.447753e+00        -5.447378e+00         1.371716e-04
           5        -5.447498e+00        -5.447402e+00         1.118010e-04
           6        -5.447218e+00        -5.447372e+00         9.729081e-05
           7        -5.448082e+00        -5.447473e+00         1.256138e-04
           8        -5.447082e+00        -5.447424e+00         1.190347e-04
           9        -5.447650e+00        -5.447449e+00         1.084113e-04
          10        -5.447381e+00        -5.447442e+00         9.778460e-05
          11        -5.447192e+00        -5.447420e+00         9.149827e-05
          12        -5.448276e+00        -5.447491e+00         1.081756e-04
          13        -5.447951e+00        -5.447526e+00         1.054841e-04
          14        -5.447851e+00        -5.447550e+00         1.004660e-04
          15        -5.447833e+00        -5.447568e+00         9.552491e-05
          16        -5.447506e+00        -5.447565e+00         8.963474e-05
          17        -5.447378e+00        -5.447554e+00         8.502753e-05
          18        -5.447875e+00        -5.447571e+00         8.215651e-05
          19        -5.447850e+00        -5.447586e+00         7.913196e-05
          20        -5.446589e+00        -5.447536e+00         8.952486e-05
          21        -5.447857e+00        -5.447552e+00         8.655254e-05
          22        -5.447878e+00        -5.447566e+00         8.387746e-05
          23        -5.447494e+00        -5.447563e+00         8.028988e-05
          24        -5.447232e+00        -5.447549e+00         7.812087e-05
          25        -5.447787e+00        -5.447559e+00         7.557367e-05
          26        -5.447423e+00        -5.447554e+00         7.284869e-05
          27        -5.447525e+00        -5.447553e+00         7.015834e-05
          28        -5.447509e+00        -5.447551e+00         6.766960e-05
          29        -5.447735e+00        -5.447557e+00         6.563363e-05
          30        -5.447093e+00        -5.447542e+00         6.524505e-05
          31        -5.447260e+00        -5.447533e+00         6.377252e-05
          32        -5.448111e+00        -5.447551e+00         6.428871e-05
          33        -5.447768e+00        -5.447557e+00         6.267678e-05
          34        -5.447652e+00        -5.447560e+00         6.089536e-05
          35        -5.447986e+00        -5.447572e+00         6.035752e-05
          36        -5.447063e+00        -5.447558e+00         6.031962e-05
          37        -5.447320e+00        -5.447552e+00         5.903125e-05
          38        -5.448242e+00        -5.447570e+00         6.020495e-05
          39        -5.447626e+00        -5.447571e+00         5.867821e-05
          40        -5.447611e+00        -5.447572e+00         5.721959e-05
          41        -5.447796e+00        -5.447578e+00         5.608258e-05
          42        -5.447770e+00        -5.447582e+00         5.493325e-05
          43        -5.447829e+00        -5.447588e+00         5.395412e-05
          44        -5.447206e+00        -5.447579e+00         5.342192e-05
          45        -5.447613e+00        -5.447580e+00         5.224000e-05
          46        -5.447788e+00        -5.447585e+00         5.129959e-05
          47        -5.447629e+00        -5.447586e+00         5.021668e-05
          48        -5.447192e+00        -5.447577e+00         4.983622e-05
          49        -5.448126e+00        -5.447589e+00         5.006013e-05
          50        -5.447823e+00        -5.447593e+00         4.927722e-05
          51        -5.447181e+00        -5.447585e+00         4.896873e-05
          52        -5.447514e+00        -5.447584e+00         4.804616e-05
          53        -5.447789e+00        -5.447588e+00         4.729504e-05
          54        -5.447576e+00        -5.447588e+00         4.641974e-05
          55        -5.447274e+00        -5.447582e+00         4.592366e-05
          56        -5.447252e+00        -5.447576e+00         4.547996e-05
          57        -5.447513e+00        -5.447575e+00         4.469566e-05
          58        -5.448200e+00        -5.447586e+00         4.520485e-05
          59        -5.447155e+00        -5.447578e+00         4.502512e-05
          60        -5.448007e+00        -5.447585e+00         4.483856e-05
          61        -5.447956e+00        -5.447592e+00         4.451339e-05
          62        -5.447875e+00        -5.447596e+00         4.402909e-05
          63        -5.448007e+00        -5.447603e+00         4.381087e-05
          64        -5.447935e+00        -5.447608e+00         4.343258e-05
          65        -5.447003e+00        -5.447599e+00         4.375038e-05
          66        -5.447398e+00        -5.447595e+00         4.319279e-05
          67        -5.447560e+00        -5.447595e+00         4.255131e-05
          68        -5.447123e+00        -5.447588e+00         4.248819e-05
          69        -5.447120e+00        -5.447581e+00         4.241054e-05
          70        -5.447953e+00        -5.447587e+00         4.213509e-05
          71        -5.447455e+00        -5.447585e+00         4.158222e-05
          72        -5.448058e+00        -5.447591e+00         4.152070e-05
          73        -5.447669e+00        -5.447592e+00         4.096560e-05
          74        -5.448146e+00        -5.447600e+00         4.108963e-05
          75        -5.447907e+00        -5.447604e+00         4.074492e-05
          76        -5.447264e+00        -5.447599e+00         4.045420e-05
          77        -5.447162e+00        -5.447594e+00         4.032562e-05
          78        -5.448046e+00        -5.447600e+00         4.022362e-05
          79        -5.447152e+00        -5.447594e+00         4.011126e-05
          80        -5.447664e+00        -5.447595e+00         3.961940e-05
          81        -5.447789e+00        -5.447597e+00         3.920292e-05
          82        -5.447439e+00        -5.447595e+00         3.877236e-05
          83        -5.447883e+00        -5.447599e+00         3.846008e-05
          84        -5.448171e+00        -5.447605e+00         3.860036e-05
          85        -5.447862e+00        -5.447608e+00         3.826404e-05
          86        -5.447234e+00        -5.447604e+00         3.806633e-05
          87        -5.447098e+00        -5.447598e+00         3.806994e-05
          88        -5.448564e+00        -5.447609e+00         3.918575e-05
          89        -5.448447e+00        -5.447619e+00         3.985878e-05
          90        -5.448137e+00        -5.447624e+00         3.982928e-05
          91        -5.447563e+00        -5.447624e+00         3.939736e-05
          92        -5.447919e+00        -5.447627e+00         3.909918e-05
          93        -5.447502e+00        -5.447626e+00         3.870194e-05
          94        -5.447722e+00        -5.447627e+00         3.830382e-05
          95        -5.447668e+00        -5.447627e+00         3.790309e-05
          96        -5.447772e+00        -5.447629e+00         3.753829e-05
          97        -5.447589e+00        -5.447628e+00         3.715354e-05
          98        -5.447858e+00        -5.447631e+00         3.684840e-05
          99        -5.447757e+00        -5.447632e+00         3.649842e-05
         100        -5.447720e+00        -5.447633e+00         3.614412e-05
