#     BLOCK:          ACTUAL_KE:              KE_AVE:              ERROR:
           1         1.206076e+00         1.206076e+00         0.000000e+00
           2         1.207420e+00         1.206748e+00         4.749627e-04
           3         1.207692e+00         1.207063e+00         4.076817e-04
           4         1.211346e+00         1.208133e+00         9.764344e-04
           5         1.207267e+00         1.207960e+00         7.963632e-04
           6         1.208052e+00         1.207976e+00         6.637822e-04
           7         1.209822e+00         1.208239e+00         6.191291e-04
           8         1.199760e+00         1.207179e+00         1.129780e-03
           9         1.203792e+00         1.206803e+00         1.065087e-03
          10         1.207779e+00         1.206901e+00         9.630357e-04
          11         1.211397e+00         1.207309e+00         9.583046e-04
          12         1.205824e+00         1.207186e+00         8.864011e-04
          13         1.206604e+00         1.207141e+00         8.193435e-04
          14         1.209316e+00         1.207296e+00         7.754119e-04
          15         1.207571e+00         1.207315e+00         7.239335e-04
          16         1.207613e+00         1.207333e+00         6.789273e-04
          17         1.207346e+00         1.207334e+00         6.389908e-04
          18         1.204115e+00         1.207155e+00         6.280143e-04
          19         1.208775e+00         1.207240e+00         6.007225e-04
          20         1.204729e+00         1.207115e+00         5.836621e-04
          21         1.207096e+00         1.207114e+00         5.558694e-04
          22         1.209199e+00         1.207209e+00         5.386256e-04
          23         1.206528e+00         1.207179e+00         5.160201e-04
          24         1.207562e+00         1.207195e+00         4.947664e-04
          25         1.208500e+00         1.207247e+00         4.777210e-04
          26         1.211199e+00         1.207399e+00         4.829230e-04
          27         1.206076e+00         1.207350e+00         4.675184e-04
          28         1.209534e+00         1.207428e+00         4.572789e-04
          29         1.206829e+00         1.207408e+00         4.419775e-04
          30         1.208630e+00         1.207448e+00         4.291203e-04
          31         1.204336e+00         1.207348e+00         4.268585e-04
          32         1.210040e+00         1.207432e+00         4.217279e-04
          33         1.207045e+00         1.207420e+00         4.091114e-04
          34         1.206866e+00         1.207404e+00         3.974032e-04
          35         1.209962e+00         1.207477e+00         3.927116e-04
          36         1.206561e+00         1.207452e+00         3.826257e-04
          37         1.207480e+00         1.207452e+00         3.722852e-04
          38         1.210220e+00         1.207525e+00         3.695453e-04
          39         1.205385e+00         1.207470e+00         3.641224e-04
          40         1.207627e+00         1.207474e+00         3.550405e-04
          41         1.208631e+00         1.207502e+00         3.475000e-04
          42         1.210494e+00         1.207574e+00         3.464510e-04
          43         1.207804e+00         1.207579e+00         3.384353e-04
          44         1.208383e+00         1.207597e+00         3.312369e-04
          45         1.204822e+00         1.207536e+00         3.295664e-04
          46         1.207303e+00         1.207531e+00         3.224408e-04
          47         1.206090e+00         1.207500e+00         3.170344e-04
          48         1.206181e+00         1.207472e+00         3.116189e-04
          49         1.203046e+00         1.207382e+00         3.180846e-04
          50         1.206922e+00         1.207373e+00         3.118563e-04
          51         1.202587e+00         1.207279e+00         3.195469e-04
          52         1.210902e+00         1.207349e+00         3.209056e-04
          53         1.206812e+00         1.207339e+00         3.150107e-04
          54         1.208144e+00         1.207354e+00         3.095299e-04
          55         1.205549e+00         1.207321e+00         3.056352e-04
          56         1.204632e+00         1.207273e+00         3.039243e-04
          57         1.205376e+00         1.207239e+00         3.004085e-04
          58         1.206756e+00         1.207231e+00         2.953447e-04
          59         1.207753e+00         1.207240e+00         2.904714e-04
          60         1.207023e+00         1.207236e+00         2.856527e-04
          61         1.210419e+00         1.207289e+00         2.856960e-04
          62         1.208599e+00         1.207310e+00         2.818691e-04
          63         1.206836e+00         1.207302e+00         2.774954e-04
          64         1.209576e+00         1.207338e+00         2.754242e-04
          65         1.205790e+00         1.207314e+00         2.722145e-04
          66         1.202949e+00         1.207248e+00         2.760080e-04
          67         1.212537e+00         1.207327e+00         2.829531e-04
          68         1.205684e+00         1.207303e+00         2.798210e-04
          69         1.202651e+00         1.207235e+00         2.837698e-04
          70         1.209072e+00         1.207261e+00         2.809264e-04
          71         1.206783e+00         1.207255e+00         2.770504e-04
          72         1.213024e+00         1.207335e+00         2.845529e-04
          73         1.207073e+00         1.207331e+00         2.806776e-04
          74         1.206577e+00         1.207321e+00         2.770695e-04
          75         1.205766e+00         1.207300e+00         2.741504e-04
          76         1.210031e+00         1.207336e+00         2.728876e-04
          77         1.206766e+00         1.207329e+00         2.694440e-04
          78         1.202210e+00         1.207263e+00         2.738641e-04
          79         1.207595e+00         1.207267e+00         2.704297e-04
          80         1.212428e+00         1.207332e+00         2.746363e-04
          81         1.201502e+00         1.207260e+00         2.805170e-04
          82         1.203536e+00         1.207214e+00         2.807485e-04
          83         1.211928e+00         1.207271e+00         2.830514e-04
          84         1.205417e+00         1.207249e+00         2.805411e-04
          85         1.207305e+00         1.207250e+00         2.772414e-04
          86         1.205051e+00         1.207224e+00         2.751942e-04
          87         1.203855e+00         1.207186e+00         2.747422e-04
          88         1.207052e+00         1.207184e+00         2.716243e-04
          89         1.209176e+00         1.207206e+00         2.694933e-04
          90         1.211973e+00         1.207259e+00         2.716536e-04
          91         1.208343e+00         1.207271e+00         2.689295e-04
          92         1.206166e+00         1.207259e+00         2.662745e-04
          93         1.208516e+00         1.207273e+00         2.637538e-04
          94         1.206662e+00         1.207266e+00         2.610278e-04
          95         1.203855e+00         1.207230e+00         2.607380e-04
          96         1.205371e+00         1.207211e+00         2.587407e-04
          97         1.211573e+00         1.207256e+00         2.599525e-04
          98         1.205786e+00         1.207241e+00         2.577322e-04
          99         1.210199e+00         1.207271e+00         2.568548e-04
         100         1.209681e+00         1.207295e+00         2.554140e-04
