#     BLOCK:          ACTUAL_PE:              PE_AVE:              ERROR:
           1        -6.653433e+00        -6.653433e+00         0.000000e+00
           2        -6.654843e+00        -6.654138e+00         4.984910e-04
           3        -6.654672e+00        -6.654316e+00         3.626977e-04
           4        -6.659099e+00        -6.655512e+00         1.070554e-03
           5        -6.654765e+00        -6.655363e+00         8.667931e-04
           6        -6.655270e+00        -6.655347e+00         7.224650e-04
           7        -6.657903e+00        -6.655712e+00         7.055372e-04
           8        -6.646842e+00        -6.654604e+00         1.206957e-03
           9        -6.651442e+00        -6.654252e+00         1.122810e-03
          10        -6.655160e+00        -6.654343e+00         1.014189e-03
          11        -6.658589e+00        -6.654729e+00         9.927313e-04
          12        -6.654100e+00        -6.654677e+00         9.113858e-04
          13        -6.654555e+00        -6.654667e+00         8.413269e-04
          14        -6.657167e+00        -6.654846e+00         7.999577e-04
          15        -6.655403e+00        -6.654883e+00         7.474903e-04
          16        -6.655118e+00        -6.654898e+00         7.009170e-04
          17        -6.654725e+00        -6.654887e+00         6.597605e-04
          18        -6.651990e+00        -6.654727e+00         6.424435e-04
          19        -6.656626e+00        -6.654826e+00         6.163564e-04
          20        -6.651318e+00        -6.654651e+00         6.099973e-04
          21        -6.654952e+00        -6.654665e+00         5.811184e-04
          22        -6.657077e+00        -6.654775e+00         5.649482e-04
          23        -6.654022e+00        -6.654742e+00         5.413343e-04
          24        -6.654794e+00        -6.654744e+00         5.187831e-04
          25        -6.656287e+00        -6.654806e+00         5.016890e-04
          26        -6.658622e+00        -6.654953e+00         5.034002e-04
          27        -6.653601e+00        -6.654903e+00         4.872408e-04
          28        -6.657043e+00        -6.654979e+00         4.757981e-04
          29        -6.654564e+00        -6.654965e+00         4.596066e-04
          30        -6.655723e+00        -6.654990e+00         4.449812e-04
          31        -6.651596e+00        -6.654881e+00         4.438936e-04
          32        -6.658151e+00        -6.654983e+00         4.416298e-04
          33        -6.654813e+00        -6.654978e+00         4.282770e-04
          34        -6.654518e+00        -6.654964e+00         4.158936e-04
          35        -6.657948e+00        -6.655049e+00         4.126548e-04
          36        -6.653624e+00        -6.655010e+00         4.030874e-04
          37        -6.654800e+00        -6.655004e+00         3.922330e-04
          38        -6.658462e+00        -6.655095e+00         3.923241e-04
          39        -6.653011e+00        -6.655042e+00         3.858888e-04
          40        -6.655238e+00        -6.655047e+00         3.762729e-04
          41        -6.656427e+00        -6.655080e+00         3.685977e-04
          42        -6.658264e+00        -6.655156e+00         3.675345e-04
          43        -6.655633e+00        -6.655167e+00         3.591544e-04
          44        -6.655589e+00        -6.655177e+00         3.511199e-04
          45        -6.652435e+00        -6.655116e+00         3.485619e-04
          46        -6.655091e+00        -6.655115e+00         3.409849e-04
          47        -6.653719e+00        -6.655086e+00         3.350225e-04
          48        -6.653372e+00        -6.655050e+00         3.299387e-04
          49        -6.651172e+00        -6.654971e+00         3.325628e-04
          50        -6.654744e+00        -6.654966e+00         3.259424e-04
          51        -6.649769e+00        -6.654864e+00         3.351057e-04
          52        -6.658416e+00        -6.654933e+00         3.355486e-04
          53        -6.654601e+00        -6.654926e+00         3.292759e-04
          54        -6.655719e+00        -6.654941e+00         3.235056e-04
          55        -6.652824e+00        -6.654903e+00         3.199059e-04
          56        -6.651884e+00        -6.654849e+00         3.187014e-04
          57        -6.652888e+00        -6.654814e+00         3.149601e-04
          58        -6.654956e+00        -6.654817e+00         3.095392e-04
          59        -6.654908e+00        -6.654818e+00         3.042966e-04
          60        -6.655031e+00        -6.654822e+00         2.992456e-04
          61        -6.658376e+00        -6.654880e+00         2.999570e-04
          62        -6.656474e+00        -6.654906e+00         2.962186e-04
          63        -6.654843e+00        -6.654905e+00         2.915184e-04
          64        -6.657511e+00        -6.654946e+00         2.897928e-04
          65        -6.652793e+00        -6.654912e+00         2.872210e-04
          66        -6.650347e+00        -6.654843e+00         2.910806e-04
          67        -6.660097e+00        -6.654922e+00         2.971117e-04
          68        -6.652807e+00        -6.654891e+00         2.943652e-04
          69        -6.649771e+00        -6.654816e+00         2.993039e-04
          70        -6.657024e+00        -6.654848e+00         2.966856e-04
          71        -6.654238e+00        -6.654839e+00         2.926311e-04
          72        -6.661081e+00        -6.654926e+00         3.011355e-04
          73        -6.654742e+00        -6.654923e+00         2.970209e-04
          74        -6.654723e+00        -6.654921e+00         2.930195e-04
          75        -6.653672e+00        -6.654904e+00         2.895851e-04
          76        -6.657294e+00        -6.654936e+00         2.874778e-04
          77        -6.653928e+00        -6.654922e+00         2.840419e-04
          78        -6.650256e+00        -6.654863e+00         2.866306e-04
          79        -6.654747e+00        -6.654861e+00         2.830061e-04
          80        -6.660092e+00        -6.654927e+00         2.869227e-04
          81        -6.649292e+00        -6.654857e+00         2.916924e-04
          82        -6.650975e+00        -6.654810e+00         2.919526e-04
          83        -6.659811e+00        -6.654870e+00         2.945880e-04
          84        -6.653588e+00        -6.654855e+00         2.914762e-04
          85        -6.655167e+00        -6.654858e+00         2.880702e-04
          86        -6.652285e+00        -6.654828e+00         2.862707e-04
          87        -6.650954e+00        -6.654784e+00         2.864238e-04
          88        -6.655616e+00        -6.654793e+00         2.833249e-04
          89        -6.657623e+00        -6.654825e+00         2.819198e-04
          90        -6.660110e+00        -6.654884e+00         2.848369e-04
          91        -6.655906e+00        -6.654895e+00         2.819283e-04
          92        -6.654085e+00        -6.654886e+00         2.790014e-04
          93        -6.656017e+00        -6.654898e+00         2.762664e-04
          94        -6.654384e+00        -6.654893e+00         2.733815e-04
          95        -6.651523e+00        -6.654857e+00         2.727953e-04
          96        -6.653143e+00        -6.654840e+00         2.705379e-04
          97        -6.659162e+00        -6.654884e+00         2.713943e-04
          98        -6.653644e+00        -6.654872e+00         2.689197e-04
          99        -6.657956e+00        -6.654903e+00         2.680023e-04
         100        -6.657401e+00        -6.654928e+00         2.664839e-04
