#     BLOCK:          ACTUAL_T:              T_AVE:              ERROR:
           1         8.040510e-01         8.040510e-01         0.000000e+00
           2         8.049466e-01         8.044988e-01         3.166418e-04
           3         8.051278e-01         8.047085e-01         2.717878e-04
           4         8.075639e-01         8.054223e-01         6.509563e-04
           5         8.048449e-01         8.053068e-01         5.309088e-04
           6         8.053679e-01         8.053170e-01         4.425215e-04
           7         8.065477e-01         8.054928e-01         4.127528e-04
           8         7.998401e-01         8.047862e-01         7.531869e-04
           9         8.025282e-01         8.045353e-01         7.100578e-04
          10         8.051857e-01         8.046004e-01         6.420238e-04
          11         8.075977e-01         8.048729e-01         6.388697e-04
          12         8.038828e-01         8.047904e-01         5.909341e-04
          13         8.044028e-01         8.047606e-01         5.462290e-04
          14         8.062108e-01         8.048641e-01         5.169412e-04
          15         8.050471e-01         8.048763e-01         4.826224e-04
          16         8.050750e-01         8.048888e-01         4.526182e-04
          17         8.048974e-01         8.048893e-01         4.259939e-04
          18         8.027434e-01         8.047701e-01         4.186762e-04
          19         8.058502e-01         8.048269e-01         4.004817e-04
          20         8.031527e-01         8.047432e-01         3.891081e-04
          21         8.047303e-01         8.047426e-01         3.705796e-04
          22         8.061330e-01         8.048058e-01         3.590837e-04
          23         8.043518e-01         8.047860e-01         3.440134e-04
          24         8.050416e-01         8.047967e-01         3.298443e-04
          25         8.056666e-01         8.048315e-01         3.184806e-04
          26         8.074661e-01         8.049328e-01         3.219486e-04
          27         8.040504e-01         8.049001e-01         3.116789e-04
          28         8.063558e-01         8.049521e-01         3.048526e-04
          29         8.045525e-01         8.049383e-01         2.946517e-04
          30         8.057535e-01         8.049655e-01         2.860802e-04
          31         8.028908e-01         8.048986e-01         2.845723e-04
          32         8.066933e-01         8.049547e-01         2.811519e-04
          33         8.046966e-01         8.049469e-01         2.727409e-04
          34         8.045774e-01         8.049360e-01         2.649355e-04
          35         8.066413e-01         8.049847e-01         2.618077e-04
          36         8.043743e-01         8.049678e-01         2.550838e-04
          37         8.049866e-01         8.049683e-01         2.481902e-04
          38         8.068135e-01         8.050168e-01         2.463635e-04
          39         8.035899e-01         8.049802e-01         2.427483e-04
          40         8.050849e-01         8.049829e-01         2.366937e-04
          41         8.057540e-01         8.050017e-01         2.316666e-04
          42         8.069963e-01         8.050492e-01         2.309673e-04
          43         8.052026e-01         8.050527e-01         2.256236e-04
          44         8.055889e-01         8.050649e-01         2.208246e-04
          45         8.032149e-01         8.050238e-01         2.197110e-04
          46         8.048686e-01         8.050204e-01         2.149605e-04
          47         8.040598e-01         8.050000e-01         2.113563e-04
          48         8.041204e-01         8.049817e-01         2.077459e-04
          49         8.020306e-01         8.049214e-01         2.120564e-04
          50         8.046143e-01         8.049153e-01         2.079042e-04
          51         8.017249e-01         8.048527e-01         2.130312e-04
          52         8.072678e-01         8.048992e-01         2.139371e-04
          53         8.045412e-01         8.048924e-01         2.100071e-04
          54         8.054293e-01         8.049024e-01         2.063533e-04
          55         8.036996e-01         8.048805e-01         2.037568e-04
          56         8.030882e-01         8.048485e-01         2.026162e-04
          57         8.035840e-01         8.048263e-01         2.002724e-04
          58         8.045041e-01         8.048208e-01         1.968964e-04
          59         8.051689e-01         8.048267e-01         1.936476e-04
          60         8.046822e-01         8.048242e-01         1.904351e-04
          61         8.069462e-01         8.048590e-01         1.904640e-04
          62         8.057329e-01         8.048731e-01         1.879127e-04
          63         8.045571e-01         8.048681e-01         1.849969e-04
          64         8.063839e-01         8.048918e-01         1.836161e-04
          65         8.038599e-01         8.048759e-01         1.814763e-04
          66         8.019658e-01         8.048318e-01         1.840053e-04
          67         8.083580e-01         8.048845e-01         1.886354e-04
          68         8.037895e-01         8.048684e-01         1.865473e-04
          69         8.017674e-01         8.048234e-01         1.891799e-04
          70         8.060479e-01         8.048409e-01         1.872843e-04
          71         8.045221e-01         8.048364e-01         1.847003e-04
          72         8.086824e-01         8.048898e-01         1.897020e-04
          73         8.047153e-01         8.048874e-01         1.871184e-04
          74         8.043848e-01         8.048806e-01         1.847130e-04
          75         8.038437e-01         8.048668e-01         1.827669e-04
          76         8.066873e-01         8.048908e-01         1.819250e-04
          77         8.045107e-01         8.048858e-01         1.796293e-04
          78         8.014735e-01         8.048421e-01         1.825761e-04
          79         8.050633e-01         8.048449e-01         1.802864e-04
          80         8.082855e-01         8.048879e-01         1.830909e-04
          81         8.010016e-01         8.048399e-01         1.870114e-04
          82         8.023572e-01         8.048096e-01         1.871657e-04
          83         8.079520e-01         8.048475e-01         1.887009e-04
          84         8.036114e-01         8.048328e-01         1.870274e-04
          85         8.048700e-01         8.048332e-01         1.848276e-04
          86         8.033673e-01         8.048162e-01         1.834628e-04
          87         8.025701e-01         8.047904e-01         1.831614e-04
          88         8.047013e-01         8.047894e-01         1.810829e-04
          89         8.061176e-01         8.048043e-01         1.796622e-04
          90         8.079821e-01         8.048396e-01         1.811024e-04
          91         8.055623e-01         8.048475e-01         1.792863e-04
          92         8.041108e-01         8.048395e-01         1.775163e-04
          93         8.056771e-01         8.048485e-01         1.758358e-04
          94         8.044416e-01         8.048442e-01         1.740185e-04
          95         8.025701e-01         8.048203e-01         1.738254e-04
          96         8.035804e-01         8.048073e-01         1.724938e-04
          97         8.077156e-01         8.048373e-01         1.733017e-04
          98         8.038575e-01         8.048273e-01         1.718215e-04
          99         8.067992e-01         8.048472e-01         1.712365e-04
         100         8.064537e-01         8.048633e-01         1.702760e-04
