    # N_BLOCK:          ACCEPTANCE:
           1         1.474667e-02
           2         1.499057e-02
           3         1.527700e-02
           4         1.485311e-02
           5         1.485820e-02
           6         1.475545e-02
           7         1.465983e-02
           8         1.472985e-02
           9         1.453543e-02
          10         1.452787e-02
          11         1.428144e-02
          12         1.413824e-02
          13         1.416622e-02
          14         1.392389e-02
          15         1.395500e-02
          16         1.384771e-02
          17         1.373736e-02
          18         1.370574e-02
          19         1.356258e-02
          20         1.377688e-02
