    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         3.343400e+00         3.343400e+00         0.000000e+00
           2         3.769800e+00         3.556600e+00         1.507552e-01
           3         4.170800e+00         3.761333e+00         1.950507e-01
           4         3.565900e+00         3.712475e+00         1.522844e-01
           5         3.354500e+00         3.640880e+00         1.376322e-01
           6         3.137000e+00         3.556900e+00         1.379558e-01
           7         3.566900e+00         3.558329e+00         1.182552e-01
           8         4.155500e+00         3.632975e+00         1.248291e-01
           9         4.445700e+00         3.723278e+00         1.398587e-01
          10         3.049900e+00         3.655940e+00         1.411557e-01
          11         3.830200e+00         3.671782e+00         1.292092e-01
          12         3.131600e+00         3.626767e+00         1.260395e-01
          13         3.285900e+00         3.600546e+00         1.190403e-01
          14         3.532700e+00         3.595700e+00         1.106360e-01
          15         3.785400e+00         3.608347e+00         1.039806e-01
          16         2.883500e+00         3.563044e+00         1.068961e-01
          17         2.478900e+00         3.499271e+00         1.181092e-01
          18         4.493200e+00         3.554489e+00         1.237842e-01
          19         3.016100e+00         3.526153e+00         1.204689e-01
          20         3.348700e+00         3.517280e+00         1.147717e-01
