    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         4.037900e+00         4.037900e+00         0.000000e+00
           2         3.516800e+00         3.777350e+00         1.842367e-01
           3         3.194700e+00         3.583133e+00         2.005806e-01
           4         3.729400e+00         3.619700e+00         1.537325e-01
           5         3.695800e+00         3.634920e+00         1.237371e-01
           6         3.320800e+00         3.582567e+00         1.136513e-01
           7         2.954700e+00         3.492871e+00         1.280065e-01
           8         3.479500e+00         3.491200e+00         1.120166e-01
           9         4.246300e+00         3.575100e+00         1.271665e-01
          10         3.573800e+00         3.574970e+00         1.144499e-01
          11         3.468800e+00         3.565318e+00         1.044516e-01
          12         3.453300e+00         3.555983e+00         9.616351e-02
          13         3.161900e+00         3.525669e+00         9.342224e-02
          14         3.763900e+00         3.542686e+00         8.828537e-02
          15         3.411300e+00         3.533927e+00         8.283304e-02
          16         2.556500e+00         3.472837e+00         9.761708e-02
          17         3.171500e+00         3.455112e+00         9.347040e-02
          18         2.875100e+00         3.422889e+00         9.366731e-02
          19         3.368500e+00         3.420026e+00         8.878118e-02
          20         3.317000e+00         3.414875e+00         8.449144e-02
