    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1        -1.247000e-01        -1.247000e-01         0.000000e+00
           2        -4.100000e-03        -6.440000e-02         4.263854e-02
           3         4.223000e-01         9.783333e-02         1.354786e-01
           4         3.127000e-01         1.515500e-01         1.117519e-01
           5        -1.660000e-01         8.804000e-02         1.059219e-01
           6        -4.123000e-01         4.650000e-03         1.165598e-01
           7        -2.113000e-01        -2.620000e-02         1.039108e-01
           8         2.457000e-01         7.787500e-03         9.632009e-02
           9         4.633000e-01         5.840000e-02         9.801743e-02
          10        -2.431000e-01         2.825000e-02         9.273688e-02
          11         4.194000e-01         6.380909e-02         9.086827e-02
          12         6.450000e-02         6.386667e-02         8.329594e-02
          13         1.828000e-01         7.301538e-02         7.738934e-02
          14        -6.670000e-02         6.303571e-02         7.250214e-02
          15        -3.989000e-01         3.224000e-02         7.392022e-02
          16        -4.449000e-01         2.418750e-03         7.507492e-02
          17        -7.260000e-01        -4.042941e-02         8.197942e-02
          18         3.452000e-01        -1.900556e-02         8.017553e-02
          19         5.097000e-01         8.821053e-03         8.064021e-02
          20         6.350000e-02         1.155500e-02         7.665453e-02
