    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         6.037000e-01         6.037000e-01         0.000000e+00
           2        -3.417000e-01         1.310000e-01         3.342494e-01
           3        -1.547000e-01         3.576667e-02         2.360101e-01
           4         2.702000e-01         9.437500e-02         1.841409e-01
           5         4.263000e-01         1.607600e-01         1.588289e-01
           6         1.522000e-01         1.593333e-01         1.323638e-01
           7         1.078500e+00         2.906429e-01         1.662859e-01
           8        -7.758000e-01         1.573375e-01         1.916229e-01
           9        -6.543000e-01         6.715556e-02         1.903731e-01
          10         1.783000e-01         7.827000e-02         1.716600e-01
          11        -2.937000e-01         4.445455e-02         1.593504e-01
          12        -2.124000e-01         2.305000e-02         1.475017e-01
          13         7.271000e-01         7.720769e-02         1.457592e-01
          14        -3.237000e-01         4.857143e-02         1.381322e-01
          15        -4.250000e-02         4.250000e-02         1.290567e-01
          16        -4.540000e-02         3.700625e-02         1.211076e-01
          17        -3.910000e-01         1.182941e-02         1.165712e-01
          18        -5.703000e-01        -2.051111e-02         1.144933e-01
          19         3.535000e-01        -8.263158e-04         1.101465e-01
          20        -5.561000e-01        -2.859000e-02         1.080817e-01
