    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         2.263570e+01         2.263570e+01         0.000000e+00
           2         2.309840e+01         2.286705e+01         1.635910e-01
           3         2.381959e+01         2.318456e+01         2.812542e-01
           4         2.351770e+01         2.326785e+01         2.229308e-01
           5         2.398501e+01         2.341128e+01         2.196932e-01
           6         2.288057e+01         2.332283e+01         2.000930e-01
           7         2.314346e+01         2.329720e+01         1.731413e-01
           8         2.260920e+01         2.321120e+01         1.715326e-01
           9         2.334515e+01         2.322609e+01         1.531177e-01
          10         2.255236e+01         2.315871e+01         1.519067e-01
          11         2.298947e+01         2.314333e+01         1.388740e-01
          12         2.349698e+01         2.317280e+01         1.303908e-01
          13         2.305070e+01         2.316341e+01         1.206985e-01
          14         2.323660e+01         2.316863e+01         1.121904e-01
          15         2.241893e+01         2.311865e+01         1.153078e-01
          16         2.335236e+01         2.313326e+01         1.090223e-01
          17         2.321554e+01         2.313810e+01         1.027166e-01
          18         2.474769e+01         2.322752e+01         1.302420e-01
          19         2.338163e+01         2.323563e+01         1.236394e-01
          20         2.480535e+01         2.331412e+01         1.401724e-01
