    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.063897e+01         1.063897e+01         0.000000e+00
           2         1.073832e+01         1.068865e+01         3.512612e-02
           3         1.070293e+01         1.069341e+01         2.373781e-02
           4         1.069504e+01         1.069382e+01         1.780684e-02
           5         1.083635e+01         1.072232e+01         2.920700e-02
           6         1.053875e+01         1.069173e+01         3.704687e-02
           7         1.073103e+01         1.069734e+01         3.217720e-02
           8         1.083292e+01         1.071429e+01         3.231123e-02
           9         1.068947e+01         1.071153e+01         2.883855e-02
          10         1.075724e+01         1.071610e+01         2.631440e-02
          11         1.073136e+01         1.071749e+01         2.395869e-02
          12         1.071532e+01         1.071731e+01         2.196282e-02
          13         1.047999e+01         1.069905e+01         2.680724e-02
          14         1.049351e+01         1.068437e+01         2.863206e-02
          15         1.065723e+01         1.068256e+01         2.678035e-02
          16         1.065337e+01         1.068074e+01         2.516865e-02
          17         1.083360e+01         1.068973e+01         2.524342e-02
          18         1.056457e+01         1.068278e+01         2.478013e-02
          19         1.068211e+01         1.068274e+01         2.347594e-02
          20         1.070704e+01         1.068396e+01         2.233356e-02
