    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.454629e+01         1.454629e+01         0.000000e+00
           2         1.469386e+01         1.462007e+01         5.217482e-02
           3         1.491785e+01         1.471933e+01         8.819462e-02
           4         1.500631e+01         1.479108e+01         9.075037e-02
           5         1.474306e+01         1.478147e+01         7.310660e-02
           6         1.471306e+01         1.477007e+01         6.180508e-02
           7         1.459450e+01         1.474499e+01         5.784181e-02
           8         1.461453e+01         1.472868e+01         5.286056e-02
           9         1.468088e+01         1.472337e+01         4.725326e-02
          10         1.454344e+01         1.470538e+01         4.582579e-02
          11         1.490161e+01         1.472322e+01         4.499849e-02
          12         1.473272e+01         1.472401e+01         4.125558e-02
          13         1.468082e+01         1.472069e+01         3.821562e-02
          14         1.436763e+01         1.469547e+01         4.300927e-02
          15         1.439701e+01         1.467557e+01         4.450723e-02
          16         1.496186e+01         1.469346e+01         4.517943e-02
          17         1.463551e+01         1.469005e+01         4.265022e-02
          18         1.477824e+01         1.469495e+01         4.056116e-02
          19         1.429260e+01         1.467378e+01         4.360540e-02
          20         1.468257e+01         1.467422e+01         4.142735e-02
