    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         2.242696e+01         2.242696e+01         0.000000e+00
           2         2.158895e+01         2.200795e+01         2.962832e-01
           3         2.330045e+01         2.243879e+01         4.034335e-01
           4         2.203420e+01         2.233764e+01         3.149995e-01
           5         2.216182e+01         2.230248e+01         2.539547e-01
           6         2.235722e+01         2.231160e+01         2.117928e-01
           7         2.122331e+01         2.215613e+01         2.316754e-01
           8         2.093908e+01         2.200400e+01         2.476788e-01
           9         2.209034e+01         2.201359e+01         2.203447e-01
          10         2.228445e+01         2.204068e+01         1.999680e-01
          11         2.253255e+01         2.208539e+01         1.867218e-01
          12         2.213148e+01         2.208923e+01         1.712011e-01
          13         2.177026e+01         2.206470e+01         1.597804e-01
          14         2.253851e+01         2.209854e+01         1.519095e-01
          15         2.266440e+01         2.213627e+01         1.463913e-01
          16         2.100476e+01         2.206555e+01         1.533751e-01
          17         2.123882e+01         2.201692e+01         1.518672e-01
          18         2.310489e+01         2.207736e+01         1.549924e-01
          19         2.154485e+01         2.204933e+01         1.493474e-01
          20         2.234190e+01         2.206396e+01         1.425946e-01
