    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         4.241114e+02         4.241114e+02         0.000000e+00
           2         3.950992e+02         4.096053e+02         1.025736e+01
           3         4.533440e+02         4.241849e+02         1.372846e+01
           4         3.977562e+02         4.175777e+02         1.177946e+01
           5         3.804990e+02         4.101620e+02         1.152381e+01
           6         4.147824e+02         4.109320e+02         9.628872e+00
           7         4.491848e+02         4.163967e+02         9.680595e+00
           8         3.863984e+02         4.126469e+02         9.168043e+00
           9         4.364606e+02         4.152929e+02         8.522645e+00
          10         4.034016e+02         4.141038e+02         7.752894e+00
          11         4.036950e+02         4.131575e+02         7.105596e+00
          12         3.926834e+02         4.114513e+02         6.715181e+00
          13         3.989792e+02         4.104919e+02         6.266788e+00
          14         4.086846e+02         4.103628e+02         5.820490e+00
          15         3.736804e+02         4.079173e+02         5.923964e+00
          16         3.961622e+02         4.071826e+02         5.599090e+00
          17         3.840482e+02         4.058218e+02         5.432591e+00
          18         4.313468e+02         4.072399e+02         5.312633e+00
          19         4.324602e+02         4.085672e+02         5.196203e+00
          20         4.245206e+02         4.093649e+02         4.997242e+00
