    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         1.610213e+03         1.610213e+03         0.000000e+00
           2         1.570985e+03         1.590599e+03         1.386950e+01
           3         1.610232e+03         1.597143e+03         1.067931e+01
           4         1.727017e+03         1.629612e+03         2.923698e+01
           5         1.622545e+03         1.628198e+03         2.342372e+01
           6         1.578239e+03         1.619872e+03         2.094748e+01
           7         1.525199e+03         1.606347e+03         2.188992e+01
           8         1.538615e+03         1.597881e+03         2.072642e+01
           9         1.493539e+03         1.586287e+03         2.142198e+01
          10         1.567814e+03         1.584440e+03         1.935927e+01
          11         1.462308e+03         1.573337e+03         2.053788e+01
          12         1.484427e+03         1.565928e+03         2.011850e+01
          13         1.638937e+03         1.571544e+03         1.933891e+01
          14         1.706481e+03         1.581182e+03         2.021722e+01
          15         1.542424e+03         1.578598e+03         1.903381e+01
          16         1.705367e+03         1.586521e+03         1.942334e+01
          17         1.557869e+03         1.584836e+03         1.835377e+01
          18         1.647055e+03         1.588293e+03         1.765662e+01
          19         1.552006e+03         1.586383e+03         1.683029e+01
          20         1.556397e+03         1.584884e+03         1.605542e+01
