    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         2.894542e+02         2.894542e+02         0.000000e+00
           2         2.721733e+02         2.808137e+02         6.109724e+00
           3         2.671118e+02         2.762464e+02         5.522444e+00
           4         2.808235e+02         2.773907e+02         4.258729e+00
           5         2.566896e+02         2.732505e+02         5.031958e+00
           6         2.727464e+02         2.731665e+02         4.194000e+00
           7         2.765091e+02         2.736440e+02         3.621939e+00
           8         2.676773e+02         2.728981e+02         3.245081e+00
           9         2.799902e+02         2.736861e+02         2.978656e+00
          10         2.691673e+02         2.732343e+02         2.714851e+00
          11         2.798596e+02         2.738366e+02         2.533979e+00
          12         2.888291e+02         2.750859e+02         2.612725e+00
          13         2.828027e+02         2.756795e+02         2.478260e+00
          14         2.923687e+02         2.768716e+02         2.572018e+00
          15         2.685380e+02         2.763160e+02         2.459822e+00
          16         2.690955e+02         2.758648e+02         2.347116e+00
          17         2.827456e+02         2.762695e+02         2.243678e+00
          18         2.883938e+02         2.769431e+02         2.217832e+00
          19         2.665196e+02         2.763945e+02         2.167894e+00
          20         2.649749e+02         2.758235e+02         2.133367e+00
