    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         1.059165e+02         1.059165e+02         0.000000e+00
           2         1.084788e+02         1.071976e+02         9.058922e-01
           3         1.102218e+02         1.082057e+02         1.020863e+00
           4         1.113776e+02         1.089987e+02         1.028513e+00
           5         1.087325e+02         1.089454e+02         8.241872e-01
           6         1.072069e+02         1.086557e+02         7.359972e-01
           7         1.104701e+02         1.089149e+02         6.749580e-01
           8         1.079365e+02         1.087926e+02         6.015658e-01
           9         1.100479e+02         1.089321e+02         5.506572e-01
          10         1.104174e+02         1.090806e+02         5.152344e-01
          11         1.053479e+02         1.087412e+02         5.692764e-01
          12         1.075370e+02         1.086409e+02         5.306083e-01
          13         1.082754e+02         1.086128e+02         4.905367e-01
          14         1.098491e+02         1.087011e+02         4.633794e-01
          15         1.063106e+02         1.085417e+02         4.590743e-01
          16         1.108744e+02         1.086875e+02         4.529407e-01
          17         1.078895e+02         1.086406e+02         4.287227e-01
          18         1.104935e+02         1.087435e+02         4.170802e-01
          19         1.131658e+02         1.089763e+02         4.554643e-01
          20         1.069306e+02         1.088740e+02         4.440271e-01
