    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -7.242256e-01        -7.242256e-01         0.000000e+00
           2        -7.255383e-01        -7.248820e-01         4.641025e-04
           3        -7.254848e-01        -7.250829e-01         3.502053e-04
           4        -7.229086e-01        -7.245393e-01         5.390751e-04
           5        -7.230390e-01        -7.242392e-01         5.079565e-04
           6        -7.242453e-01        -7.242403e-01         4.232981e-04
           7        -7.251162e-01        -7.243654e-01         3.808740e-04
           8        -7.258931e-01        -7.245564e-01         3.781201e-04
           9        -7.270191e-01        -7.248300e-01         4.237034e-04
          10        -7.237802e-01        -7.247250e-01         3.941228e-04
          11        -7.260761e-01        -7.248478e-01         3.769462e-04
          12        -7.240019e-01        -7.247773e-01         3.520645e-04
          13        -7.254962e-01        -7.248326e-01         3.292970e-04
          14        -7.265125e-01        -7.249526e-01         3.269061e-04
          15        -7.236962e-01        -7.248689e-01         3.156618e-04
          16        -7.259924e-01        -7.249391e-01         3.036430e-04
          17        -7.259103e-01        -7.249962e-01         2.911063e-04
          18        -7.282596e-01        -7.251775e-01         3.265452e-04
          19        -7.241162e-01        -7.251217e-01         3.141002e-04
          20        -7.244840e-01        -7.250898e-01         3.000090e-04
