    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -8.154874e-01        -8.154874e-01         0.000000e+00
           2        -8.144897e-01        -8.149885e-01         3.527473e-04
           3        -8.090043e-01        -8.129938e-01         1.645588e-03
           4        -8.145359e-01        -8.133793e-01         1.278553e-03
           5        -8.154296e-01        -8.137894e-01         1.086608e-03
           6        -8.139969e-01        -8.138240e-01         9.060574e-04
           7        -8.150708e-01        -8.140021e-01         7.939358e-04
           8        -8.124984e-01        -8.138141e-01         7.165989e-04
           9        -8.131012e-01        -8.137349e-01         6.413399e-04
          10        -8.114059e-01        -8.135020e-01         6.180486e-04
          11        -8.144903e-01        -8.135919e-01         5.683555e-04
          12        -8.100142e-01        -8.132937e-01         5.940625e-04
          13        -8.131236e-01        -8.132806e-01         5.485094e-04
          14        -8.127483e-01        -8.132426e-01         5.106465e-04
          15        -8.145895e-01        -8.133324e-01         4.844340e-04
          16        -8.125197e-01        -8.132816e-01         4.568121e-04
          17        -8.106244e-01        -8.131253e-01         4.558987e-04
          18        -8.090268e-01        -8.128976e-01         4.841022e-04
          19        -8.130544e-01        -8.129059e-01         4.586935e-04
          20        -8.138866e-01        -8.129549e-01         4.383719e-04
