    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -4.817440e-01        -4.817440e-01         0.000000e+00
           2        -4.827720e-01        -4.822580e-01         3.634529e-04
           3        -4.821200e-01        -4.822120e-01         2.451956e-04
           4        -4.823880e-01        -4.822560e-01         1.878031e-04
           5        -4.810800e-01        -4.820208e-01         2.585112e-04
           6        -4.815560e-01        -4.819433e-01         2.267361e-04
           7        -4.845200e-01        -4.823114e-01         3.923109e-04
           8        -4.833200e-01        -4.824375e-01         3.629641e-04
           9        -4.810480e-01        -4.822831e-01         3.539501e-04
          10        -4.820760e-01        -4.822624e-01         3.191605e-04
          11        -4.834040e-01        -4.823662e-01         3.065553e-04
          12        -4.826040e-01        -4.823860e-01         2.816489e-04
          13        -4.826480e-01        -4.824062e-01         2.607037e-04
          14        -4.833320e-01        -4.824723e-01         2.503292e-04
          15        -4.813400e-01        -4.823968e-01         2.447574e-04
          16        -4.832200e-01        -4.824483e-01         2.348054e-04
          17        -4.825920e-01        -4.824567e-01         2.211455e-04
          18        -4.833880e-01        -4.825084e-01         2.148267e-04
          19        -4.829240e-01        -4.825303e-01         2.046303e-04
          20        -4.833040e-01        -4.825690e-01         1.980216e-04
