    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -8.948480e-01        -8.948480e-01         0.000000e+00
           2        -8.896280e-01        -8.922380e-01         1.845549e-03
           3        -8.903560e-01        -8.916107e-01         1.332728e-03
           4        -8.949880e-01        -8.924550e-01         1.238453e-03
           5        -8.976040e-01        -8.934848e-01         1.352775e-03
           6        -8.901080e-01        -8.929220e-01         1.238865e-03
           7        -8.967160e-01        -8.934640e-01         1.174477e-03
           8        -8.879400e-01        -8.927735e-01         1.213792e-03
           9        -8.884720e-01        -8.922956e-01         1.169244e-03
          10        -8.918400e-01        -8.922500e-01         1.053207e-03
          11        -8.913480e-01        -8.921680e-01         9.606477e-04
          12        -8.873960e-01        -8.917703e-01         9.593779e-04
          13        -8.940960e-01        -8.919492e-01         9.021051e-04
          14        -8.988880e-01        -8.924449e-01         9.642555e-04
          15        -8.924000e-01        -8.924419e-01         8.999765e-04
          16        -8.922840e-01        -8.924320e-01         8.437820e-04
          17        -8.920520e-01        -8.924096e-01         7.944438e-04
          18        -8.873160e-01        -8.921267e-01         7.991191e-04
          19        -8.950280e-01        -8.922794e-01         7.715120e-04
          20        -8.955560e-01        -8.924432e-01         7.501296e-04
