    # BLOCK:          ACTUAL_KE:              KE_AVE:              ERROR:
           1         1.832838e+00         1.832838e+00         0.000000e+00
           2         1.793572e+00         1.813205e+00         1.388271e-02
           3         1.797416e+00         1.807942e+00         1.020411e-02
           4         1.838939e+00         1.815691e+00         1.017879e-02
           5         1.796209e+00         1.811795e+00         8.857454e-03
           6         1.787899e+00         1.807812e+00         8.227976e-03
           7         1.801554e+00         1.806918e+00         7.100954e-03
           8         1.773585e+00         1.802752e+00         7.334570e-03
           9         1.781491e+00         1.800389e+00         6.889540e-03
          10         1.863826e+00         1.806733e+00         8.640899e-03
          11         1.826648e+00         1.808543e+00         8.042784e-03
          12         1.791057e+00         1.807086e+00         7.503400e-03
          13         1.743996e+00         1.802233e+00         8.349423e-03
          14         1.805519e+00         1.802468e+00         7.756334e-03
          15         1.824683e+00         1.803949e+00         7.379285e-03
          16         1.783623e+00         1.802678e+00         7.026573e-03
          17         1.827512e+00         1.804139e+00         6.763393e-03
          18         1.834513e+00         1.805827e+00         6.594797e-03
          19         1.812026e+00         1.806153e+00         6.255769e-03
          20         1.858983e+00         1.808795e+00         6.476702e-03
          21         1.879279e+00         1.812151e+00         6.984046e-03
          22         1.853285e+00         1.814021e+00         6.912339e-03
          23         1.767628e+00         1.812004e+00         6.899832e-03
          24         1.815840e+00         1.812163e+00         6.614191e-03
          25         1.837684e+00         1.813184e+00         6.427919e-03
          26         1.818396e+00         1.813385e+00         6.183816e-03
          27         1.823684e+00         1.813766e+00         5.966539e-03
          28         1.776554e+00         1.812437e+00         5.899607e-03
          29         1.779190e+00         1.811291e+00         5.806496e-03
          30         1.798956e+00         1.810880e+00         5.627483e-03
          31         1.823470e+00         1.811286e+00         5.460587e-03
          32         1.799368e+00         1.810913e+00         5.302629e-03
          33         1.839591e+00         1.811782e+00         5.212669e-03
          34         1.801146e+00         1.811470e+00         5.068734e-03
          35         1.834086e+00         1.812116e+00         4.964933e-03
          36         1.858311e+00         1.813399e+00         4.990090e-03
          37         1.822831e+00         1.813654e+00         4.861729e-03
          38         1.837059e+00         1.814270e+00         4.772644e-03
          39         1.832432e+00         1.814735e+00         4.672934e-03
          40         1.840071e+00         1.815369e+00         4.598835e-03
          41         1.819579e+00         1.815472e+00         4.487815e-03
          42         1.830967e+00         1.815840e+00         4.396101e-03
          43         1.822138e+00         1.815987e+00         4.296305e-03
          44         1.822417e+00         1.816133e+00         4.201146e-03
          45         1.796371e+00         1.815694e+00         4.130677e-03
          46         1.800601e+00         1.815366e+00         4.053890e-03
          47         1.823634e+00         1.815542e+00         3.971452e-03
          48         1.902266e+00         1.817348e+00         4.280008e-03
          49         1.861697e+00         1.818254e+00         4.287290e-03
          50         1.869178e+00         1.819272e+00         4.320826e-03
          51         1.897724e+00         1.820810e+00         4.501609e-03
          52         1.843990e+00         1.821256e+00         4.437055e-03
          53         1.808064e+00         1.821007e+00         4.360313e-03
          54         1.843429e+00         1.821422e+00         4.299291e-03
          55         1.830852e+00         1.821594e+00         4.224539e-03
          56         1.813523e+00         1.821450e+00         4.151558e-03
          57         1.854921e+00         1.822037e+00         4.120043e-03
          58         1.798939e+00         1.821639e+00         4.068209e-03
          59         1.839226e+00         1.821937e+00         4.010162e-03
          60         1.776157e+00         1.821174e+00         4.015256e-03
          61         1.826412e+00         1.821260e+00         3.950350e-03
          62         1.748825e+00         1.820091e+00         4.055719e-03
          63         1.806905e+00         1.819882e+00         3.996740e-03
          64         1.802214e+00         1.819606e+00         3.943813e-03
          65         1.802724e+00         1.819346e+00         3.891683e-03
          66         1.785580e+00         1.818835e+00         3.866199e-03
          67         1.772246e+00         1.818139e+00         3.870520e-03
          68         1.768222e+00         1.817405e+00         3.882588e-03
          69         1.823158e+00         1.817489e+00         3.827214e-03
          70         1.811617e+00         1.817405e+00         3.773459e-03
          71         1.875588e+00         1.818224e+00         3.808254e-03
          72         1.812813e+00         1.818149e+00         3.756103e-03
          73         1.819912e+00         1.818173e+00         3.704727e-03
          74         1.831704e+00         1.818356e+00         3.659173e-03
          75         1.823647e+00         1.818427e+00         3.611064e-03
          76         1.838917e+00         1.818696e+00         3.573600e-03
          77         1.760118e+00         1.817935e+00         3.607256e-03
          78         1.771436e+00         1.817339e+00         3.609933e-03
          79         1.754681e+00         1.816546e+00         3.650329e-03
          80         1.770646e+00         1.815972e+00         3.649511e-03
          81         1.798549e+00         1.815757e+00         3.610789e-03
          82         1.764080e+00         1.815127e+00         3.621334e-03
          83         1.805163e+00         1.815007e+00         3.579693e-03
          84         1.794804e+00         1.814766e+00         3.545148e-03
          85         1.785896e+00         1.814427e+00         3.519673e-03
          86         1.764665e+00         1.813848e+00         3.525987e-03
          87         1.778837e+00         1.813446e+00         3.508348e-03
          88         1.846291e+00         1.813819e+00         3.488278e-03
          89         1.846523e+00         1.814187e+00         3.468384e-03
          90         1.809300e+00         1.814132e+00         3.430271e-03
          91         1.806678e+00         1.814050e+00         3.393554e-03
          92         1.752040e+00         1.813376e+00         3.422951e-03
          93         1.787511e+00         1.813098e+00         3.397426e-03
          94         1.899913e+00         1.814022e+00         3.484552e-03
          95         1.816672e+00         1.814050e+00         3.447985e-03
          96         1.817382e+00         1.814084e+00         3.412243e-03
          97         1.832380e+00         1.814273e+00         3.382274e-03
          98         1.830756e+00         1.814441e+00         3.351940e-03
          99         1.891862e+00         1.815223e+00         3.408088e-03
         100         1.938323e+00         1.816454e+00         3.589446e-03
         101         1.886656e+00         1.817149e+00         3.620579e-03
         102         1.859120e+00         1.817561e+00         3.608390e-03
         103         1.841191e+00         1.817790e+00         3.580643e-03
         104         1.851420e+00         1.818113e+00         3.560785e-03
         105         1.849835e+00         1.818416e+00         3.539665e-03
         106         1.843142e+00         1.818649e+00         3.513950e-03
         107         1.905207e+00         1.819458e+00         3.573011e-03
         108         1.906904e+00         1.820267e+00         3.630510e-03
         109         1.852665e+00         1.820565e+00         3.609349e-03
         110         1.889464e+00         1.821191e+00         3.630477e-03
         111         1.836480e+00         1.821329e+00         3.600382e-03
         112         1.837074e+00         1.821469e+00         3.570979e-03
         113         1.844789e+00         1.821676e+00         3.545336e-03
         114         1.915487e+00         1.822499e+00         3.608475e-03
         115         1.885213e+00         1.823044e+00         3.618071e-03
         116         1.914469e+00         1.823832e+00         3.671720e-03
         117         1.875174e+00         1.824271e+00         3.666467e-03
         118         1.815277e+00         1.824195e+00         3.636188e-03
         119         1.804347e+00         1.824028e+00         3.609455e-03
         120         1.847305e+00         1.824222e+00         3.584584e-03
         121         1.808204e+00         1.824090e+00         3.557403e-03
         122         1.799762e+00         1.823890e+00         3.533828e-03
         123         1.726493e+00         1.823098e+00         3.592720e-03
         124         1.764492e+00         1.822626e+00         3.594700e-03
         125         1.801196e+00         1.822454e+00         3.570028e-03
         126         1.743768e+00         1.821830e+00         3.595900e-03
         127         1.799099e+00         1.821651e+00         3.572037e-03
         128         1.796295e+00         1.821453e+00         3.549619e-03
         129         1.801376e+00         1.821297e+00         3.525513e-03
         130         1.839709e+00         1.821439e+00         3.501237e-03
         131         1.816098e+00         1.821398e+00         3.474748e-03
         132         1.790887e+00         1.821167e+00         3.456103e-03
         133         1.750381e+00         1.820635e+00         3.470855e-03
         134         1.713235e+00         1.819833e+00         3.536282e-03
         135         1.761420e+00         1.819400e+00         3.536459e-03
         136         1.776981e+00         1.819088e+00         3.524184e-03
         137         1.799327e+00         1.818944e+00         3.501411e-03
         138         1.778307e+00         1.818650e+00         3.488399e-03
         139         1.746376e+00         1.818130e+00         3.501839e-03
         140         1.735894e+00         1.817542e+00         3.525747e-03
         141         1.854264e+00         1.817803e+00         3.510347e-03
         142         1.846960e+00         1.818008e+00         3.491627e-03
         143         1.827013e+00         1.818071e+00         3.467777e-03
         144         1.798600e+00         1.817936e+00         3.446331e-03
         145         1.825466e+00         1.817988e+00         3.422954e-03
         146         1.817711e+00         1.817986e+00         3.399510e-03
         147         1.770972e+00         1.817666e+00         3.391395e-03
         148         1.777093e+00         1.817392e+00         3.379542e-03
         149         1.780738e+00         1.817146e+00         3.365802e-03
         150         1.788638e+00         1.816956e+00         3.348724e-03
         151         1.867381e+00         1.817290e+00         3.343156e-03
