    # BLOCK:          ACTUAL_T:              T_AVE:              ERROR:
           1         1.221892e+00         1.221892e+00         0.000000e+00
           2         1.195714e+00         1.208803e+00         9.255141e-03
           3         1.198277e+00         1.205295e+00         6.802738e-03
           4         1.225959e+00         1.210461e+00         6.785862e-03
           5         1.197473e+00         1.207863e+00         5.904970e-03
           6         1.191933e+00         1.205208e+00         5.485317e-03
           7         1.201036e+00         1.204612e+00         4.733970e-03
           8         1.182390e+00         1.201834e+00         4.889713e-03
           9         1.187661e+00         1.200260e+00         4.593026e-03
          10         1.242551e+00         1.204489e+00         5.760599e-03
          11         1.217765e+00         1.205696e+00         5.361856e-03
          12         1.194038e+00         1.204724e+00         5.002267e-03
          13         1.162664e+00         1.201489e+00         5.566282e-03
          14         1.203679e+00         1.201645e+00         5.170889e-03
          15         1.216455e+00         1.202633e+00         4.919523e-03
          16         1.189082e+00         1.201786e+00         4.684382e-03
          17         1.218342e+00         1.202760e+00         4.508928e-03
          18         1.223009e+00         1.203884e+00         4.396532e-03
          19         1.208017e+00         1.204102e+00         4.170513e-03
          20         1.239322e+00         1.205863e+00         4.317802e-03
          21         1.252853e+00         1.208101e+00         4.656031e-03
          22         1.235523e+00         1.209347e+00         4.608226e-03
          23         1.178418e+00         1.208002e+00         4.599888e-03
          24         1.210560e+00         1.208109e+00         4.409461e-03
          25         1.225123e+00         1.208790e+00         4.285279e-03
          26         1.212264e+00         1.208923e+00         4.122544e-03
          27         1.215789e+00         1.209177e+00         3.977693e-03
          28         1.184369e+00         1.208291e+00         3.933071e-03
          29         1.186127e+00         1.207527e+00         3.870997e-03
          30         1.199304e+00         1.207253e+00         3.751655e-03
          31         1.215647e+00         1.207524e+00         3.640392e-03
          32         1.199579e+00         1.207276e+00         3.535086e-03
          33         1.226394e+00         1.207855e+00         3.475113e-03
          34         1.200764e+00         1.207646e+00         3.379156e-03
          35         1.222724e+00         1.208077e+00         3.309955e-03
          36         1.238874e+00         1.208933e+00         3.326726e-03
          37         1.215220e+00         1.209103e+00         3.241152e-03
          38         1.224706e+00         1.209513e+00         3.181763e-03
          39         1.221621e+00         1.209824e+00         3.115290e-03
          40         1.226714e+00         1.210246e+00         3.065890e-03
          41         1.213052e+00         1.210314e+00         2.991876e-03
          42         1.220645e+00         1.210560e+00         2.930734e-03
          43         1.214759e+00         1.210658e+00         2.864203e-03
          44         1.214945e+00         1.210755e+00         2.800764e-03
          45         1.197581e+00         1.210463e+00         2.753785e-03
          46         1.200401e+00         1.210244e+00         2.702593e-03
          47         1.215756e+00         1.210361e+00         2.647635e-03
          48         1.268177e+00         1.211566e+00         2.853339e-03
          49         1.241132e+00         1.212169e+00         2.858193e-03
          50         1.246119e+00         1.212848e+00         2.880551e-03
          51         1.265150e+00         1.213874e+00         3.001073e-03
          52         1.229326e+00         1.214171e+00         2.958037e-03
          53         1.205376e+00         1.214005e+00         2.906876e-03
          54         1.228953e+00         1.214282e+00         2.866194e-03
          55         1.220568e+00         1.214396e+00         2.816359e-03
          56         1.209015e+00         1.214300e+00         2.767706e-03
          57         1.236614e+00         1.214691e+00         2.746695e-03
          58         1.199293e+00         1.214426e+00         2.712139e-03
          59         1.226151e+00         1.214624e+00         2.673442e-03
          60         1.184105e+00         1.214116e+00         2.676837e-03
          61         1.217608e+00         1.214173e+00         2.633567e-03
          62         1.165883e+00         1.213394e+00         2.703813e-03
          63         1.204603e+00         1.213255e+00         2.664493e-03
          64         1.201476e+00         1.213071e+00         2.629209e-03
          65         1.201816e+00         1.212897e+00         2.594455e-03
          66         1.190387e+00         1.212556e+00         2.577466e-03
          67         1.181497e+00         1.212093e+00         2.580347e-03
          68         1.178815e+00         1.211603e+00         2.588392e-03
          69         1.215439e+00         1.211659e+00         2.551476e-03
          70         1.207744e+00         1.211603e+00         2.515639e-03
          71         1.250392e+00         1.212149e+00         2.538836e-03
          72         1.208542e+00         1.212099e+00         2.504069e-03
          73         1.213274e+00         1.212115e+00         2.469818e-03
          74         1.221136e+00         1.212237e+00         2.439449e-03
          75         1.215764e+00         1.212284e+00         2.407376e-03
          76         1.225944e+00         1.212464e+00         2.382400e-03
          77         1.173412e+00         1.211957e+00         2.404838e-03
          78         1.180958e+00         1.211560e+00         2.406622e-03
          79         1.169787e+00         1.211031e+00         2.433553e-03
          80         1.180431e+00         1.210648e+00         2.433007e-03
          81         1.199032e+00         1.210505e+00         2.407193e-03
          82         1.176054e+00         1.210085e+00         2.414223e-03
          83         1.203442e+00         1.210005e+00         2.386462e-03
          84         1.196536e+00         1.209844e+00         2.363432e-03
          85         1.190598e+00         1.209618e+00         2.346448e-03
          86         1.176444e+00         1.209232e+00         2.350658e-03
          87         1.185892e+00         1.208964e+00         2.338898e-03
          88         1.230861e+00         1.209213e+00         2.325518e-03
          89         1.231015e+00         1.209458e+00         2.312256e-03
          90         1.206200e+00         1.209421e+00         2.286847e-03
          91         1.204452e+00         1.209367e+00         2.262369e-03
          92         1.168026e+00         1.208918e+00         2.281967e-03
          93         1.191674e+00         1.208732e+00         2.264950e-03
          94         1.266608e+00         1.209348e+00         2.323035e-03
          95         1.211114e+00         1.209366e+00         2.298656e-03
          96         1.211588e+00         1.209390e+00         2.274828e-03
          97         1.221587e+00         1.209515e+00         2.254849e-03
          98         1.220504e+00         1.209627e+00         2.234627e-03
          99         1.261241e+00         1.210149e+00         2.272059e-03
         100         1.292215e+00         1.210969e+00         2.392964e-03
         101         1.257771e+00         1.211433e+00         2.413719e-03
         102         1.239413e+00         1.211707e+00         2.405593e-03
