    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1         1.406718e+00         1.406718e+00         0.000000e+00
           2         1.406853e+00         1.406785e+00         4.754920e-05
           3         1.406866e+00         1.406812e+00         3.850292e-05
           4         1.406710e+00         1.406787e+00         3.636119e-05
           5         1.406781e+00         1.406785e+00         2.910472e-05
           6         1.406708e+00         1.406773e+00         2.699439e-05
           7         1.406867e+00         1.406786e+00         2.628068e-05
           8         1.406976e+00         1.406810e+00         3.195873e-05
           9         1.406888e+00         1.406818e+00         2.956319e-05
          10         1.406782e+00         1.406815e+00         2.682586e-05
          11         1.406798e+00         1.406813e+00         2.443251e-05
          12         1.406848e+00         1.406816e+00         2.256956e-05
          13         1.406832e+00         1.406817e+00         2.086834e-05
          14         1.406863e+00         1.406821e+00         1.963077e-05
          15         1.406896e+00         1.406826e+00         1.894862e-05
          16         1.406873e+00         1.406829e+00         1.799466e-05
          17         1.406708e+00         1.406822e+00         1.828359e-05
          18         1.406849e+00         1.406823e+00         1.733128e-05
          19         1.406870e+00         1.406826e+00         1.659408e-05
          20         1.406815e+00         1.406825e+00         1.577297e-05
          21         1.406807e+00         1.406824e+00         1.504576e-05
          22         1.406781e+00         1.406822e+00         1.448696e-05
          23         1.406832e+00         1.406823e+00         1.386293e-05
          24         1.406899e+00         1.406826e+00         1.364982e-05
          25         1.406866e+00         1.406827e+00         1.319726e-05
          26         1.406845e+00         1.406828e+00         1.270624e-05
          27         1.406857e+00         1.406829e+00         1.228075e-05
          28         1.406739e+00         1.406826e+00         1.225342e-05
          29         1.406713e+00         1.406822e+00         1.243201e-05
          30         1.406838e+00         1.406823e+00         1.202907e-05
          31         1.406848e+00         1.406823e+00         1.167001e-05
          32         1.406891e+00         1.406825e+00         1.149299e-05
          33         1.406858e+00         1.406826e+00         1.118619e-05
          34         1.406868e+00         1.406828e+00         1.092258e-05
          35         1.406891e+00         1.406829e+00         1.075829e-05
          36         1.406904e+00         1.406832e+00         1.065511e-05
          37         1.406719e+00         1.406829e+00         1.079024e-05
          38         1.406659e+00         1.406824e+00         1.139101e-05
          39         1.406683e+00         1.406820e+00         1.165992e-05
          40         1.406749e+00         1.406819e+00         1.150605e-05
          41         1.406665e+00         1.406815e+00         1.181629e-05
          42         1.406796e+00         1.406814e+00         1.154380e-05
          43         1.406697e+00         1.406812e+00         1.159443e-05
          44         1.406756e+00         1.406810e+00         1.140055e-05
          45         1.406805e+00         1.406810e+00         1.114782e-05
          46         1.406848e+00         1.406811e+00         1.093500e-05
          47         1.406736e+00         1.406810e+00         1.081951e-05
          48         1.406822e+00         1.406810e+00         1.059704e-05
          49         1.406820e+00         1.406810e+00         1.038298e-05
          50         1.406811e+00         1.406810e+00         1.017535e-05
          51         1.406833e+00         1.406810e+00         9.985922e-06
          52         1.406725e+00         1.406809e+00         9.928123e-06
