    # BLOCK:          DISTANCE:          ACTUAL_GOFR:          AVE_GOFR:              ERROR:
           1         3.231652e-02         0.000000e+00         0.000000e+00         0.000000e+00
           1         9.694956e-02         0.000000e+00         0.000000e+00         0.000000e+00
           1         1.615826e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         2.262156e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         2.908487e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         3.554817e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         4.201148e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         4.847478e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         5.493808e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         6.140139e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         6.786469e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         7.432800e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         8.079130e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         8.725460e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         9.371791e-01         1.401577e-01         1.401577e-01         0.000000e+00
           1         1.001812e+00         1.000235e+00         1.000235e+00         0.000000e+00
           1         1.066445e+00         1.905025e+00         1.905025e+00         0.000000e+00
           1         1.131078e+00         2.153499e+00         2.153499e+00         0.000000e+00
           1         1.195711e+00         1.950365e+00         1.950365e+00         0.000000e+00
           1         1.260344e+00         1.767201e+00         1.767201e+00         0.000000e+00
           1         1.324977e+00         1.532279e+00         1.532279e+00         0.000000e+00
           1         1.389610e+00         1.383542e+00         1.383542e+00         0.000000e+00
           1         1.454243e+00         1.266693e+00         1.266693e+00         0.000000e+00
           1         1.518876e+00         1.181067e+00         1.181067e+00         0.000000e+00
           1         1.583509e+00         1.135721e+00         1.135721e+00         0.000000e+00
           1         1.648143e+00         1.103330e+00         1.103330e+00         0.000000e+00
           1         1.712776e+00         1.063774e+00         1.063774e+00         0.000000e+00
           1         1.777409e+00         1.058347e+00         1.058347e+00         0.000000e+00
           1         1.842042e+00         1.027830e+00         1.027830e+00         0.000000e+00
           1         1.906675e+00         1.024370e+00         1.024370e+00         0.000000e+00
           1         1.971308e+00         1.010975e+00         1.010975e+00         0.000000e+00
           1         2.035941e+00         1.043062e+00         1.043062e+00         0.000000e+00
           1         2.100574e+00         1.032979e+00         1.032979e+00         0.000000e+00
           1         2.165207e+00         1.002196e+00         1.002196e+00         0.000000e+00
           1         2.229840e+00         1.028794e+00         1.028794e+00         0.000000e+00
           1         2.294473e+00         1.028360e+00         1.028360e+00         0.000000e+00
           1         2.359106e+00         9.988029e-01         9.988029e-01         0.000000e+00
           1         2.423739e+00         1.021084e+00         1.021084e+00         0.000000e+00
           1         2.488372e+00         1.002227e+00         1.002227e+00         0.000000e+00
           1         2.553005e+00         9.905051e-01         9.905051e-01         0.000000e+00
           1         2.617638e+00         9.978760e-01         9.978760e-01         0.000000e+00
           1         2.682271e+00         9.746257e-01         9.746257e-01         0.000000e+00
           1         2.746904e+00         9.950861e-01         9.950861e-01         0.000000e+00
           1         2.811537e+00         9.795484e-01         9.795484e-01         0.000000e+00
           1         2.876170e+00         9.939329e-01         9.939329e-01         0.000000e+00
           1         2.940803e+00         9.877126e-01         9.877126e-01         0.000000e+00
           1         3.005436e+00         9.805725e-01         9.805725e-01         0.000000e+00
           1         3.070069e+00         9.812890e-01         9.812890e-01         0.000000e+00
           1         3.134702e+00         9.766073e-01         9.766073e-01         0.000000e+00
           1         3.199336e+00         9.784319e-01         9.784319e-01         0.000000e+00
           1         3.263969e+00         9.844838e-01         9.844838e-01         0.000000e+00
           1         3.328602e+00         9.737890e-01         9.737890e-01         0.000000e+00
           1         3.393235e+00         9.779399e-01         9.779399e-01         0.000000e+00
           1         3.457868e+00         9.684845e-01         9.684845e-01         0.000000e+00
           1         3.522501e+00         9.795962e-01         9.795962e-01         0.000000e+00
           1         3.587134e+00         9.735185e-01         9.735185e-01         0.000000e+00
           1         3.651767e+00         9.716952e-01         9.716952e-01         0.000000e+00
           1         3.716400e+00         9.721598e-01         9.721598e-01         0.000000e+00
           1         3.781033e+00         9.797333e-01         9.797333e-01         0.000000e+00
           1         3.845666e+00         9.618572e-01         9.618572e-01         0.000000e+00
           1         3.910299e+00         9.705350e-01         9.705350e-01         0.000000e+00
           1         3.974932e+00         9.715406e-01         9.715406e-01         0.000000e+00
           1         4.039565e+00         9.708525e-01         9.708525e-01         0.000000e+00
           1         4.104198e+00         9.737967e-01         9.737967e-01         0.000000e+00
           1         4.168831e+00         9.767475e-01         9.767475e-01         0.000000e+00
           1         4.233464e+00         9.749891e-01         9.749891e-01         0.000000e+00
           1         4.298097e+00         9.674892e-01         9.674892e-01         0.000000e+00
           1         4.362730e+00         9.725644e-01         9.725644e-01         0.000000e+00
           1         4.427363e+00         9.761959e-01         9.761959e-01         0.000000e+00
           1         4.491996e+00         9.635302e-01         9.635302e-01         0.000000e+00
           1         4.556629e+00         9.754924e-01         9.754924e-01         0.000000e+00
           1         4.621262e+00         9.753576e-01         9.753576e-01         0.000000e+00
           1         4.685895e+00         9.782644e-01         9.782644e-01         0.000000e+00
           1         4.750528e+00         9.821240e-01         9.821240e-01         0.000000e+00
           1         4.815162e+00         9.753693e-01         9.753693e-01         0.000000e+00
           1         4.879795e+00         9.765557e-01         9.765557e-01         0.000000e+00
           1         4.944428e+00         9.710738e-01         9.710738e-01         0.000000e+00
           1         5.009061e+00         9.760461e-01         9.760461e-01         0.000000e+00
           1         5.073694e+00         9.725339e-01         9.725339e-01         0.000000e+00
           1         5.138327e+00         9.701789e-01         9.701789e-01         0.000000e+00
           1         5.202960e+00         9.711036e-01         9.711036e-01         0.000000e+00
           1         5.267593e+00         9.741220e-01         9.741220e-01         0.000000e+00
           1         5.332226e+00         9.821408e-01         9.821408e-01         0.000000e+00
           1         5.396859e+00         9.723629e-01         9.723629e-01         0.000000e+00
           1         5.461492e+00         9.764814e-01         9.764814e-01         0.000000e+00
           1         5.526125e+00         9.774309e-01         9.774309e-01         0.000000e+00
           1         5.590758e+00         9.758075e-01         9.758075e-01         0.000000e+00
           1         5.655391e+00         9.775361e-01         9.775361e-01         0.000000e+00
           1         5.720024e+00         9.717267e-01         9.717267e-01         0.000000e+00
           1         5.784657e+00         9.769227e-01         9.769227e-01         0.000000e+00
           1         5.849290e+00         9.794885e-01         9.794885e-01         0.000000e+00
           1         5.913923e+00         9.817189e-01         9.817189e-01         0.000000e+00
           1         5.978556e+00         9.714293e-01         9.714293e-01         0.000000e+00
           1         6.043189e+00         9.773574e-01         9.773574e-01         0.000000e+00
           1         6.107822e+00         9.736599e-01         9.736599e-01         0.000000e+00
           1         6.172455e+00         9.713841e-01         9.713841e-01         0.000000e+00
           1         6.237088e+00         9.766749e-01         9.766749e-01         0.000000e+00
           1         6.301721e+00         9.763316e-01         9.763316e-01         0.000000e+00
           1         6.366355e+00         9.754241e-01         9.754241e-01         0.000000e+00
           1         6.430988e+00         9.752416e-01         9.752416e-01         0.000000e+00
           2         3.231652e-02         0.000000e+00         0.000000e+00         0.000000e+00
           2         9.694956e-02         0.000000e+00         0.000000e+00         0.000000e+00
           2         1.615826e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         2.262156e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         2.908487e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         3.554817e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         4.201148e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         4.847478e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         5.493808e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         6.140139e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         6.786469e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         7.432800e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         8.079130e-01         0.000000e+00         0.000000e+00         0.000000e+00
           2         8.725460e-01         8.350514e-04         4.175257e-04         2.952352e-04
           2         9.371791e-01         1.484023e-01         1.442800e-01         2.914897e-03
           2         1.001812e+00         9.927749e-01         9.965047e-01         2.637390e-03
           2         1.066445e+00         1.895963e+00         1.900494e+00         3.204098e-03
           2         1.131078e+00         2.126047e+00         2.139773e+00         9.705514e-03
           2         1.195711e+00         1.961702e+00         1.956033e+00         4.008127e-03
           2         1.260344e+00         1.730913e+00         1.749057e+00         1.282977e-02
           2         1.324977e+00         1.482659e+00         1.507469e+00         1.754330e-02
           2         1.389610e+00         1.373846e+00         1.378694e+00         3.428198e-03
           2         1.454243e+00         1.302490e+00         1.284592e+00         1.265590e-02
           2         1.518876e+00         1.194899e+00         1.187983e+00         4.890521e-03
           2         1.583509e+00         1.130395e+00         1.133058e+00         1.883127e-03
           2         1.648143e+00         1.096711e+00         1.100020e+00         2.340460e-03
           2         1.712776e+00         1.043861e+00         1.053818e+00         7.040315e-03
           2         1.777409e+00         1.060575e+00         1.059461e+00         7.875450e-04
           2         1.842042e+00         1.038278e+00         1.033054e+00         3.693809e-03
           2         1.906675e+00         1.028190e+00         1.026280e+00         1.350658e-03
           2         1.971308e+00         1.047604e+00         1.029290e+00         1.295049e-02
           2         2.035941e+00         1.034961e+00         1.039012e+00         2.864151e-03
           2         2.100574e+00         1.022806e+00         1.027893e+00         3.596852e-03
           2         2.165207e+00         1.025329e+00         1.013762e+00         8.178894e-03
           2         2.229840e+00         1.011731e+00         1.020263e+00         6.032825e-03
           2         2.294473e+00         1.033835e+00         1.031098e+00         1.935522e-03
           2         2.359106e+00         1.018856e+00         1.008829e+00         7.089665e-03
           2         2.423739e+00         1.001166e+00         1.011125e+00         7.042161e-03
           2         2.488372e+00         9.938664e-01         9.980467e-01         2.955905e-03
           2         2.553005e+00         9.926882e-01         9.915966e-01         7.718359e-04
           2         2.617638e+00         9.965773e-01         9.972267e-01         4.591540e-04
           2         2.682271e+00         9.916115e-01         9.831186e-01         6.005385e-03
           2         2.746904e+00         9.831021e-01         9.890941e-01         4.236987e-03
           2         2.811537e+00         9.857222e-01         9.826353e-01         2.182769e-03
           2         2.876170e+00         9.815350e-01         9.877340e-01         4.383314e-03
           2         2.940803e+00         9.966885e-01         9.922005e-01         3.173468e-03
           2         3.005436e+00         9.902330e-01         9.854028e-01         3.415484e-03
           2         3.070069e+00         9.789913e-01         9.801402e-01         8.123836e-04
           2         3.134702e+00         9.767437e-01         9.766755e-01         4.822049e-05
           2         3.199336e+00         9.593077e-01         9.688698e-01         6.761410e-03
           2         3.263969e+00         9.736144e-01         9.790491e-01         3.842936e-03
           2         3.328602e+00         9.794607e-01         9.766249e-01         2.005275e-03
           2         3.393235e+00         9.774153e-01         9.776776e-01         1.854756e-04
           2         3.457868e+00         9.760087e-01         9.722466e-01         2.660197e-03
           2         3.522501e+00         9.833491e-01         9.814726e-01         1.326825e-03
           2         3.587134e+00         9.738665e-01         9.736925e-01         1.230637e-04
           2         3.651767e+00         9.712585e-01         9.714769e-01         1.544188e-04
           2         3.716400e+00         9.777085e-01         9.749342e-01         1.961765e-03
           2         3.781033e+00         9.778205e-01         9.787769e-01         6.762901e-04
           2         3.845666e+00         9.753048e-01         9.685810e-01         4.754432e-03
           2         3.910299e+00         9.756248e-01         9.730799e-01         1.799483e-03
           2         3.974932e+00         9.878120e-01         9.796763e-01         5.752802e-03
           2         4.039565e+00         9.776319e-01         9.742422e-01         2.396869e-03
           2         4.104198e+00         9.706654e-01         9.722310e-01         1.107100e-03
           2         4.168831e+00         9.670719e-01         9.719097e-01         3.420851e-03
           2         4.233464e+00         9.723579e-01         9.736735e-01         9.302737e-04
           2         4.298097e+00         9.845474e-01         9.760183e-01         6.030976e-03
           2         4.362730e+00         9.725644e-01         9.725644e-01         0.000000e+00
           2         4.427363e+00         9.720575e-01         9.741267e-01         1.463151e-03
           2         4.491996e+00         9.736774e-01         9.686038e-01         3.587588e-03
           2         4.556629e+00         9.788163e-01         9.771543e-01         1.175174e-03
           2         4.621262e+00         9.771053e-01         9.762315e-01         6.179079e-04
           2         4.685895e+00         9.712282e-01         9.747463e-01         2.487665e-03
           2         4.750528e+00         9.831107e-01         9.826173e-01         3.488613e-04
           2         4.815162e+00         9.753305e-01         9.753499e-01         1.372204e-05
           2         4.879795e+00         9.750816e-01         9.758187e-01         5.211692e-04
           2         4.944428e+00         9.759895e-01         9.735316e-01         1.737966e-03
           2         5.009061e+00         9.773918e-01         9.767190e-01         4.757554e-04
           2         5.073694e+00         9.683012e-01         9.704176e-01         1.496487e-03
           2         5.138327e+00         9.724303e-01         9.713046e-01         7.959869e-04
           2         5.202960e+00         9.653554e-01         9.682295e-01         2.032311e-03
           2         5.267593e+00         9.773769e-01         9.757495e-01         1.150797e-03
           2         5.332226e+00         9.714215e-01         9.767811e-01         3.789867e-03
           2         5.396859e+00         9.732679e-01         9.728154e-01         3.199704e-04
           2         5.461492e+00         9.764814e-01         9.764814e-01         0.000000e+00
           2         5.526125e+00         9.770250e-01         9.772279e-01         1.434989e-04
           2         5.590758e+00         9.724905e-01         9.741490e-01         1.172741e-03
           2         5.655391e+00         9.740755e-01         9.758058e-01         1.223486e-03
           2         5.720024e+00         9.765983e-01         9.741625e-01         1.722354e-03
           2         5.784657e+00         9.603872e-01         9.686550e-01         5.846187e-03
           2         5.849290e+00         9.681785e-01         9.738335e-01         3.998690e-03
           2         5.913923e+00         9.821897e-01         9.819543e-01         1.664296e-04
           2         5.978556e+00         9.765849e-01         9.740071e-01         1.822802e-03
           2         6.043189e+00         9.753746e-01         9.763660e-01         7.010239e-04
           2         6.107822e+00         9.743614e-01         9.740106e-01         2.480244e-04
           2         6.172455e+00         9.776320e-01         9.745080e-01         2.208990e-03
           2         6.237088e+00         9.720807e-01         9.743778e-01         1.624297e-03
           2         6.301721e+00         9.761781e-01         9.762548e-01         5.424947e-05
           2         6.366355e+00         9.747781e-01         9.751011e-01         2.283871e-04
           2         6.430988e+00         9.754436e-01         9.753426e-01         7.139795e-05
           3         3.231652e-02         0.000000e+00         0.000000e+00         0.000000e+00
           3         9.694956e-02         0.000000e+00         0.000000e+00         0.000000e+00
           3         1.615826e-01         0.000000e+00         0.000000e+00         0.000000e+00
           3         2.262156e-01         0.000000e+00         0.000000e+00         0.000000e+00
           3         2.908487e-01         0.000000e+00         0.000000e+00         0.000000e+00
