    # BLOCK:          ACTUAL_PE:              PE_AVE:              ERROR:
           1        -4.130883e-01        -4.130883e-01         0.000000e+00
           2        -4.110704e-01        -4.120794e-01         7.134421e-04
           3        -4.159218e-01        -4.133602e-01         1.148868e-03
           4        -4.151961e-01        -4.138192e-01         9.489181e-04
           5        -4.115023e-01        -4.133558e-01         8.649070e-04
           6        -4.168401e-01        -4.139365e-01         8.947136e-04
           7        -4.122059e-01        -4.136893e-01         8.003272e-04
           8        -4.152812e-01        -4.138883e-01         7.246031e-04
           9        -4.140512e-01        -4.139064e-01         6.443178e-04
          10        -4.104499e-01        -4.135607e-01         6.661775e-04
          11        -4.145578e-01        -4.136514e-01         6.117521e-04
          12        -4.180767e-01        -4.140201e-01         6.626689e-04
          13        -4.168445e-01        -4.142374e-01         6.463292e-04
          14        -4.133244e-01        -4.141722e-01         6.034437e-04
          15        -4.117809e-01        -4.140128e-01         5.838933e-04
          16        -4.171989e-01        -4.142119e-01         5.803641e-04
          17        -4.144172e-01        -4.142240e-01         5.463507e-04
          18        -4.102813e-01        -4.140049e-01         5.581806e-04
          19        -4.184607e-01        -4.142395e-01         5.759636e-04
          20        -4.154646e-01        -4.143007e-01         5.504133e-04
          21        -4.135570e-01        -4.142653e-01         5.253412e-04
          22        -4.152296e-01        -4.143091e-01         5.032871e-04
          23        -4.137161e-01        -4.142833e-01         4.820650e-04
          24        -4.137908e-01        -4.142628e-01         4.624157e-04
          25        -4.154973e-01        -4.143122e-01         4.465479e-04
          26        -4.140506e-01        -4.143021e-01         4.294863e-04
          27        -4.158174e-01        -4.143583e-01         4.172297e-04
          28        -4.149153e-01        -4.143782e-01         4.028026e-04
          29        -4.124553e-01        -4.143119e-01         3.943322e-04
          30        -4.142933e-01        -4.143112e-01         3.811883e-04
          31        -4.155388e-01        -4.143508e-01         3.709430e-04
          32        -4.115032e-01        -4.142618e-01         3.698712e-04
          33        -4.159119e-01        -4.143118e-01         3.620268e-04
          34        -4.143863e-01        -4.143140e-01         3.513856e-04
          35        -4.144046e-01        -4.143166e-01         3.413556e-04
          36        -4.119174e-01        -4.142500e-01         3.383165e-04
          37        -4.141624e-01        -4.142476e-01         3.291811e-04
