    # BLOCK:          DISTANCE:          ACTUAL_GOFR:          AVE_GOFR:              ERROR:
           1         1.153321e-02         0.000000e+00         0.000000e+00         0.000000e+00
           1         3.459964e-02         0.000000e+00         0.000000e+00         0.000000e+00
           1         5.766607e-02         0.000000e+00         0.000000e+00         0.000000e+00
           1         8.073250e-02         0.000000e+00         0.000000e+00         0.000000e+00
           1         1.037989e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         1.268654e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         1.499318e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         1.729982e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         1.960646e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         2.191311e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         2.421975e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         2.652639e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         2.883304e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         3.113968e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         3.344632e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         3.575296e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         3.805961e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         4.036625e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         4.267289e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         4.497954e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         4.728618e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         4.959282e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         5.189946e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         5.420611e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         5.651275e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         5.881939e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         6.112604e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         6.343268e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         6.573932e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         6.804596e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         7.035261e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         7.265925e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         7.496589e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         7.727254e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         7.957918e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         8.188582e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         8.419247e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         8.649911e-01         0.000000e+00         0.000000e+00         0.000000e+00
           1         8.880575e-01         7.176449e-05         7.176449e-05         0.000000e+00
           1         9.111239e-01         3.138180e-03         3.138180e-03         0.000000e+00
           1         9.341904e-01         4.545393e-02         4.545393e-02         0.000000e+00
           1         9.572568e-01         2.901198e-01         2.901198e-01         0.000000e+00
           1         9.803232e-01         9.761065e-01         9.761065e-01         0.000000e+00
           1         1.003390e+00         2.161648e+00         2.161648e+00         0.000000e+00
           1         1.026456e+00         3.544312e+00         3.544312e+00         0.000000e+00
           1         1.049523e+00         4.539212e+00         4.539212e+00         0.000000e+00
           1         1.072589e+00         4.814239e+00         4.814239e+00         0.000000e+00
           1         1.095655e+00         4.375471e+00         4.375471e+00         0.000000e+00
           1         1.118722e+00         3.590691e+00         3.590691e+00         0.000000e+00
           1         1.141788e+00         2.638173e+00         2.638173e+00         0.000000e+00
           1         1.164855e+00         1.797805e+00         1.797805e+00         0.000000e+00
           1         1.187921e+00         1.109912e+00         1.109912e+00         0.000000e+00
           1         1.210988e+00         6.443500e-01         6.443500e-01         0.000000e+00
           1         1.234054e+00         3.415263e-01         3.415263e-01         0.000000e+00
           1         1.257120e+00         1.755169e-01         1.755169e-01         0.000000e+00
           1         1.280187e+00         8.505255e-02         8.505255e-02         0.000000e+00
           1         1.303253e+00         4.661597e-02         4.661597e-02         0.000000e+00
           1         1.326320e+00         4.080410e-02         4.080410e-02         0.000000e+00
           1         1.349386e+00         6.259054e-02         6.259054e-02         0.000000e+00
           1         1.372453e+00         1.083537e-01         1.083537e-01         0.000000e+00
           1         1.395519e+00         1.883338e-01         1.883338e-01         0.000000e+00
           1         1.418585e+00         2.935238e-01         2.935238e-01         0.000000e+00
           1         1.441652e+00         4.457745e-01         4.457745e-01         0.000000e+00
           1         1.464718e+00         6.112796e-01         6.112796e-01         0.000000e+00
