    # BLOCK:          ACTUAL_P:          P_AVE:              ERROR:
           1         7.561995e+00         7.561995e+00         0.000000e+00
           2         7.648070e+00         7.605033e+00         3.043233e-02
           3         7.553949e+00         7.588005e+00         2.459495e-02
           4         7.554640e+00         7.579664e+00         1.981020e-02
           5         7.706140e+00         7.604959e+00         2.762321e-02
           6         7.572673e+00         7.599578e+00         2.353762e-02
           7         7.571490e+00         7.595565e+00         2.051427e-02
           8         7.607575e+00         7.597066e+00         1.800483e-02
           9         7.572366e+00         7.594322e+00         1.621211e-02
          10         7.588005e+00         7.593690e+00         1.460320e-02
          11         7.577418e+00         7.592211e+00         1.335035e-02
          12         7.591516e+00         7.592153e+00         1.223795e-02
          13         7.632833e+00         7.595282e+00         1.168979e-02
          14         7.490139e+00         7.587772e+00         1.304615e-02
          15         7.620752e+00         7.589971e+00         1.236028e-02
          16         7.653358e+00         7.593932e+00         1.220617e-02
          17         7.592988e+00         7.593877e+00         1.148828e-02
          18         7.620652e+00         7.595364e+00         1.094593e-02
          19         7.557439e+00         7.593368e+00         1.055025e-02
          20         7.586405e+00         7.593020e+00         1.002848e-02
          21         7.582511e+00         7.592520e+00         9.563415e-03
          22         7.629758e+00         7.594212e+00         9.277298e-03
          23         7.604738e+00         7.594670e+00         8.885218e-03
          24         7.544175e+00         7.592566e+00         8.760557e-03
          25         7.536653e+00         7.590330e+00         8.690931e-03
          26         7.544757e+00         7.588577e+00         8.531583e-03
          27         7.544616e+00         7.586949e+00         8.369519e-03
          28         7.560735e+00         7.586012e+00         8.122798e-03
          29         7.608438e+00         7.586786e+00         7.879426e-03
          30         7.634378e+00         7.588372e+00         7.774839e-03
          31         7.544535e+00         7.586958e+00         7.651557e-03
          32         7.676054e+00         7.589742e+00         7.902795e-03
          33         7.599960e+00         7.590052e+00         7.669380e-03
          34         7.502860e+00         7.587487e+00         7.860876e-03
          35         7.590954e+00         7.587586e+00         7.636903e-03
          36         7.582776e+00         7.587453e+00         7.425936e-03
          37         7.553737e+00         7.586542e+00         7.280931e-03
          38         7.655367e+00         7.588353e+00         7.311133e-03
          39         7.591024e+00         7.588421e+00         7.123989e-03
          40         7.595381e+00         7.588595e+00         6.948013e-03
          41         7.494676e+00         7.586305e+00         7.146199e-03
          42         7.685734e+00         7.588672e+00         7.357738e-03
          43         7.641557e+00         7.589902e+00         7.288693e-03
          44         7.631511e+00         7.590848e+00         7.184127e-03
          45         7.597904e+00         7.591004e+00         7.026191e-03
          46         7.627949e+00         7.591807e+00         6.919198e-03
          47         7.589647e+00         7.591761e+00         6.772134e-03
          48         7.616943e+00         7.592286e+00         6.651337e-03
          49         7.579349e+00         7.592022e+00         6.520833e-03
          50         7.634270e+00         7.592867e+00         6.444929e-03
          51         7.566557e+00         7.592351e+00         6.339172e-03
          52         7.633677e+00         7.593146e+00         6.266882e-03
          53         7.591050e+00         7.593106e+00         6.148764e-03
          54         7.566000e+00         7.592604e+00         6.055353e-03
          55         7.573759e+00         7.592262e+00         5.954942e-03
          56         7.577082e+00         7.591991e+00         5.854770e-03
          57         7.675455e+00         7.593455e+00         5.932338e-03
          58         7.570654e+00         7.593062e+00         5.843067e-03
          59         7.628893e+00         7.593669e+00         5.775507e-03
          60         7.594973e+00         7.593691e+00         5.679290e-03
          61         7.574351e+00         7.593374e+00         5.595029e-03
          62         7.618014e+00         7.593771e+00         5.518884e-03
          63         7.563303e+00         7.593288e+00         5.452432e-03
          64         7.548254e+00         7.592584e+00         5.412451e-03
          65         7.591705e+00         7.592570e+00         5.329199e-03
          66         7.558818e+00         7.592059e+00         5.272935e-03
          67         7.592597e+00         7.592067e+00         5.194240e-03
          68         7.568921e+00         7.591727e+00         5.128995e-03
          69         7.560403e+00         7.591273e+00         5.074713e-03
          70         7.545443e+00         7.590618e+00         5.044273e-03
          71         7.585522e+00         7.590546e+00         4.973738e-03
          72         7.623401e+00         7.591003e+00         4.925545e-03
          73         7.648854e+00         7.591795e+00         4.921411e-03
          74         7.567388e+00         7.591465e+00         4.865945e-03
          75         7.581936e+00         7.591338e+00         4.802724e-03
          76         7.708092e+00         7.592874e+00         4.979169e-03
          77         7.556642e+00         7.592404e+00         4.936688e-03
          78         7.557847e+00         7.591961e+00         4.893236e-03
          79         7.511267e+00         7.590939e+00         4.936756e-03
          80         7.586122e+00         7.590879e+00         4.875413e-03
          81         7.565994e+00         7.590572e+00         4.824893e-03
          82         7.580148e+00         7.590445e+00         4.767727e-03
