    # BLOCK:          ACTUAL_P:          P_AVE:              ERROR:
           1         5.404570e-02         5.404570e-02         0.000000e+00
           2         4.664004e-02         5.034287e-02         2.618297e-03
           3         5.149294e-02         5.072622e-02         1.773373e-03
           4         5.071926e-02         5.072448e-02         1.330031e-03
           5         4.987507e-02         5.055460e-02         1.074819e-03
           6         4.890229e-02         5.027921e-02         9.302930e-04
           7         4.966405e-02         5.019133e-02         8.015341e-04
           8         5.079286e-02         5.026652e-02         7.048602e-04
           9         4.600290e-02         4.979279e-02         7.694449e-04
          10         5.031371e-02         4.984488e-02         6.942615e-04
          11         5.357747e-02         5.018421e-02         7.092398e-04
          12         5.502205e-02         5.058736e-02         7.560858e-04
          13         4.812935e-02         5.039828e-02         7.211798e-04
          14         5.421619e-02         5.067099e-02         7.193824e-04
          15         5.316546e-02         5.083729e-02         6.903775e-04
          16         4.991615e-02         5.077972e-02         6.496249e-04
          17         4.586872e-02         5.049083e-02         6.725831e-04
          18         4.879502e-02         5.039662e-02         6.417818e-04
          19         4.873539e-02         5.030919e-02         6.139306e-04
          20         4.815458e-02         5.020146e-02         5.926108e-04
          21         5.312151e-02         5.034051e-02         5.804754e-04
          22         5.335466e-02         5.047752e-02         5.700294e-04
          23         4.980827e-02         5.044842e-02         5.459877e-04
          24         4.899198e-02         5.038773e-02         5.265999e-04
          25         5.284200e-02         5.048590e-02         5.146052e-04
          26         5.088237e-02         5.050115e-02         4.950386e-04
          27         5.176355e-02         5.054791e-02         4.789067e-04
          28         5.125002e-02         5.057298e-02         4.624589e-04
          29         5.065512e-02         5.057582e-02         4.465207e-04
          30         5.029075e-02         5.056631e-02         4.317378e-04
          31         5.171681e-02         5.060343e-02         4.194028e-04
          32         4.871702e-02         5.054448e-02         4.104185e-04
          33         5.329597e-02         5.062786e-02         4.063628e-04
          34         4.722524e-02         5.052778e-02         4.065474e-04
          35         4.732887e-02         5.043638e-02         4.050752e-04
          36         5.035785e-02         5.043420e-02         3.938289e-04
          37         4.942641e-02         5.040696e-02         3.841257e-04
          38         5.088390e-02         5.041951e-02         3.742221e-04
          39         4.970375e-02         5.040116e-02         3.650764e-04
          40         4.931222e-02         5.037394e-02         3.569631e-04
          41         4.776893e-02         5.031040e-02         3.538660e-04
          42         4.629555e-02         5.021481e-02         3.581193e-04
          43         5.038314e-02         5.021872e-02         3.498123e-04
          44         4.733784e-02         5.015325e-02         3.479355e-04
          45         5.046504e-02         5.016018e-02         3.402726e-04
          46         4.924008e-02         5.014018e-02         3.334628e-04
          47         4.855264e-02         5.010640e-02         3.280741e-04
          48         5.029910e-02         5.011041e-02         3.212637e-04
          49         5.461369e-02         5.020232e-02         3.275891e-04
          50         4.982800e-02         5.019483e-02         3.211229e-04
          51         5.466495e-02         5.028248e-02         3.265691e-04
          52         5.127043e-02         5.030148e-02         3.208411e-04
          53         5.242204e-02         5.034149e-02         3.172725e-04
          54         5.240608e-02         5.037972e-02         3.136923e-04
          55         4.876904e-02         5.035044e-02         3.093527e-04
          56         4.970616e-02         5.033893e-02         3.040424e-04
          57         4.698927e-02         5.028017e-02         3.043346e-04
          58         4.840275e-02         5.024780e-02         3.008039e-04
          59         4.967448e-02         5.023808e-02         2.958624e-04
          60         5.065515e-02         5.024503e-02         2.910130e-04
          61         5.022533e-02         5.024471e-02         2.862425e-04
          62         4.688469e-02         5.019051e-02         2.867100e-04
          63         4.911644e-02         5.017347e-02         2.826655e-04
          64         4.866350e-02         5.014987e-02         2.792317e-04
          65         4.796082e-02         5.011619e-02         2.769593e-04
          66         4.917246e-02         5.010190e-02         2.731319e-04
          67         5.085786e-02         5.011318e-02         2.692882e-04
          68         4.871367e-02         5.009260e-02         2.661134e-04
          69         5.087266e-02         5.010390e-02         2.624967e-04
          70         4.850935e-02         5.008112e-02         2.597333e-04
          71         4.804559e-02         5.005245e-02         2.576525e-04
          72         5.051497e-02         5.005888e-02         2.541540e-04
          73         5.293993e-02         5.009834e-02         2.537183e-04
          74         4.891000e-02         5.008229e-02         2.507973e-04
          75         4.821465e-02         5.005738e-02         2.486865e-04
          76         5.042825e-02         5.006226e-02         2.454622e-04
          77         4.922894e-02         5.005144e-02         2.425129e-04
          78         4.956188e-02         5.004516e-02         2.394849e-04
          79         4.683030e-02         5.000447e-02         2.398861e-04
          80         5.091499e-02         5.001585e-02         2.371573e-04
          81         4.848841e-02         4.999699e-02         2.349780e-04
          82         4.615590e-02         4.995015e-02         2.367354e-04
          83         4.762132e-02         4.992209e-02         2.355400e-04
          84         4.903565e-02         4.991154e-02         2.329722e-04
          85         5.039033e-02         4.991717e-02         2.302995e-04
          86         4.786127e-02         4.989327e-02         2.288590e-04
          87         5.011205e-02         4.989578e-02         2.262422e-04
          88         5.427629e-02         4.994556e-02         2.290821e-04
          89         5.166633e-02         4.996490e-02         2.273225e-04
          90         4.743466e-02         4.993678e-02         2.265285e-04
          91         4.847768e-02         4.992075e-02         2.246060e-04
          92         4.641000e-02         4.988259e-02         2.253830e-04
          93         4.712210e-02         4.985290e-02         2.249056e-04
