    # BLOCK:          ACTUAL_PE:              PE_AVE:              ERROR:
           1        -5.412364e+00        -5.412364e+00         0.000000e+00
           2        -5.413386e+00        -5.412875e+00         3.611175e-04
           3        -5.460273e+00        -5.428674e+00         1.290222e-02
           4        -5.441157e+00        -5.431795e+00         1.004699e-02
           5        -5.477970e+00        -5.441030e+00         1.152529e-02
           6        -5.414845e+00        -5.436666e+00         1.039791e-02
           7        -5.451624e+00        -5.438803e+00         9.129440e-03
           8        -5.456619e+00        -5.441030e+00         8.255418e-03
           9        -5.475135e+00        -5.444819e+00         8.161699e-03
          10        -5.468710e+00        -5.447208e+00         7.687256e-03
          11        -5.449898e+00        -5.447453e+00         6.992301e-03
          12        -5.462811e+00        -5.448733e+00         6.525687e-03
          13        -5.507988e+00        -5.453291e+00         7.447352e-03
          14        -5.458495e+00        -5.453662e+00         6.924669e-03
          15        -5.432482e+00        -5.452250e+00         6.605423e-03
          16        -5.419482e+00        -5.450202e+00         6.502337e-03
          17        -5.463983e+00        -5.451013e+00         6.170168e-03
          18        -5.422089e+00        -5.449406e+00         6.032996e-03
          19        -5.462013e+00        -5.450070e+00         5.751840e-03
          20        -5.450527e+00        -5.450093e+00         5.464293e-03
          21        -5.454528e+00        -5.450304e+00         5.208170e-03
          22        -5.504459e+00        -5.452765e+00         5.522619e-03
          23        -5.462238e+00        -5.453177e+00         5.297839e-03
          24        -5.450675e+00        -5.453073e+00         5.078122e-03
          25        -5.473475e+00        -5.453889e+00         4.940138e-03
          26        -5.486890e+00        -5.455158e+00         4.910487e-03
          27        -5.431685e+00        -5.454289e+00         4.804962e-03
          28        -5.457208e+00        -5.454393e+00         4.634486e-03
          29        -5.480375e+00        -5.455289e+00         4.560450e-03
          30        -5.496409e+00        -5.456660e+00         4.609812e-03
          31        -5.439113e+00        -5.456094e+00         4.495724e-03
          32        -5.470542e+00        -5.456545e+00         4.377846e-03
          33        -5.452757e+00        -5.456430e+00         4.246689e-03
          34        -5.458024e+00        -5.456477e+00         4.122045e-03
          35        -5.444282e+00        -5.456129e+00         4.018972e-03
          36        -5.429560e+00        -5.455391e+00         3.974520e-03
          37        -5.404600e+00        -5.454018e+00         4.097304e-03
          38        -5.496132e+00        -5.455126e+00         4.136653e-03
          39        -5.416407e+00        -5.454134e+00         4.148011e-03
          40        -5.437716e+00        -5.453723e+00         4.064568e-03
          41        -5.435355e+00        -5.453275e+00         3.990045e-03
          42        -5.442371e+00        -5.453016e+00         3.903482e-03
          43        -5.444780e+00        -5.452824e+00         3.817399e-03
          44        -5.483845e+00        -5.453529e+00         3.795186e-03
          45        -5.435091e+00        -5.453119e+00         3.732901e-03
          46        -5.445576e+00        -5.452955e+00         3.655350e-03
          47        -5.434993e+00        -5.452573e+00         3.597501e-03
          48        -5.437677e+00        -5.452263e+00         3.535913e-03
          49        -5.472811e+00        -5.452682e+00         3.488529e-03
          50        -5.457934e+00        -5.452787e+00         3.420339e-03
          51        -5.448181e+00        -5.452697e+00         3.354466e-03
          52        -5.449837e+00        -5.452642e+00         3.290408e-03
          53        -5.448050e+00        -5.452555e+00         3.229465e-03
          54        -5.448725e+00        -5.452484e+00         3.170439e-03
          55        -5.445913e+00        -5.452365e+00         3.115045e-03
          56        -5.412609e+00        -5.451655e+00         3.139274e-03
          57        -5.435588e+00        -5.451373e+00         3.096829e-03
          58        -5.446004e+00        -5.451280e+00         3.044818e-03
          59        -5.450601e+00        -5.451269e+00         2.993233e-03
          60        -5.446179e+00        -5.451184e+00         2.944548e-03
          61        -5.451991e+00        -5.451197e+00         2.896306e-03
          62        -5.468083e+00        -5.451470e+00         2.862367e-03
          63        -5.443325e+00        -5.451340e+00         2.819851e-03
          64        -5.479240e+00        -5.451776e+00         2.809284e-03
          65        -5.435669e+00        -5.451528e+00         2.776973e-03
          66        -5.451768e+00        -5.451532e+00         2.734900e-03
          67        -5.451998e+00        -5.451539e+00         2.694089e-03
          68        -5.453019e+00        -5.451561e+00         2.654558e-03
          69        -5.488824e+00        -5.452101e+00         2.670455e-03
          70        -5.460769e+00        -5.452225e+00         2.635175e-03
          71        -5.465310e+00        -5.452409e+00         2.604497e-03
          72        -5.438421e+00        -5.452215e+00         2.575559e-03
          73        -5.452711e+00        -5.452222e+00         2.540286e-03
          74        -5.436137e+00        -5.452004e+00         2.515240e-03
          75        -5.486956e+00        -5.452470e+00         2.524507e-03
          76        -5.465113e+00        -5.452637e+00         2.496764e-03
          77        -5.450591e+00        -5.452610e+00         2.464480e-03
          78        -5.443806e+00        -5.452497e+00         2.435468e-03
          79        -5.434609e+00        -5.452271e+00         2.415142e-03
          80        -5.465185e+00        -5.452432e+00         2.390341e-03
          81        -5.482879e+00        -5.452808e+00         2.390203e-03
          82        -5.445447e+00        -5.452718e+00         2.362739e-03
          83        -5.447634e+00        -5.452657e+00         2.335067e-03
          84        -5.428514e+00        -5.452370e+00         2.324890e-03
          85        -5.403100e+00        -5.451790e+00         2.368695e-03
          86        -5.405897e+00        -5.451256e+00         2.400510e-03
          87        -5.453548e+00        -5.451283e+00         2.373063e-03
          88        -5.443210e+00        -5.451191e+00         2.347869e-03
          89        -5.438338e+00        -5.451046e+00         2.325925e-03
          90        -5.424591e+00        -5.450753e+00         2.318582e-03
          91        -5.475950e+00        -5.451029e+00         2.309577e-03
          92        -5.460125e+00        -5.451128e+00         2.286588e-03
          93        -5.446310e+00        -5.451076e+00         2.262588e-03
          94        -5.463842e+00        -5.451212e+00         2.242590e-03
          95        -5.437414e+00        -5.451067e+00         2.223682e-03
          96        -5.438940e+00        -5.450941e+00         2.204104e-03
          97        -5.453948e+00        -5.450972e+00         2.181599e-03
          98        -5.468780e+00        -5.451153e+00         2.166893e-03
          99        -5.460330e+00        -5.451246e+00         2.146987e-03
