    # BLOCK:          ACTUAL_P:          P_AVE:              ERROR:
           1         1.580045e+00         1.580045e+00         0.000000e+00
           2         1.462119e+00         1.521082e+00         4.169342e-02
           3         1.312122e+00         1.451428e+00         6.330087e-02
           4         1.428325e+00         1.445653e+00         4.773843e-02
           5         1.286344e+00         1.413791e+00         4.765155e-02
           6         1.572556e+00         1.440252e+00         4.647940e-02
           7         1.472624e+00         1.444876e+00         4.006889e-02
           8         1.480384e+00         1.449315e+00         3.530524e-02
           9         1.328370e+00         1.435876e+00         3.384347e-02
          10         1.301154e+00         1.422404e+00         3.303195e-02
          11         1.499869e+00         1.429446e+00         3.077058e-02
          12         1.397212e+00         1.426760e+00         2.832337e-02
          13         1.172678e+00         1.407215e+00         3.218940e-02
          14         1.352076e+00         1.403277e+00         3.013015e-02
          15         1.571759e+00         1.414509e+00         3.014245e-02
          16         1.632061e+00         1.428106e+00         3.117482e-02
          17         1.381487e+00         1.425364e+00         2.946137e-02
          18         1.511333e+00         1.430140e+00         2.820911e-02
          19         1.322486e+00         1.424474e+00         2.728751e-02
          20         1.593768e+00         1.432938e+00         2.720437e-02
          21         1.420231e+00         1.432333e+00         2.591566e-02
          22         1.242974e+00         1.423726e+00         2.612795e-02
          23         1.424732e+00         1.423770e+00         2.499199e-02
          24         1.483651e+00         1.426265e+00         2.407488e-02
          25         1.402555e+00         1.425317e+00         2.313056e-02
          26         1.224156e+00         1.417580e+00         2.349929e-02
          27         1.616693e+00         1.424954e+00         2.375793e-02
          28         1.421629e+00         1.424835e+00         2.290973e-02
          29         1.355377e+00         1.422440e+00         2.224458e-02
          30         1.380271e+00         1.421035e+00         2.154746e-02
          31         1.524069e+00         1.424358e+00         2.110717e-02
          32         1.422831e+00         1.424311e+00         2.044762e-02
          33         1.429991e+00         1.424483e+00         1.982872e-02
          34         1.448654e+00         1.425194e+00         1.925827e-02
          35         1.429805e+00         1.425325e+00         1.870848e-02
          36         1.440699e+00         1.425752e+00         1.819367e-02
          37         1.682030e+00         1.432679e+00         1.897467e-02
          38         1.257705e+00         1.428074e+00         1.902583e-02
          39         1.498683e+00         1.429885e+00         1.862393e-02
          40         1.461676e+00         1.430680e+00         1.817528e-02
          41         1.406430e+00         1.430088e+00         1.774160e-02
          42         1.462859e+00         1.430868e+00         1.733633e-02
          43         1.515339e+00         1.432833e+00         1.704410e-02
          44         1.385344e+00         1.431753e+00         1.669087e-02
          45         1.482328e+00         1.432877e+00         1.635776e-02
          46         1.534942e+00         1.435096e+00         1.615193e-02
          47         1.522070e+00         1.436947e+00         1.591393e-02
          48         1.526597e+00         1.438814e+00         1.569160e-02
          49         1.461448e+00         1.439276e+00         1.537816e-02
          50         1.496729e+00         1.440425e+00         1.511347e-02
          51         1.450297e+00         1.440619e+00         1.481836e-02
          52         1.407266e+00         1.439977e+00         1.454727e-02
          53         1.470137e+00         1.440547e+00         1.428392e-02
          54         1.462870e+00         1.440960e+00         1.402538e-02
          55         1.503035e+00         1.442089e+00         1.381571e-02
          56         1.584605e+00         1.444634e+00         1.380141e-02
          57         1.439188e+00         1.444538e+00         1.355961e-02
          58         1.527841e+00         1.445974e+00         1.340167e-02
          59         1.331141e+00         1.444028e+00         1.331511e-02
          60         1.463641e+00         1.444355e+00         1.309720e-02
          61         1.457130e+00         1.444564e+00         1.288417e-02
          62         1.351204e+00         1.443058e+00         1.276405e-02
          63         1.442768e+00         1.443054e+00         1.256145e-02
          64         1.301418e+00         1.440841e+00         1.255861e-02
          65         1.607280e+00         1.443401e+00         1.262374e-02
          66         1.546871e+00         1.444969e+00         1.252944e-02
          67         1.508199e+00         1.445913e+00         1.237793e-02
          68         1.438476e+00         1.445803e+00         1.219638e-02
          69         1.421755e+00         1.445455e+00         1.202460e-02
          70         1.532148e+00         1.446693e+00         1.191643e-02
          71         1.381205e+00         1.445771e+00         1.178424e-02
          72         1.473043e+00         1.446150e+00         1.162665e-02
          73         1.318651e+00         1.444403e+00         1.159783e-02
          74         1.512292e+00         1.445321e+00         1.147733e-02
          75         1.345214e+00         1.443986e+00         1.140164e-02
          76         1.406171e+00         1.443488e+00         1.126247e-02
