    # BLOCK:          ACTUAL_T:              T_AVE:              ERROR:
           1         1.070817e+00         1.070817e+00         0.000000e+00
           2         1.071278e+00         1.071048e+00         1.631136e-04
           3         1.101873e+00         1.081323e+00         8.390385e-03
           4         1.090194e+00         1.083541e+00         6.579372e-03
           5         1.115060e+00         1.089845e+00         7.713391e-03
           6         1.072362e+00         1.086931e+00         6.956410e-03
           7         1.097071e+00         1.088380e+00         6.111607e-03
           8         1.101649e+00         1.090038e+00         5.568199e-03
           9         1.111451e+00         1.092417e+00         5.434075e-03
          10         1.107733e+00         1.093949e+00         5.101928e-03
          11         1.096801e+00         1.094208e+00         4.644698e-03
          12         1.105184e+00         1.095123e+00         4.346760e-03
          13         1.134729e+00         1.098169e+00         4.966636e-03
          14         1.100578e+00         1.098341e+00         4.614854e-03
          15         1.084116e+00         1.097393e+00         4.403566e-03
          16         1.075303e+00         1.096012e+00         4.339381e-03
          17         1.103981e+00         1.096481e+00         4.109360e-03
          18         1.076594e+00         1.095376e+00         4.026855e-03
          19         1.103008e+00         1.095778e+00         3.834894e-03
          20         1.096380e+00         1.095808e+00         3.643268e-03
          21         1.098310e+00         1.095927e+00         3.471725e-03
          22         1.132199e+00         1.097576e+00         3.684664e-03
          23         1.103393e+00         1.097829e+00         3.533130e-03
          24         1.096752e+00         1.097784e+00         3.386201e-03
          25         1.111654e+00         1.098339e+00         3.295893e-03
          26         1.119755e+00         1.099163e+00         3.270434e-03
          27         1.085307e+00         1.098649e+00         3.189311e-03
          28         1.100812e+00         1.098727e+00         3.076342e-03
          29         1.114007e+00         1.099253e+00         3.015050e-03
          30         1.126990e+00         1.100178e+00         3.053012e-03
          31         1.088325e+00         1.099796e+00         2.978375e-03
          32         1.109202e+00         1.100090e+00         2.899771e-03
          33         1.097232e+00         1.100003e+00         2.813191e-03
          34         1.101195e+00         1.100038e+00         2.730669e-03
          35         1.091227e+00         1.099786e+00         2.664230e-03
          36         1.080461e+00         1.099250e+00         2.643750e-03
          37         1.066300e+00         1.098359e+00         2.718145e-03
          38         1.126679e+00         1.099104e+00         2.746880e-03
          39         1.072494e+00         1.098422e+00         2.759889e-03
          40         1.087418e+00         1.098147e+00         2.704567e-03
          41         1.085212e+00         1.097831e+00         2.656939e-03
          42         1.091306e+00         1.097676e+00         2.598217e-03
          43         1.092727e+00         1.097561e+00         2.540342e-03
          44         1.118261e+00         1.098031e+00         2.525795e-03
          45         1.084514e+00         1.097731e+00         2.487466e-03
          46         1.093405e+00         1.097637e+00         2.435168e-03
          47         1.084975e+00         1.097368e+00         2.398212e-03
          48         1.088065e+00         1.097174e+00         2.356067e-03
          49         1.111284e+00         1.097462e+00         2.325516e-03
          50         1.101181e+00         1.097536e+00         2.280195e-03
          51         1.093883e+00         1.097464e+00         2.236611e-03
          52         1.095005e+00         1.097417e+00         2.194099e-03
          53         1.094230e+00         1.097357e+00         2.153525e-03
          54         1.094382e+00         1.097302e+00         2.114349e-03
          55         1.093713e+00         1.097237e+00         2.076913e-03
          56         1.070568e+00         1.096760e+00         2.093714e-03
          57         1.086396e+00         1.096579e+00         2.064863e-03
          58         1.092994e+00         1.096517e+00         2.030186e-03
          59         1.096236e+00         1.096512e+00         1.995782e-03
          60         1.094609e+00         1.096480e+00         1.962771e-03
          61         1.097175e+00         1.096492e+00         1.930627e-03
          62         1.107147e+00         1.096664e+00         1.907122e-03
          63         1.091534e+00         1.096582e+00         1.878588e-03
          64         1.114630e+00         1.096864e+00         1.870280e-03
          65         1.085558e+00         1.096690e+00         1.849577e-03
          66         1.097246e+00         1.096699e+00         1.821572e-03
          67         1.097081e+00         1.096704e+00         1.794394e-03
          68         1.097796e+00         1.096720e+00         1.768077e-03
          69         1.123476e+00         1.097108e+00         1.784467e-03
          70         1.104238e+00         1.097210e+00         1.761879e-03
          71         1.106404e+00         1.097340e+00         1.741816e-03
          72         1.087759e+00         1.097206e+00         1.722700e-03
          73         1.097353e+00         1.097208e+00         1.699102e-03
          74         1.085768e+00         1.097054e+00         1.683161e-03
          75         1.118268e+00         1.097337e+00         1.684318e-03
          76         1.105422e+00         1.097443e+00         1.665512e-03
          77         1.096763e+00         1.097434e+00         1.643905e-03
          78         1.090865e+00         1.097350e+00         1.624985e-03
          79         1.086484e+00         1.097212e+00         1.610227e-03
          80         1.106305e+00         1.097326e+00         1.594105e-03
          81         1.117672e+00         1.097577e+00         1.594092e-03
          82         1.091134e+00         1.097499e+00         1.576587e-03
          83         1.094688e+00         1.097465e+00         1.557956e-03
          84         1.082493e+00         1.097287e+00         1.549571e-03
          85         1.064589e+00         1.096902e+00         1.578367e-03
