    # BLOCK:          ACTUAL_PE:              PE_AVE:              ERROR:
           1        -7.516785e+00        -7.516785e+00         0.000000e+00
           2        -7.517170e+00        -7.516978e+00         1.361159e-04
           3        -7.520142e+00        -7.518033e+00         8.661482e-04
           4        -7.512139e+00        -7.516559e+00         1.431860e-03
           5        -7.519536e+00        -7.517154e+00         1.263184e-03
           6        -7.518372e+00        -7.517357e+00         1.068834e-03
           7        -7.518402e+00        -7.517507e+00         9.265082e-04
           8        -7.523226e+00        -7.518222e+00         1.050941e-03
           9        -7.512552e+00        -7.517592e+00         1.107007e-03
          10        -7.518833e+00        -7.517716e+00         1.003240e-03
          11        -7.512857e+00        -7.517274e+00         1.004589e-03
          12        -7.517831e+00        -7.517320e+00         9.219437e-04
          13        -7.518576e+00        -7.517417e+00         8.560720e-04
          14        -7.520515e+00        -7.517638e+00         8.230257e-04
          15        -7.523596e+00        -7.518035e+00         8.586505e-04
          16        -7.515336e+00        -7.517867e+00         8.213902e-04
          17        -7.514573e+00        -7.517673e+00         7.955918e-04
          18        -7.513975e+00        -7.517468e+00         7.774643e-04
          19        -7.521155e+00        -7.517662e+00         7.603869e-04
          20        -7.511437e+00        -7.517350e+00         7.834731e-04
          21        -7.524459e+00        -7.517689e+00         8.160146e-04
          22        -7.516558e+00        -7.517637e+00         7.805409e-04
          23        -7.518886e+00        -7.517692e+00         7.484892e-04
          24        -7.517820e+00        -7.517697e+00         7.173212e-04
          25        -7.515139e+00        -7.517595e+00         6.958892e-04
          26        -7.512786e+00        -7.517410e+00         6.932707e-04
          27        -7.518976e+00        -7.517468e+00         6.700158e-04
          28        -7.505949e+00        -7.517056e+00         7.619833e-04
          29        -7.520309e+00        -7.517169e+00         7.439152e-04
          30        -7.514243e+00        -7.517071e+00         7.254833e-04
          31        -7.519565e+00        -7.517151e+00         7.065266e-04
          32        -7.520206e+00        -7.517247e+00         6.908670e-04
          33        -7.521476e+00        -7.517375e+00         6.817151e-04
          34        -7.523956e+00        -7.517569e+00         6.885961e-04
          35        -7.518765e+00        -7.517603e+00         6.697700e-04
          36        -7.512336e+00        -7.517457e+00         6.669536e-04
          37        -7.517207e+00        -7.517450e+00         6.489619e-04
          38        -7.522414e+00        -7.517580e+00         6.448973e-04
          39        -7.508133e+00        -7.517338e+00         6.723217e-04
          40        -7.523782e+00        -7.517499e+00         6.745378e-04
          41        -7.513475e+00        -7.517401e+00         6.651883e-04
          42        -7.521314e+00        -7.517494e+00         6.558407e-04
          43        -7.513553e+00        -7.517403e+00         6.469626e-04
          44        -7.519824e+00        -7.517458e+00         6.345944e-04
          45        -7.512525e+00        -7.517348e+00         6.298885e-04
          46        -7.517250e+00        -7.517346e+00         6.161988e-04
          47        -7.523728e+00        -7.517482e+00         6.178682e-04
          48        -7.519963e+00        -7.517533e+00         6.071551e-04
          49        -7.515595e+00        -7.517494e+00         5.960520e-04
          50        -7.518135e+00        -7.517507e+00         5.842690e-04
          51        -7.517582e+00        -7.517508e+00         5.728146e-04
          52        -7.514032e+00        -7.517441e+00         5.656853e-04
          53        -7.513383e+00        -7.517365e+00         5.601698e-04
          54        -7.517627e+00        -7.517370e+00         5.498174e-04
          55        -7.513853e+00        -7.517306e+00         5.435260e-04
          56        -7.513725e+00        -7.517242e+00         5.375684e-04
          57        -7.511932e+00        -7.517149e+00         5.361474e-04
          58        -7.515207e+00        -7.517115e+00         5.279478e-04
          59        -7.526543e+00        -7.517275e+00         5.426419e-04
          60        -7.518316e+00        -7.517292e+00         5.338751e-04
          61        -7.514968e+00        -7.517254e+00         5.264804e-04
          62        -7.518312e+00        -7.517271e+00         5.182653e-04
          63        -7.515308e+00        -7.517240e+00         5.109749e-04
          64        -7.511601e+00        -7.517152e+00         5.105302e-04
          65        -7.518778e+00        -7.517177e+00         5.032881e-04
          66        -7.521380e+00        -7.517241e+00         4.996750e-04
          67        -7.508388e+00        -7.517108e+00         5.093850e-04
          68        -7.517056e+00        -7.517108e+00         5.018946e-04
          69        -7.518798e+00        -7.517132e+00         4.952180e-04
          70        -7.519108e+00        -7.517160e+00         4.889473e-04
          71        -7.512233e+00        -7.517091e+00         4.869606e-04
          72        -7.520450e+00        -7.517138e+00         4.824263e-04
          73        -7.522597e+00        -7.517212e+00         4.815801e-04
          74        -7.512905e+00        -7.517154e+00         4.785766e-04
          75        -7.515228e+00        -7.517129e+00         4.728841e-04
          76        -7.519932e+00        -7.517165e+00         4.680986e-04
          77        -7.525531e+00        -7.517274e+00         4.744583e-04
          78        -7.518483e+00        -7.517290e+00         4.686286e-04
          79        -7.519302e+00        -7.517315e+00         4.633881e-04
          80        -7.516045e+00        -7.517299e+00         4.578676e-04
          81        -7.517987e+00        -7.517308e+00         4.522936e-04
          82        -7.518369e+00        -7.517321e+00         4.469630e-04
          83        -7.517357e+00        -7.517321e+00         4.415781e-04
          84        -7.524266e+00        -7.517404e+00         4.439930e-04
          85        -7.509028e+00        -7.517305e+00         4.495710e-04
          86        -7.510473e+00        -7.517226e+00         4.513084e-04
          87        -7.513903e+00        -7.517188e+00         4.477343e-04
          88        -7.514797e+00        -7.517160e+00         4.434696e-04
          89        -7.513950e+00        -7.517124e+00         4.399510e-04
          90        -7.522185e+00        -7.517181e+00         4.386412e-04
          91        -7.521539e+00        -7.517228e+00         4.364277e-04
          92        -7.521455e+00        -7.517274e+00         4.340955e-04
          93        -7.518251e+00        -7.517285e+00         4.295547e-04
          94        -7.515766e+00        -7.517269e+00         4.252888e-04
          95        -7.513017e+00        -7.517224e+00         4.231609e-04
          96        -7.521910e+00        -7.517273e+00         4.215593e-04
          97        -7.519269e+00        -7.517293e+00         4.177154e-04
          98        -7.520881e+00        -7.517330e+00         4.150545e-04
          99        -7.516961e+00        -7.517326e+00         4.108787e-04
         100        -7.519662e+00        -7.517350e+00         4.074331e-04
         101        -7.523352e+00        -7.517409e+00         4.077101e-04
         102        -7.512701e+00        -7.517363e+00         4.063171e-04
         103        -7.514362e+00        -7.517334e+00         4.034157e-04
         104        -7.520904e+00        -7.517368e+00         4.009946e-04
         105        -7.518578e+00        -7.517380e+00         3.973411e-04
         106        -7.511218e+00        -7.517321e+00         3.978212e-04
         107        -7.518943e+00        -7.517337e+00         3.943917e-04
         108        -7.520125e+00        -7.517362e+00         3.915838e-04
         109        -7.516378e+00        -7.517353e+00         3.880954e-04
         110        -7.512073e+00        -7.517305e+00         3.875246e-04
         111        -7.519178e+00        -7.517322e+00         3.844002e-04
         112        -7.516543e+00        -7.517315e+00         3.810310e-04
         113        -7.521092e+00        -7.517349e+00         3.791218e-04
         114        -7.518879e+00        -7.517362e+00         3.760336e-04
         115        -7.517263e+00        -7.517361e+00         3.727647e-04
         116        -7.516596e+00        -7.517355e+00         3.696096e-04
         117        -7.518404e+00        -7.517364e+00         3.665593e-04
         118        -7.517001e+00        -7.517361e+00         3.634657e-04
         119        -7.518781e+00        -7.517373e+00         3.606073e-04
         120        -7.519610e+00        -7.517391e+00         3.580839e-04
         121        -7.522504e+00        -7.517433e+00         3.576091e-04
         122        -7.520555e+00        -7.517459e+00         3.555923e-04
         123        -7.518086e+00        -7.517464e+00         3.527379e-04
         124        -7.514931e+00        -7.517444e+00         3.504841e-04
         125        -7.520439e+00        -7.517468e+00         3.484982e-04
         126        -7.519464e+00        -7.517483e+00         3.460923e-04
         127        -7.520655e+00        -7.517508e+00         3.442671e-04
         128        -7.514289e+00        -7.517483e+00         3.424950e-04
