    # BLOCK:          ACTUAL_T:              T_AVE:              ERROR:
           1         8.047662e-01         8.047662e-01         0.000000e+00
           2         8.050260e-01         8.048961e-01         9.184390e-05
           3         8.057370e-01         8.051764e-01         2.369259e-04
           4         8.014316e-01         8.042402e-01         8.300241e-04
           5         8.061955e-01         8.046312e-01         7.505078e-04
           6         8.043732e-01         8.045882e-01         6.266543e-04
           7         8.049822e-01         8.046445e-01         5.396536e-04
           8         8.079952e-01         8.050634e-01         6.135672e-04
           9         8.014136e-01         8.046578e-01         6.660605e-04
          10         8.053065e-01         8.047227e-01         6.026052e-04
          11         8.017947e-01         8.044565e-01         6.037573e-04
          12         8.046592e-01         8.044734e-01         5.536804e-04
          13         8.050374e-01         8.045168e-01         5.127865e-04
          14         8.070174e-01         8.046954e-01         5.063132e-04
          15         8.076933e-01         8.048953e-01         5.104836e-04
          16         8.031439e-01         8.047858e-01         4.901735e-04
          17         8.029586e-01         8.046783e-01         4.729776e-04
          18         8.023010e-01         8.045462e-01         4.647757e-04
          19         8.065568e-01         8.046521e-01         4.521999e-04
          20         8.010439e-01         8.044717e-01         4.641847e-04
          21         8.088209e-01         8.046788e-01         4.860933e-04
          22         8.044217e-01         8.046671e-01         4.641385e-04
          23         8.062281e-01         8.047349e-01         4.488938e-04
          24         8.047081e-01         8.047338e-01         4.301912e-04
          25         8.034350e-01         8.046819e-01         4.161087e-04
          26         8.020710e-01         8.045815e-01         4.120433e-04
          27         8.055465e-01         8.046172e-01         3.983298e-04
          28         7.972247e-01         8.043532e-01         4.634125e-04
          29         8.068388e-01         8.044389e-01         4.552902e-04
          30         8.026458e-01         8.043791e-01         4.440196e-04
          31         8.063855e-01         8.044439e-01         4.343877e-04
          32         8.062734e-01         8.045010e-01         4.245588e-04
          33         8.075697e-01         8.045940e-01         4.217543e-04
          34         8.090666e-01         8.047256e-01         4.293753e-04
          35         8.059524e-01         8.047606e-01         4.185357e-04
          36         8.013767e-01         8.046666e-01         4.173314e-04
          37         8.049052e-01         8.046731e-01         4.061020e-04
          38         8.077056e-01         8.047529e-01         4.031801e-04
          39         7.986142e-01         8.045955e-01         4.224508e-04
          40         8.083378e-01         8.046890e-01         4.221223e-04
          41         8.024171e-01         8.046336e-01         4.154477e-04
          42         8.072340e-01         8.046955e-01         4.101437e-04
          43         8.019223e-01         8.046310e-01         4.056447e-04
