    #T:              iterazioni:              accettazione_<H>:              mu:              sigma:              E_final:              ERROR:
1.100000e+00             0                    5.002797e-01            5.000000e-02         1.000000e-01         1.959790e+01          8.533088e-02
1.100000e+00             1                    4.938069e-01           -3.273506e-01        -2.300820e-01         2.214020e+00          1.890966e-02
1.100000e+00             2                    5.031634e-01           -4.961849e-01        -2.529673e-01         2.734005e+00          1.654598e-02
1.100000e+00             3                    5.219926e-01           -2.911560e-01        -6.669601e-01         8.285259e-03          3.133228e-03
1.100000e+00             4                    5.127995e-01            1.143278e-01        -7.954639e-01        -1.053094e-01          2.682073e-03
1.100000e+00             5                    5.253589e-01            3.903757e-01        -1.274326e+00         3.084430e-01          1.713878e-02
1.100000e+00             6                    5.253589e-01            3.903757e-01        -1.274326e+00         3.084430e-01          1.713878e-02
1.100000e+00             7                    5.001931e-01           -9.232267e-02        -1.191148e+00        -7.142934e-02          9.847618e-03
1.100000e+00             8                    5.099381e-01            1.623310e-01        -1.457991e+00         9.223494e-01          2.806386e-02
1.100000e+00             9                    5.005124e-01            1.555573e-01        -1.201943e+00        -3.424084e-02          1.021274e-02
1.100000e+00            10                    5.048292e-01            1.498170e-01        -1.444050e+00         8.301024e-01          2.623495e-02
1.092316e+00             0                    5.048292e-01            1.498170e-01        -1.444050e+00         8.301024e-01          2.623495e-02
1.092316e+00             1                    4.824851e-01            1.216136e-01        -1.359133e+00         3.859972e-01          1.781125e-02
1.092316e+00             2                    4.824851e-01            1.216136e-01        -1.359133e+00         3.859972e-01          1.781125e-02
1.092316e+00             3                    4.895074e-01            5.534791e-01        -1.105081e+00        -7.422497e-03          1.061980e-02
1.092316e+00             4                    4.954183e-01            7.776307e-02        -9.190754e-01        -2.269029e-01          2.620116e-03
1.092316e+00             5                    5.122178e-01            2.297177e-01        -1.205224e+00        -5.436672e-03          1.096013e-02
1.092316e+00             6                    5.122178e-01            2.297177e-01        -1.205224e+00        -5.436672e-03          1.096013e-02
1.092316e+00             7                    4.857871e-01            3.069869e-01        -8.652190e-01        -2.303932e-01          2.696300e-03
1.092316e+00             8                    4.857871e-01            3.069869e-01        -8.652190e-01        -2.303932e-01          2.696300e-03
1.092316e+00             9                    4.857871e-01            3.069869e-01        -8.652190e-01        -2.303932e-01          2.696300e-03
1.092316e+00            10                    5.064752e-01            7.468623e-01        -5.519336e-01        -4.003362e-01          1.815357e-03
1.084685e+00             0                    5.064752e-01            7.468623e-01        -5.519336e-01        -4.003362e-01          1.815357e-03
1.084685e+00             1                    4.931609e-01            3.806662e-01        -9.984540e-01        -2.294822e-01          5.117185e-03
1.084685e+00             2                    4.942351e-01           -7.556877e-03        -5.129788e-01         6.745073e-01          5.101792e-03
1.084685e+00             3                    5.065718e-01           -2.348054e-01        -7.616136e-01        -9.909927e-02          2.685115e-03
1.084685e+00             4                    5.086040e-01           -4.526129e-01        -7.800841e-01        -2.402262e-01          2.299112e-03
1.084685e+00             5                    5.121955e-01           -7.378946e-01        -1.262225e+00         9.298387e-01          2.466641e-02
1.084685e+00             6                    5.090470e-01           -6.893725e-01        -1.503197e+00         2.329010e+00          4.512923e-02
1.084685e+00             7                    5.090470e-01           -6.893725e-01        -1.503197e+00         2.329010e+00          4.512923e-02
1.084685e+00             8                    4.941188e-01           -3.576698e-01        -1.254427e+00         1.895235e-01          1.482764e-02
1.084685e+00             9                    4.941188e-01           -3.576698e-01        -1.254427e+00         1.895235e-01          1.482764e-02
1.084685e+00            10                    4.941188e-01           -3.576698e-01        -1.254427e+00         1.895235e-01          1.482764e-02
1.077108e+00             0                    4.941188e-01           -3.576698e-01        -1.254427e+00         1.895235e-01          1.482764e-02
1.077108e+00             1                    5.022673e-01            1.287898e-01        -1.411198e+00         6.615656e-01          2.561646e-02
1.077108e+00             2                    4.900619e-01           -3.425141e-01        -1.065431e+00        -1.973751e-01          6.480680e-03
1.077108e+00             3                    4.991733e-01           -2.664914e-01        -7.117264e-01        -4.278020e-02          2.899388e-03
1.077108e+00             4                    5.099183e-01            8.156672e-02        -9.317819e-01        -2.287035e-01          2.614311e-03
1.077108e+00             5                    4.979728e-01            5.333465e-01        -5.065692e-01        -1.403549e-01          2.579676e-03
1.077108e+00             6                    4.866213e-01            3.237663e-01        -2.246446e-01         2.387966e+00          2.006461e-02
1.077108e+00             7                    4.866213e-01            3.237663e-01        -2.246446e-01         2.387966e+00          2.006461e-02
1.077108e+00             8                    4.938094e-01           -3.145958e-02        -4.642110e-01         9.216166e-01          6.010175e-03
1.077108e+00             9                    5.037649e-01            1.634096e-02        -8.760992e-01        -1.898880e-01          2.578540e-03
1.077108e+00            10                    5.037649e-01            1.634096e-02        -8.760992e-01        -1.898880e-01          2.578540e-03
1.069584e+00             0                    5.037649e-01            1.634096e-02        -8.760992e-01        -1.898880e-01          2.578540e-03
1.069584e+00             1                    4.954678e-01           -1.420233e-01        -6.160549e-01         2.473104e-01          3.824822e-03
1.069584e+00             2                    5.065594e-01           -2.921356e-02        -9.029233e-01        -2.089533e-01          2.543804e-03
1.069584e+00             3                    5.036287e-01            3.092879e-01        -4.106120e-01         5.685882e-01          4.549142e-03
1.069584e+00             4                    5.065124e-01           -1.128940e-01        -8.237020e-01        -1.378575e-01          2.582822e-03
1.069584e+00             5                    5.243614e-01            1.801637e-01        -1.214811e+00        -1.004271e-03          1.136755e-02
1.069584e+00             6                    5.243614e-01            1.801637e-01        -1.214811e+00        -1.004271e-03          1.136755e-02
1.069584e+00             7                    5.243614e-01            1.801637e-01        -1.214811e+00        -1.004271e-03          1.136755e-02
1.069584e+00             8                    4.943911e-01           -5.029088e-02        -8.124347e-01        -1.196615e-01          2.714793e-03
1.069584e+00             9                    4.911436e-01            2.739891e-01        -6.663026e-01         2.625482e-02          3.192726e-03
1.069584e+00            10                    5.112797e-01            3.274982e-02        -1.106217e+00        -1.979583e-01          5.940673e-03
1.062112e+00             0                    5.112797e-01            3.274982e-02        -1.106217e+00        -1.979583e-01          5.940673e-03
1.062112e+00             1                    5.133960e-01           -4.542901e-01        -1.227995e+00         2.189661e-01          1.453286e-02
1.062112e+00             2                    4.948960e-01            2.331064e-02        -9.040297e-01        -2.119727e-01          2.642303e-03
1.062112e+00             3                    5.015124e-01            5.177614e-01        -5.122552e-01        -1.227577e-01          2.611329e-03
1.062112e+00             4                    4.876856e-01            7.393455e-01        -4.138477e-01         1.482356e-01          6.599379e-03
1.062112e+00             5                    4.939480e-01            9.976547e-01        -4.644716e-01        -2.220692e-02          3.291033e-03
1.062112e+00             6                    5.099777e-01            1.385143e+00        -6.054715e-01         1.278550e+00          1.149254e-02
1.062112e+00             7                    5.099777e-01            1.385143e+00        -6.054715e-01         1.278550e+00          1.149254e-02
1.062112e+00             8                    4.958168e-01            1.450186e+00        -4.071651e-01         1.529122e+00          6.730932e-03
1.062112e+00             9                    4.902896e-01            1.692678e+00        -2.607084e-01         5.236224e+00          1.559631e-02
1.062112e+00            10                    4.902896e-01            1.692678e+00        -2.607084e-01         5.236224e+00          1.559631e-02
1.054693e+00             0                    4.902896e-01            1.692678e+00        -2.607084e-01         5.236224e+00          1.559631e-02
1.054693e+00             1                    4.902896e-01            1.692678e+00        -2.607084e-01         5.236224e+00          1.559631e-02
1.054693e+00             2                    4.902896e-01            1.692678e+00        -2.607084e-01         5.236224e+00          1.559631e-02
1.054693e+00             3                    4.902896e-01            1.692678e+00        -2.607084e-01         5.236224e+00          1.559631e-02
1.054693e+00             4                    4.882327e-01            1.382031e+00         2.087259e-01         4.827407e+00          2.503767e-02
1.054693e+00             5                    5.216609e-01            1.213908e+00         5.666175e-01         2.919474e-01          5.957226e-03
1.054693e+00             6                    5.216609e-01            1.213908e+00         5.666175e-01         2.919474e-01          5.957226e-03
1.054693e+00             7                    5.216609e-01            1.213908e+00         5.666175e-01         2.919474e-01          5.957226e-03
1.054693e+00             8                    5.011114e-01            1.089462e+00         7.295083e-01         1.221270e-01          7.697260e-03
1.054693e+00             9                    5.011114e-01            1.089462e+00         7.295083e-01         1.221270e-01          7.697260e-03
1.054693e+00            10                    4.904678e-01            6.258540e-01         4.382486e-01        -5.052859e-02          4.767392e-03
1.047325e+00             0                    4.904678e-01            6.258540e-01         4.382486e-01        -5.052859e-02          4.767392e-03
1.047325e+00             1                    4.904678e-01            6.258540e-01         4.382486e-01        -5.052859e-02          4.767392e-03
1.047325e+00             2                    4.986510e-01            5.952305e-01         4.585557e-01        -1.234179e-01          3.878456e-03
1.047325e+00             3                    4.986510e-01            5.952305e-01         4.585557e-01        -1.234179e-01          3.878456e-03
