    #T:              ACCEPTANCE:
1.100000e+00         9.000000e-01
1.092316e+00         6.000000e-01
1.084685e+00         7.000000e-01
1.077108e+00         8.000000e-01
1.069584e+00         8.000000e-01
1.062112e+00         8.000000e-01
1.054693e+00         4.000000e-01
1.047325e+00         3.000000e-01
1.040009e+00         8.000000e-01
1.032744e+00         9.000000e-01
1.025530e+00         9.000000e-01
1.018366e+00         5.000000e-01
1.011252e+00         6.000000e-01
1.004188e+00         8.000000e-01
9.971731e-01         5.000000e-01
9.902073e-01         8.000000e-01
9.832902e-01         8.000000e-01
9.764213e-01         9.000000e-01
9.696005e-01         5.000000e-01
9.628273e-01         7.000000e-01
9.561014e-01         9.000000e-01
9.494225e-01         7.000000e-01
9.427902e-01         7.000000e-01
9.362043e-01         7.000000e-01
9.296644e-01         6.000000e-01
9.231702e-01         3.000000e-01
9.167213e-01         4.000000e-01
9.103175e-01         6.000000e-01
9.039584e-01         7.000000e-01
8.976437e-01         6.000000e-01
8.913732e-01         6.000000e-01
8.851465e-01         3.000000e-01
8.789632e-01         3.000000e-01
8.728232e-01         7.000000e-01
8.667260e-01         6.000000e-01
8.606714e-01         5.000000e-01
8.546592e-01         4.000000e-01
8.486889e-01         5.000000e-01
8.427603e-01         5.000000e-01
8.368732e-01         3.000000e-01
8.310271e-01         8.000000e-01
8.252219e-01         6.000000e-01
8.194573e-01         6.000000e-01
8.137329e-01         8.000000e-01
8.080485e-01         6.000000e-01
8.024039e-01         6.000000e-01
7.967986e-01         7.000000e-01
7.912325e-01         7.000000e-01
7.857053e-01         9.000000e-01
7.802167e-01         9.000000e-01
7.747665e-01         6.000000e-01
7.693543e-01         4.000000e-01
7.639799e-01         3.000000e-01
7.586431e-01         6.000000e-01
7.533436e-01         7.000000e-01
7.480810e-01         8.000000e-01
7.428553e-01         8.000000e-01
7.376660e-01         8.000000e-01
7.325130e-01         5.000000e-01
7.273960e-01         3.000000e-01
7.223147e-01         5.000000e-01
7.172689e-01         6.000000e-01
7.122584e-01         6.000000e-01
7.072829e-01         3.000000e-01
7.023421e-01         4.000000e-01
6.974359e-01         8.000000e-01
6.925639e-01         7.000000e-01
6.877259e-01         4.000000e-01
6.829218e-01         3.000000e-01
6.781512e-01         6.000000e-01
6.734139e-01         8.000000e-01
6.687097e-01         8.000000e-01
