    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -3.960903e-01        -3.960903e-01         0.000000e+00
           2        -3.641866e-01        -3.801384e-01         1.127966e-02
           3        -4.248723e-01        -3.950497e-01         1.431006e-02
           4        -4.529724e-01        -4.095304e-01         1.650621e-02
           5        -4.528145e-01        -4.181872e-01         1.530764e-02
           6        -4.914895e-01        -4.304043e-01         1.694418e-02
           7        -4.505971e-01        -4.332890e-01         1.476709e-02
           8        -3.849837e-01        -4.272508e-01         1.410176e-02
           9        -4.570666e-01        -4.305637e-01         1.291817e-02
          10        -4.405310e-01        -4.315604e-01         1.166475e-02
          11        -4.888686e-01        -4.367702e-01         1.171010e-02
          12        -4.242643e-01        -4.357281e-01         1.078053e-02
          13        -4.487234e-01        -4.367277e-01         9.997500e-03
          14        -4.360422e-01        -4.366788e-01         9.283513e-03
          15        -4.111732e-01        -4.349784e-01         8.818957e-03
          16        -4.302182e-01        -4.346809e-01         8.272789e-03
          17        -4.588876e-01        -4.361048e-01         7.907749e-03
          18        -4.121791e-01        -4.347756e-01         7.579319e-03
          19        -5.062930e-01        -4.385397e-01         8.061067e-03
          20        -4.322519e-01        -4.382253e-01         7.664142e-03
          21        -4.045132e-01        -4.366199e-01         7.465418e-03
          22        -4.251040e-01        -4.360965e-01         7.144408e-03
          23        -4.691265e-01        -4.375326e-01         6.976622e-03
          24        -5.253333e-01        -4.411909e-01         7.584696e-03
          25        -3.947165e-01        -4.393320e-01         7.505666e-03
          26        -4.706232e-01        -4.405355e-01         7.312839e-03
          27        -4.282015e-01        -4.400787e-01         7.056247e-03
          28        -4.337030e-01        -4.398510e-01         6.807911e-03
          29        -4.578306e-01        -4.404709e-01         6.601326e-03
          30        -4.088869e-01        -4.394181e-01         6.464688e-03
          31        -4.137163e-01        -4.385891e-01         6.309091e-03
          32        -5.128914e-01        -4.409110e-01         6.525234e-03
          33        -4.467156e-01        -4.410869e-01         6.329870e-03
          34        -4.250608e-01        -4.406155e-01         6.161222e-03
          35        -4.536996e-01        -4.409894e-01         5.996517e-03
          36        -4.897072e-01        -4.423426e-01         5.980700e-03
          37        -4.675551e-01        -4.430241e-01         5.857750e-03
          38        -4.951795e-01        -4.443966e-01         5.862188e-03
          39        -4.439784e-01        -4.443859e-01         5.711885e-03
          40        -4.876619e-01        -4.454678e-01         5.670625e-03
          41        -3.997513e-01        -4.443527e-01         5.640879e-03
          42        -4.686196e-01        -4.449305e-01         5.536084e-03
          43        -4.435585e-01        -4.448986e-01         5.407429e-03
          44        -4.644677e-01        -4.453434e-01         5.302792e-03
          45        -5.230345e-01        -4.470698e-01         5.458771e-03
          46        -4.644936e-01        -4.474486e-01         5.353228e-03
          47        -4.771029e-01        -4.480795e-01         5.276380e-03
          48        -4.818443e-01        -4.487830e-01         5.213135e-03
          49        -4.347427e-01        -4.484964e-01         5.114613e-03
          50        -4.594491e-01        -4.487155e-01         5.017009e-03
          51        -4.767589e-01        -4.492654e-01         4.948678e-03
          52        -4.487262e-01        -4.492550e-01         4.853522e-03
          53        -4.303501e-01        -4.488983e-01         4.775035e-03
          54        -3.944678e-01        -4.478903e-01         4.791815e-03
          55        -4.763653e-01        -4.484080e-01         4.732577e-03
          56        -4.691547e-01        -4.487785e-01         4.662545e-03
          57        -4.414762e-01        -4.486504e-01         4.582506e-03
          58        -4.907076e-01        -4.493755e-01         4.560507e-03
          59        -4.722656e-01        -4.497635e-01         4.499683e-03
          60        -4.886770e-01        -4.504121e-01         4.471184e-03
          61        -4.462432e-01        -4.503437e-01         4.398408e-03
          62        -4.477423e-01        -4.503018e-01         4.327666e-03
          63        -4.644037e-01        -4.505256e-01         4.264758e-03
          64        -4.696161e-01        -4.508239e-01         4.208539e-03
          65        -4.570969e-01        -4.509204e-01         4.144899e-03
          66        -4.197006e-01        -4.504474e-01         4.109000e-03
          67        -2.965079e-01        -4.481498e-01         4.645842e-03
          68        -4.576988e-01        -4.482902e-01         4.579642e-03
          69        -4.500158e-01        -4.483152e-01         4.513339e-03
          70        -4.765796e-01        -4.487190e-01         4.466888e-03
          71        -4.333450e-01        -4.485024e-01         4.409219e-03
          72        -4.780665e-01        -4.489131e-01         4.367057e-03
          73        -4.129142e-01        -4.484199e-01         4.334988e-03
          74        -4.710659e-01        -4.487260e-01         4.287195e-03
          75        -4.875212e-01        -4.492432e-01         4.261124e-03
          76        -2.671271e-01        -4.468470e-01         4.832084e-03
          77        -3.159427e-01        -4.451469e-01         5.059561e-03
          78        -4.291198e-01        -4.449414e-01         4.998865e-03
          79        -4.356732e-01        -4.448241e-01         4.936965e-03
          80        -4.258565e-01        -4.445870e-01         4.880943e-03
          81        -3.762609e-01        -4.437435e-01         4.893031e-03
          82        -4.448632e-01        -4.437571e-01         4.833379e-03
          83        -4.553986e-01        -4.438974e-01         4.777181e-03
          84        -4.481711e-01        -4.439483e-01         4.720580e-03
          85        -4.700159e-01        -4.442549e-01         4.674995e-03
          86        -4.479566e-01        -4.442980e-01         4.620833e-03
          87        -4.185805e-01        -4.440024e-01         4.577165e-03
          88        -5.253223e-01        -4.449265e-01         4.617493e-03
          89        -4.930868e-01        -4.454676e-01         4.597209e-03
          90        -4.762064e-01        -4.458091e-01         4.558798e-03
          91        -3.658307e-01        -4.449303e-01         4.592640e-03
          92        -4.682624e-01        -4.451839e-01         4.549717e-03
          93        -4.658989e-01        -4.454066e-01         4.506244e-03
          94        -4.534492e-01        -4.454922e-01         4.459118e-03
          95        -4.704610e-01        -4.457550e-01         4.419919e-03
          96        -5.010275e-01        -4.463308e-01         4.411218e-03
          97        -4.857335e-01        -4.467370e-01         4.384405e-03
          98        -4.615536e-01        -4.468882e-01         4.342273e-03
          99        -4.041875e-01        -4.464568e-01         4.319780e-03
         100        -3.430151e-01        -4.454224e-01         4.398690e-03
         101        -4.955847e-01        -4.459191e-01         4.383088e-03
         102        -4.879994e-01        -4.463316e-01         4.359488e-03
         103        -4.938907e-01        -4.467934e-01         4.341547e-03
         104        -4.660560e-01        -4.469786e-01         4.303750e-03
         105        -4.240501e-01        -4.467602e-01         4.268298e-03
         106        -4.922331e-01        -4.471892e-01         4.249535e-03
         107        -4.150296e-01        -4.468887e-01         4.220435e-03
         108        -4.863874e-01        -4.472544e-01         4.197173e-03
         109        -3.904204e-01        -4.467330e-01         4.190929e-03
         110        -4.616892e-01        -4.468689e-01         4.155035e-03
         111        -4.662238e-01        -4.470433e-01         4.121259e-03
         112        -3.881819e-01        -4.465178e-01         4.117835e-03
         113        -4.635107e-01        -4.466681e-01         4.084139e-03
         114        -4.240383e-01        -4.464696e-01         4.053135e-03
         115        -4.761222e-01        -4.467275e-01         4.026084e-03
         116        -4.996999e-01        -4.471841e-01         4.017191e-03
         117        -3.433861e-01        -4.462970e-01         4.079641e-03
         118        -3.307712e-01        -4.453179e-01         4.160884e-03
         119        -4.405802e-01        -4.452781e-01         4.126109e-03
         120        -4.788644e-01        -4.455580e-01         4.101206e-03
         121        -4.791727e-01        -4.458358e-01         4.076710e-03
         122        -3.982288e-01        -4.454456e-01         4.061928e-03
         123        -4.539329e-01        -4.455146e-01         4.029490e-03
         124        -3.575980e-01        -4.448056e-01         4.058891e-03
         125        -4.450024e-01        -4.448072e-01         4.026420e-03
         126        -4.289044e-01        -4.446810e-01         3.996442e-03
         127        -3.917988e-01        -4.442646e-01         3.986607e-03
         128        -4.844118e-01        -4.445782e-01         3.967781e-03
         129        -4.032907e-01        -4.442582e-01         3.949911e-03
         130        -4.478773e-01        -4.442860e-01         3.919625e-03
         131        -4.029029e-01        -4.439701e-01         3.902413e-03
         132        -4.865359e-01        -4.442926e-01         3.886150e-03
         133        -4.529908e-01        -4.443580e-01         3.857481e-03
         134        -4.750325e-01        -4.445869e-01         3.835480e-03
         135        -4.776071e-01        -4.448315e-01         3.814860e-03
         136        -4.534189e-01        -4.448946e-01         3.787332e-03
         137        -4.766357e-01        -4.451263e-01         3.766768e-03
         138        -5.215170e-01        -4.456799e-01         3.779928e-03
         139        -4.641826e-01        -4.458130e-01         3.755077e-03
         140        -4.400217e-01        -4.457716e-01         3.728483e-03
         141        -4.655733e-01        -4.459120e-01         3.704684e-03
         142        -4.858868e-01        -4.461936e-01         3.689275e-03
         143        -4.431940e-01        -4.461726e-01         3.663535e-03
         144        -3.027458e-01        -4.451766e-01         3.771060e-03
         145        -4.798967e-01        -4.454160e-01         3.752647e-03
         146        -4.709432e-01        -4.455909e-01         3.731015e-03
         147        -4.567138e-01        -4.456665e-01         3.706401e-03
