    #generation:          shortest_distance:          average_of_top_200:
           1              1.472036e+01                   1.764277e+01
           2              1.436996e+01                   1.672231e+01
           3              1.285203e+01                   1.577178e+01
           4              1.296958e+01                   1.514562e+01
           5              1.246614e+01                   1.468538e+01
           6              1.175005e+01                   1.414567e+01
           7              1.175005e+01                   1.362770e+01
           8              1.144042e+01                   1.311113e+01
           9              1.131463e+01                   1.264419e+01
          10              1.094600e+01                   1.222391e+01
          11              1.065176e+01                   1.199891e+01
          12              1.054347e+01                   1.165057e+01
          13              9.884668e+00                   1.128593e+01
          14              9.522144e+00                   1.097176e+01
          15              9.439570e+00                   1.071079e+01
          16              8.915861e+00                   1.022207e+01
          17              8.915861e+00                   9.856652e+00
          18              8.686083e+00                   9.545481e+00
          19              8.244231e+00                   9.337101e+00
          20              8.077116e+00                   9.119656e+00
          21              7.823549e+00                   8.792213e+00
          22              7.823549e+00                   8.461901e+00
          23              7.615491e+00                   8.217195e+00
          24              7.615491e+00                   8.036331e+00
          25              7.585423e+00                   7.942252e+00
          26              7.463487e+00                   7.814236e+00
          27              7.295256e+00                   7.690937e+00
          28              7.295256e+00                   7.728782e+00
          29              7.295256e+00                   7.700584e+00
          30              7.295256e+00                   7.569745e+00
          31              7.255470e+00                   7.493644e+00
          32              7.099459e+00                   7.416286e+00
          33              7.089258e+00                   7.423070e+00
          34              6.759749e+00                   7.494880e+00
          35              6.759749e+00                   7.509573e+00
          36              6.759749e+00                   7.569745e+00
          37              6.759749e+00                   7.627070e+00
          38              6.759749e+00                   7.533643e+00
          39              6.759749e+00                   7.410487e+00
          40              6.759749e+00                   7.136445e+00
          41              6.696622e+00                   7.022951e+00
          42              6.640949e+00                   6.842536e+00
          43              6.443789e+00                   6.942741e+00
          44              6.443789e+00                   6.983817e+00
          45              6.443789e+00                   6.985803e+00
          46              6.443789e+00                   6.980251e+00
          47              6.443789e+00                   6.821909e+00
          48              6.443789e+00                   6.791626e+00
          49              6.443789e+00                   6.711009e+00
          50              6.443789e+00                   6.584908e+00
          51              6.442898e+00                   6.536462e+00
          52              6.320175e+00                   6.501948e+00
          53              6.057638e+00                   6.624777e+00
          54              6.057638e+00                   6.621035e+00
          55              6.057638e+00                   6.632551e+00
          56              6.057638e+00                   6.509596e+00
          57              6.057638e+00                   6.435067e+00
          58              6.057638e+00                   6.222420e+00
          59              6.041309e+00                   6.174488e+00
          60              6.041309e+00                   6.126867e+00
          61              6.041309e+00                   6.130865e+00
          62              6.041309e+00                   6.100292e+00
          63              5.921875e+00                   6.078878e+00
          64              5.921875e+00                   6.092464e+00
          65              5.921875e+00                   6.141522e+00
          66              5.921875e+00                   6.204989e+00
          67              5.921875e+00                   6.289733e+00
          68              5.921875e+00                   6.299844e+00
          69              5.921875e+00                   6.304238e+00
          70              5.921875e+00                   6.226004e+00
          71              5.849739e+00                   6.178132e+00
          72              5.849739e+00                   6.149156e+00
          73              5.849739e+00                   6.055802e+00
          74              5.849739e+00                   5.989802e+00
          75              5.849739e+00                   5.890313e+00
          76              5.849739e+00                   5.878331e+00
          77              5.849739e+00                   5.866868e+00
          78              5.849739e+00                   5.868830e+00
          79              5.849739e+00                   5.893712e+00
          80              5.791417e+00                   5.903686e+00
          81              5.791417e+00                   5.861553e+00
          82              5.791417e+00                   5.877468e+00
          83              5.719572e+00                   5.859288e+00
          84              5.719572e+00                   5.897349e+00
          85              5.519723e+00                   5.860963e+00
          86              5.519723e+00                   5.876537e+00
          87              5.519723e+00                   5.727417e+00
          88              5.519723e+00                   5.677990e+00
          89              5.447839e+00                   5.610093e+00
          90              5.447839e+00                   5.560583e+00
          91              5.447839e+00                   5.578060e+00
