    #generation:          shortest_distance:          average_of_top_200:
           1              4.669963e+01                   6.272349e+01
           2              4.335319e+01                   5.742056e+01
           3              3.627648e+01                   5.234931e+01
           4              3.430135e+01                   4.714651e+01
           5              3.250705e+01                   4.368525e+01
           6              3.162847e+01                   3.972392e+01
           7              2.957003e+01                   3.779424e+01
           8              2.905096e+01                   3.602034e+01
           9              2.465605e+01                   3.349693e+01
          10              2.465605e+01                   3.169536e+01
          11              2.291775e+01                   2.997752e+01
          12              2.215044e+01                   2.784770e+01
          13              2.022802e+01                   2.652245e+01
          14              2.022802e+01                   2.467486e+01
          15              1.977490e+01                   2.369462e+01
          16              1.580674e+01                   2.296706e+01
          17              1.504599e+01                   2.086067e+01
          18              1.474857e+01                   2.021718e+01
          19              1.387542e+01                   1.820049e+01
          20              1.331326e+01                   1.697805e+01
          21              1.185099e+01                   1.648644e+01
          22              1.117694e+01                   1.503068e+01
          23              1.117694e+01                   1.454445e+01
          24              1.048424e+01                   1.311336e+01
          25              1.043155e+01                   1.245751e+01
          26              1.030496e+01                   1.206596e+01
          27              9.738848e+00                   1.222703e+01
          28              9.559576e+00                   1.145660e+01
          29              9.211127e+00                   1.085154e+01
          30              7.640900e+00                   1.055204e+01
          31              7.461627e+00                   1.022447e+01
          32              6.802091e+00                   9.790841e+00
          33              6.802091e+00                   9.171742e+00
          34              6.489480e+00                   8.973388e+00
          35              6.195637e+00                   9.139999e+00
          36              5.223490e+00                   8.638351e+00
          37              5.223490e+00                   8.342968e+00
          38              5.223490e+00                   7.760767e+00
          39              5.020824e+00                   6.795560e+00
          40              4.996966e+00                   6.460893e+00
          41              4.794299e+00                   5.713873e+00
          42              4.293189e+00                   5.619307e+00
          43              4.293189e+00                   5.591874e+00
          44              4.062319e+00                   5.357366e+00
          45              4.062319e+00                   5.649407e+00
          46              3.472565e+00                   5.127105e+00
          47              3.472565e+00                   5.405231e+00
          48              3.315177e+00                   4.586621e+00
          49              3.265689e+00                   4.204286e+00
          50              3.172798e+00                   4.111803e+00
          51              3.172798e+00                   4.124083e+00
          52              3.076258e+00                   3.925147e+00
          53              3.076258e+00                   3.720590e+00
          54              3.076258e+00                   3.729313e+00
          55              3.021610e+00                   3.641173e+00
          56              2.925070e+00                   3.610995e+00
          57              2.750782e+00                   3.831347e+00
          58              2.750782e+00                   3.548918e+00
          59              2.750782e+00                   3.559618e+00
          60              2.609127e+00                   3.231771e+00
          61              2.609127e+00                   3.241478e+00
          62              2.599594e+00                   3.383172e+00
          63              2.421369e+00                   3.373011e+00
          64              2.267845e+00                   3.470054e+00
          65              2.267845e+00                   3.227454e+00
          66              2.267845e+00                   3.293417e+00
          67              2.267845e+00                   3.126216e+00
          68              2.267845e+00                   2.932912e+00
          69              2.267845e+00                   3.031384e+00
          70              2.267845e+00                   2.866165e+00
          71              2.267845e+00                   2.863651e+00
          72              2.258147e+00                   2.456367e+00
          73              2.154666e+00                   2.649891e+00
          74              2.154666e+00                   2.692166e+00
          75              2.144969e+00                   2.695037e+00
          76              2.009075e+00                   2.948758e+00
          77              2.009075e+00                   2.919547e+00
          78              1.969285e+00                   2.552582e+00
          79              1.969285e+00                   2.689987e+00
          80              1.957369e+00                   2.657557e+00
          81              1.957369e+00                   2.947231e+00
          82              1.957369e+00                   2.764113e+00
          83              1.884005e+00                   2.876025e+00
          84              1.884005e+00                   2.625153e+00
          85              1.884005e+00                   2.242461e+00
          86              1.884005e+00                   2.132259e+00
          87              1.884005e+00                   2.459227e+00
          88              1.843641e+00                   2.367388e+00
          89              1.843641e+00                   2.564913e+00
          90              1.839664e+00                   3.276386e+00
          91              1.839664e+00                   3.756417e+00
          92              1.839664e+00                   4.460520e+00
          93              1.839664e+00                   4.582730e+00
          94              1.839664e+00                   4.054179e+00
          95              1.839664e+00                   3.759617e+00
          96              1.839664e+00                   2.699226e+00
          97              1.839664e+00                   2.809134e+00
          98              1.720358e+00                   2.400273e+00
          99              1.720358e+00                   2.368418e+00
         100              1.720358e+00                   2.630439e+00
         101              1.720358e+00                   2.440246e+00
         102              1.720358e+00                   2.268082e+00
         103              1.635615e+00                   2.356218e+00
         104              1.635615e+00                   2.435002e+00
         105              1.635615e+00                   2.111513e+00
         106              1.635615e+00                   2.163422e+00
         107              1.635615e+00                   2.060047e+00
         108              1.635615e+00                   2.162876e+00
         109              1.635615e+00                   2.110183e+00
         110              1.635615e+00                   2.329154e+00
         111              1.635615e+00                   2.321506e+00
         112              1.635615e+00                   2.039272e+00
         113              1.635615e+00                   1.912232e+00
         114              1.635615e+00                   2.021674e+00
         115              1.635615e+00                   2.170558e+00
         116              1.635615e+00                   2.286812e+00
         117              1.635615e+00                   1.958575e+00
         118              1.635615e+00                   1.894371e+00
         119              1.635615e+00                   2.097149e+00
         120              1.635615e+00                   1.982006e+00
         121              1.635615e+00                   2.177904e+00
         122              1.635615e+00                   2.153047e+00
         123              1.635615e+00                   2.194282e+00
         124              1.635615e+00                   2.394644e+00
         125              1.635615e+00                   2.232250e+00
         126              1.635615e+00                   1.966462e+00
         127              1.635615e+00                   1.967432e+00
         128              1.635615e+00                   1.849158e+00
         129              1.635615e+00                   1.915151e+00
         130              1.635615e+00                   1.891501e+00
         131              1.635615e+00                   1.930447e+00
         132              1.635615e+00                   2.013950e+00
         133              1.635615e+00                   1.802537e+00
         134              1.635615e+00                   1.854276e+00
         135              1.635615e+00                   1.820272e+00
         136              1.635615e+00                   1.968700e+00
         137              1.635615e+00                   2.017744e+00
         138              1.635615e+00                   1.787692e+00
         139              1.635615e+00                   1.862502e+00
         140              1.635615e+00                   2.073887e+00
         141              1.635615e+00                   1.768024e+00
         142              1.635615e+00                   2.045507e+00
         143              1.635615e+00                   1.841292e+00
         144              1.635615e+00                   1.672411e+00
         145              1.635615e+00                   2.193001e+00
         146              1.635615e+00                   2.351252e+00
         147              1.635615e+00                   2.203760e+00
         148              1.635615e+00                   2.234776e+00
         149              1.635615e+00                   2.706155e+00
         150              1.635615e+00                   2.198635e+00
         151              1.635615e+00                   2.301606e+00
         152              1.635615e+00                   1.987032e+00
         153              1.635615e+00                   2.099281e+00
         154              1.635615e+00                   2.098827e+00
         155              1.635615e+00                   2.138130e+00
         156              1.635615e+00                   2.304791e+00
         157              1.635615e+00                   2.455370e+00
         158              1.635615e+00                   2.715922e+00
         159              1.635615e+00                   2.288995e+00
         160              1.635615e+00                   2.283395e+00
         161              1.635615e+00                   2.336864e+00
         162              1.635615e+00                   2.058419e+00
         163              1.635615e+00                   2.079176e+00
         164              1.635615e+00                   2.242625e+00
         165              1.635615e+00                   2.051848e+00
         166              1.635615e+00                   1.918226e+00
         167              1.635615e+00                   2.162138e+00
         168              1.635615e+00                   2.486583e+00
         169              1.635615e+00                   2.194152e+00
         170              1.635615e+00                   1.891159e+00
         171              1.635615e+00                   1.883193e+00
         172              1.635615e+00                   1.888080e+00
         173              1.635615e+00                   1.926891e+00
         174              1.635615e+00                   1.927438e+00
         175              1.635615e+00                   1.923088e+00
         176              1.635615e+00                   2.134956e+00
         177              1.635615e+00                   2.562984e+00
         178              1.635615e+00                   2.199576e+00
         179              1.635615e+00                   2.372283e+00
         180              1.635615e+00                   2.329325e+00
         181              1.635615e+00                   2.037362e+00
         182              1.635615e+00                   2.012706e+00
         183              1.635615e+00                   2.309831e+00
         184              1.635615e+00                   1.912123e+00
         185              1.635615e+00                   1.949621e+00
         186              1.635615e+00                   2.142016e+00
         187              1.635615e+00                   2.072362e+00
         188              1.635615e+00                   2.174477e+00
         189              1.635615e+00                   2.152654e+00
         190              1.635615e+00                   1.930047e+00
         191              1.635615e+00                   1.930615e+00
         192              1.635615e+00                   2.004645e+00
         193              1.635615e+00                   2.043383e+00
         194              1.635615e+00                   1.934663e+00
         195              1.635615e+00                   1.884403e+00
         196              1.635615e+00                   1.795375e+00
         197              1.635615e+00                   1.867306e+00
         198              1.635615e+00                   1.809899e+00
         199              1.635615e+00                   2.323234e+00
         200              1.635615e+00                   2.123804e+00
         201              1.635615e+00                   2.335765e+00
         202              1.635615e+00                   2.379134e+00
         203              1.635615e+00                   2.259649e+00
         204              1.635615e+00                   2.064090e+00
         205              1.635615e+00                   2.298231e+00
         206              1.635615e+00                   2.085613e+00
         207              1.635615e+00                   1.904370e+00
         208              1.635615e+00                   1.815390e+00
         209              1.635615e+00                   1.814107e+00
         210              1.635615e+00                   2.010898e+00
         211              1.635615e+00                   2.394932e+00
         212              1.635615e+00                   2.358679e+00
         213              1.635615e+00                   2.323757e+00
         214              1.635615e+00                   2.676276e+00
         215              1.635615e+00                   2.435604e+00
         216              1.635615e+00                   2.170373e+00
         217              1.635615e+00                   2.369664e+00
         218              1.635615e+00                   2.219775e+00
         219              1.635615e+00                   2.173422e+00
         220              1.635615e+00                   2.464857e+00
         221              1.635615e+00                   2.301441e+00
         222              1.635615e+00                   2.373969e+00
         223              1.635615e+00                   2.222071e+00
         224              1.635615e+00                   1.999970e+00
         225              1.635615e+00                   2.190001e+00
         226              1.635615e+00                   2.207697e+00
         227              1.635615e+00                   2.070801e+00
         228              1.635615e+00                   1.842158e+00
         229              1.635615e+00                   1.944265e+00
         230              1.635615e+00                   1.998832e+00
         231              1.635615e+00                   2.300047e+00
         232              1.635615e+00                   2.009359e+00
         233              1.635615e+00                   2.210229e+00
         234              1.635615e+00                   2.179348e+00
         235              1.635615e+00                   2.716805e+00
         236              1.635615e+00                   2.758411e+00
         237              1.635615e+00                   2.466346e+00
         238              1.635615e+00                   2.858046e+00
         239              1.635615e+00                   2.689977e+00
         240              1.635615e+00                   2.537931e+00
         241              1.635615e+00                   2.689947e+00
         242              1.635615e+00                   2.547121e+00
         243              1.635615e+00                   2.373953e+00
         244              1.635615e+00                   2.172608e+00
         245              1.635615e+00                   2.323126e+00
         246              1.635615e+00                   2.341416e+00
         247              1.635615e+00                   2.316308e+00
         248              1.635615e+00                   2.293247e+00
         249              1.635615e+00                   2.195329e+00
         250              1.635615e+00                   1.816814e+00
         251              1.635615e+00                   1.893427e+00
         252              1.635615e+00                   2.330091e+00
         253              1.635615e+00                   2.210917e+00
         254              1.635615e+00                   2.467870e+00
         255              1.635615e+00                   1.966330e+00
         256              1.635615e+00                   1.989313e+00
         257              1.635615e+00                   2.005885e+00
         258              1.635615e+00                   2.123678e+00
         259              1.635615e+00                   2.176287e+00
