    NUMERO_CITTA':          x:                 y:
           1           -0.377351            -0.330082
           2            0.229649            -0.168834
           3          -0.0228853            0.0718346
           4            0.205029            -0.413993
           5            0.156019             0.405484
           6           -0.128504             0.336567
           7            0.276048            -0.478862
           8           -0.331675            0.0724387
           9           -0.220767            0.0458579
          10           -0.482698            0.0831787
          11           -0.435357             0.254654
          12           -0.266843            -0.306707
          13          -0.0067737             0.256047
          14          -0.0208621           -0.0057403
          15           -0.242107            -0.260732
          16          -0.0282034            0.0849169
          17            0.116809            0.0804683
          18           -0.416046            -0.340741
          19            0.431865             0.254052
          20          0.00185779            -0.475716
          21            0.186006            -0.130649
          22            0.151955            -0.286148
          23             0.17838            -0.401786
          24            -0.37904             0.180137
          25           0.0772691             0.340005
          26           -0.447239           -0.0464925
          27            0.265764             0.470267
          28            -0.27389              0.49461
          29            0.418855             0.439875
          30            0.313285            -0.482058
          31           -0.366196             -0.44652
          32            0.213423            -0.388223
          33            0.485475            -0.100978
          34           -0.227249            -0.248635
