    # generation:          shortest_distance:          average_of_top_2000:
           1              6.273112536873766               7.21658068567307
           2              5.877687154584288              6.951031980968864
           3              5.867439429284798              6.677005564568951
           4              5.712120286979065              6.425400524515309
           5              5.535533101641783              6.221631218038232
           6              5.448324042826499              6.042722441893075
           7               5.41872834374221              5.888077247901486
           8              5.316782468873282              5.743575224300322
           9              5.173134243153124              5.622900146454609
          10              5.054306617887557              5.514445934209518
          11              4.919001928341134              5.410560226194763
          12              4.809969600402182              5.291578150268609
          13              4.722220386996644               5.16344708292862
          14              4.651747126753006              5.042327529248539
          15              4.540397978783153              4.925331381548923
          16              4.481102939822613              4.824902552533841
          17              4.398900701122849               4.73657432026973
          18              4.299481265375324              4.667146876877743
          19              4.176610894947554               4.58445442966131
          20               4.13703659223166              4.513498981465402
          21              3.957886200204533              4.430408790599704
          22              3.871539542856018              4.333453733441261
          23              3.794161180938434              4.231237309736247
          24              3.636612565687562              4.128054113458598
          25               3.55914183877923               4.01476059726683
          26               3.48933493167031              3.891936706072589
          27              3.456018278529941              3.784552191961417
          28              3.345109785637391              3.702171935645364
          29              3.345109785637391              3.623839555617814
          30               3.29637307003973              3.573428383472808
          31              3.282121109285217              3.519325860461911
          32              3.261931594523025              3.478245890484036
          33               3.21904937554723              3.430791336669832
          34              3.199261589006333              3.392582924696705
          35              3.151507896859005              3.347623915705756
          36              3.105147116123466              3.310795182954255
          37              3.044349271089265              3.275638897408943
          38              3.020903063927637              3.237780612134288
          39              2.994069094588768              3.202053366561517
          40              2.969521907205714              3.161330380961956
          41              2.912008575708246               3.11078388123368
          42              2.897756614953732              3.085504417007807
          43              2.870046602031922              3.049484301487237
          44              2.833461533895004              3.018442567646261
          45              2.821377078570422              2.989517528741462
          46              2.777594870546595              2.960076260895565
          47              2.757081997511694              2.927359519196453
          48              2.687044353122414              2.886058370737688
          49              2.655001900901841              2.855858304591591
          50              2.618038378908461              2.816869822829993
          51               2.56853760073579              2.776722357068631
          52              2.562120384729551              2.749406697300857
          53              2.562120384729551              2.713029433273825
          54              2.519566820311819              2.682156450526775
          55              2.519566820311819              2.649872512398103
          56              2.490275815194357               2.61962499500671
          57              2.480559387974862              2.596475757731962
          58              2.442009229671609              2.577901598769212
          59               2.38348006891544              2.559761445234439
