    NUMERO_CITTA':          x:                 y:
           1       -9.714080e-01        -2.374163e-01
           2       -2.008952e-01         9.796127e-01
           3       -9.932734e-01         1.157931e-01
           4        9.993164e-01         3.696959e-02
           5        2.198707e-01         9.755290e-01
           6        9.937109e-01         1.119765e-01
           7        7.531960e-01         6.577961e-01
           8       -9.538849e-01        -3.001725e-01
           9       -5.669399e-02         9.983916e-01
          10        6.351138e-01         7.724186e-01
          11        8.172873e-01        -5.762303e-01
          12        6.570942e-01         7.538085e-01
          13        6.532339e-02         9.978641e-01
          14        4.911011e-01        -8.711026e-01
          15       -7.726163e-03        -9.999702e-01
          16       -6.417117e-01        -7.669460e-01
          17        3.017282e-01         9.533940e-01
          18        5.406042e-01         8.412771e-01
          19       -4.543726e-01        -8.908118e-01
          20        9.196972e-01         3.926283e-01
          21       -8.086908e-01         5.882339e-01
          22       -4.643628e-01         8.856451e-01
          23        9.963832e-01        -8.497408e-02
          24       -5.528454e-01         8.332838e-01
          25       -9.223992e-01         3.862379e-01
          26        9.837894e-01         1.793276e-01
          27        5.660606e-01        -8.243636e-01
          28       -9.862077e-01        -1.655122e-01
          29       -8.880709e-01        -4.597065e-01
          30        6.064561e-01        -7.951170e-01
          31       -2.990357e-01        -9.542419e-01
          32        5.778707e-01        -8.161283e-01
          33       -1.870390e-01         9.823525e-01
          34        9.215468e-01        -3.882674e-01
