    NUMERO_CITTA':          x:                 y:
           1           -0.971408            -0.237416
           2           -0.200895             0.979613
           3           -0.993273             0.115793
           4            0.999316            0.0369696
           5            0.219871             0.975529
           6            0.993711             0.111976
           7            0.753196             0.657796
           8           -0.953885            -0.300172
           9           -0.056694             0.998392
          10            0.635114             0.772419
          11            0.817287             -0.57623
          12            0.657094             0.753808
          13           0.0653234             0.997864
          14            0.491101            -0.871103
          15         -0.00772616             -0.99997
          16           -0.641712            -0.766946
          17            0.301728             0.953394
          18            0.540604             0.841277
          19           -0.454373            -0.890812
          20            0.919697             0.392628
          21           -0.808691             0.588234
          22           -0.464363             0.885645
          23            0.996383           -0.0849741
          24           -0.552845             0.833284
          25           -0.922399             0.386238
          26            0.983789             0.179328
          27            0.566061            -0.824364
          28           -0.986208            -0.165512
          29           -0.888071            -0.459706
          30            0.606456            -0.795117
          31           -0.299036            -0.954242
          32            0.577871            -0.816128
          33           -0.187039             0.982352
          34            0.921547            -0.388267
