#     BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1         1.410087e+00         1.410087e+00         0.000000e+00
           2         1.410202e+00         1.410145e+00         4.071639e-05
           3         1.410199e+00         1.410163e+00         3.092244e-05
           4         1.410146e+00         1.410159e+00         2.346443e-05
           5         1.410199e+00         1.410167e+00         2.010569e-05
           6         1.410179e+00         1.410169e+00         1.686573e-05
           7         1.410150e+00         1.410166e+00         1.466930e-05
           8         1.410222e+00         1.410173e+00         1.440821e-05
           9         1.410132e+00         1.410169e+00         1.350678e-05
          10         1.410133e+00         1.410165e+00         1.260996e-05
          11         1.410201e+00         1.410168e+00         1.187071e-05
          12         1.410028e+00         1.410157e+00         1.563419e-05
          13         1.410140e+00         1.410155e+00         1.448396e-05
          14         1.410058e+00         1.410148e+00         1.501064e-05
          15         1.409938e+00         1.410134e+00         1.948849e-05
          16         1.409977e+00         1.410125e+00         2.059152e-05
          17         1.410106e+00         1.410123e+00         1.940913e-05
          18         1.410163e+00         1.410126e+00         1.845542e-05
          19         1.410114e+00         1.410125e+00         1.749456e-05
          20         1.410105e+00         1.410124e+00         1.664986e-05
          21         1.410118e+00         1.410124e+00         1.585974e-05
          22         1.410085e+00         1.410122e+00         1.523679e-05
          23         1.410014e+00         1.410117e+00         1.527720e-05
          24         1.410087e+00         1.410116e+00         1.469401e-05
          25         1.410191e+00         1.410119e+00         1.440957e-05
          26         1.410281e+00         1.410125e+00         1.513877e-05
          27         1.410208e+00         1.410128e+00         1.488288e-05
          28         1.410119e+00         1.410128e+00         1.435495e-05
          29         1.410111e+00         1.410127e+00         1.387137e-05
          30         1.410087e+00         1.410126e+00         1.347292e-05
          31         1.410221e+00         1.410129e+00         1.338357e-05
          32         1.410217e+00         1.410132e+00         1.324568e-05
          33         1.410201e+00         1.410134e+00         1.300759e-05
          34         1.410124e+00         1.410134e+00         1.262844e-05
          35         1.410145e+00         1.410134e+00         1.227149e-05
          36         1.410205e+00         1.410136e+00         1.208649e-05
          37         1.410136e+00         1.410136e+00         1.175983e-05
          38         1.410054e+00         1.410134e+00         1.164569e-05
          39         1.410145e+00         1.410134e+00         1.135072e-05
          40         1.410129e+00         1.410134e+00         1.106780e-05
          41         1.410057e+00         1.410132e+00         1.095484e-05
          42         1.410004e+00         1.410129e+00         1.110714e-05
          43         1.410003e+00         1.410126e+00         1.122776e-05
          44         1.410011e+00         1.410123e+00         1.127165e-05
          45         1.409932e+00         1.410119e+00         1.179377e-05
          46         1.410106e+00         1.410119e+00         1.154098e-05
          47         1.410088e+00         1.410118e+00         1.131462e-05
          48         1.410065e+00         1.410117e+00         1.113299e-05
          49         1.410151e+00         1.410118e+00         1.092677e-05
          50         1.410104e+00         1.410118e+00         1.071155e-05
          51         1.410152e+00         1.410118e+00         1.052235e-05
          52         1.410085e+00         1.410118e+00         1.033959e-05
          53         1.410179e+00         1.410119e+00         1.021017e-05
          54         1.410190e+00         1.410120e+00         1.010506e-05
          55         1.410165e+00         1.410121e+00         9.954938e-06
          56         1.409928e+00         1.410117e+00         1.035618e-05
          57         1.410011e+00         1.410116e+00         1.034175e-05
          58         1.410015e+00         1.410114e+00         1.030923e-05
          59         1.410028e+00         1.410112e+00         1.023726e-05
          60         1.410089e+00         1.410112e+00         1.007398e-05
          61         1.409988e+00         1.410110e+00         1.011037e-05
          62         1.410075e+00         1.410109e+00         9.963386e-06
          63         1.410136e+00         1.410110e+00         9.814194e-06
          64         1.410258e+00         1.410112e+00         9.930812e-06
          65         1.410160e+00         1.410113e+00         9.805642e-06
          66         1.410190e+00         1.410114e+00         9.726686e-06
          67         1.410180e+00         1.410115e+00         9.631019e-06
          68         1.410239e+00         1.410117e+00         9.660055e-06
          69         1.410156e+00         1.410117e+00         9.537077e-06
          70         1.409942e+00         1.410115e+00         9.723300e-06
          71         1.410005e+00         1.410113e+00         9.707830e-06
          72         1.410141e+00         1.410114e+00         9.580378e-06
          73         1.410150e+00         1.410114e+00         9.462269e-06
          74         1.409997e+00         1.410113e+00         9.466636e-06
          75         1.410053e+00         1.410112e+00         9.373793e-06
          76         1.410076e+00         1.410111e+00         9.262298e-06
          77         1.410128e+00         1.410112e+00         9.144610e-06
          78         1.410174e+00         1.410112e+00         9.061889e-06
          79         1.410099e+00         1.410112e+00         8.948883e-06
          80         1.410055e+00         1.410112e+00         8.865655e-06
          81         1.409998e+00         1.410110e+00         8.865933e-06
          82         1.410032e+00         1.410109e+00         8.808268e-06
          83         1.410026e+00         1.410108e+00         8.758453e-06
          84         1.410013e+00         1.410107e+00         8.726680e-06
          85         1.410138e+00         1.410107e+00         8.631621e-06
          86         1.410226e+00         1.410109e+00         8.640591e-06
          87         1.410198e+00         1.410110e+00         8.601880e-06
          88         1.410140e+00         1.410110e+00         8.510970e-06
          89         1.410135e+00         1.410110e+00         8.419955e-06
          90         1.410227e+00         1.410112e+00         8.424760e-06
          91         1.410219e+00         1.410113e+00         8.414594e-06
          92         1.410196e+00         1.410114e+00         8.371317e-06
          93         1.410174e+00         1.410115e+00         8.306094e-06
          94         1.410078e+00         1.410114e+00         8.226835e-06
          95         1.410049e+00         1.410113e+00         8.168443e-06
          96         1.410103e+00         1.410113e+00         8.084124e-06
          97         1.410107e+00         1.410113e+00         8.001059e-06
          98         1.410208e+00         1.410114e+00         7.977139e-06
          99         1.410149e+00         1.410115e+00         7.904273e-06
         100         1.410021e+00         1.410114e+00         7.880522e-06
