#     BLOCK:          ACTUAL_PE:              PE_AVE:              ERROR:
           1        -5.023519e+00        -5.023519e+00         0.000000e+00
           2        -5.016078e+00        -5.019798e+00         2.630964e-03
           3        -5.047688e+00        -5.029095e+00         7.790601e-03
           4        -5.018852e+00        -5.026534e+00         6.249649e-03
           5        -5.021551e+00        -5.025537e+00         5.078567e-03
           6        -5.035817e+00        -5.027251e+00         4.511860e-03
           7        -5.009727e+00        -5.024747e+00         4.508599e-03
           8        -4.976152e+00        -5.018673e+00         6.917326e-03
           9        -5.020032e+00        -5.018824e+00         6.150383e-03
          10        -5.003118e+00        -5.017253e+00         5.732374e-03
          11        -5.039691e+00        -5.019293e+00         5.562334e-03
          12        -5.026729e+00        -5.019913e+00         5.133208e-03
          13        -5.009831e+00        -5.019137e+00         4.796577e-03
          14        -5.033018e+00        -5.020129e+00         4.555282e-03
          15        -5.022974e+00        -5.020318e+00         4.255544e-03
          16        -5.025331e+00        -5.020632e+00         4.001087e-03
          17        -5.000628e+00        -5.019455e+00         3.934947e-03
          18        -5.014323e+00        -5.019170e+00         3.726655e-03
          19        -5.064946e+00        -5.021579e+00         4.238361e-03
          20        -5.048897e+00        -5.022945e+00         4.240828e-03
          21        -4.991259e+00        -5.021436e+00         4.298935e-03
          22        -5.028839e+00        -5.021773e+00         4.116676e-03
          23        -5.009854e+00        -5.021255e+00         3.970171e-03
          24        -5.040059e+00        -5.022038e+00         3.881295e-03
          25        -5.034178e+00        -5.022524e+00         3.756298e-03
          26        -5.046661e+00        -5.023452e+00         3.724784e-03
          27        -5.014664e+00        -5.023127e+00         3.601020e-03
          28        -5.023551e+00        -5.023142e+00         3.472444e-03
          29        -5.008586e+00        -5.022640e+00         3.388788e-03
          30        -5.025386e+00        -5.022731e+00         3.277064e-03
          31        -5.025787e+00        -5.022830e+00         3.172835e-03
          32        -5.045618e+00        -5.023542e+00         3.152587e-03
          33        -5.027061e+00        -5.023649e+00         3.058857e-03
          34        -5.042552e+00        -5.024205e+00         3.018997e-03
          35        -5.011681e+00        -5.023847e+00         2.953869e-03
          36        -5.026437e+00        -5.023919e+00         2.872693e-03
          37        -5.047247e+00        -5.024549e+00         2.863407e-03
          38        -5.046894e+00        -5.025137e+00         2.847791e-03
          39        -5.045919e+00        -5.025670e+00         2.824186e-03
          40        -5.008435e+00        -5.025239e+00         2.786257e-03
          41        -5.030490e+00        -5.025367e+00         2.721242e-03
          42        -5.028289e+00        -5.025437e+00         2.657339e-03
          43        -5.019630e+00        -5.025302e+00         2.598970e-03
          44        -5.005888e+00        -5.024861e+00         2.577085e-03
          45        -5.028416e+00        -5.024940e+00         2.521027e-03
          46        -5.029760e+00        -5.025044e+00         2.468399e-03
          47        -5.045275e+00        -5.025475e+00         2.453122e-03
          48        -4.993993e+00        -5.024819e+00         2.488148e-03
          49        -5.045667e+00        -5.025244e+00         2.473479e-03
          50        -5.014350e+00        -5.025027e+00         2.433587e-03
