#     BLOCK:          ACTUAL_P:              P_AVE:              ERROR:
           1         2.111541e+00         2.111541e+00         0.000000e+00
           2         2.099889e+00         2.105715e+00         4.119785e-03
           3         2.060110e+00         2.090513e+00         1.271237e-02
           4         2.162026e+00         2.108391e+00         1.818297e-02
           5         2.239715e+00         2.134656e+00         2.763095e-02
           6         2.089852e+00         2.127189e+00         2.401363e-02
           7         2.169004e+00         2.133162e+00         2.131315e-02
           8         2.373558e+00         2.163212e+00         3.373249e-02
           9         2.103107e+00         2.156534e+00         3.063839e-02
          10         2.231415e+00         2.164022e+00         2.847491e-02
          11         2.146438e+00         2.162423e+00         2.593111e-02
          12         2.131336e+00         2.159833e+00         2.389924e-02
          13         2.148235e+00         2.158940e+00         2.207748e-02
          14         2.061139e+00         2.151955e+00         2.157746e-02
          15         2.132075e+00         2.150629e+00         2.017962e-02
          16         2.151266e+00         2.150669e+00         1.891843e-02
          17         2.265544e+00         2.157427e+00         1.897404e-02
          18         2.210131e+00         2.160355e+00         1.814444e-02
          19         1.939920e+00         2.148753e+00         2.056686e-02
          20         1.983002e+00         2.140465e+00         2.114243e-02
          21         2.285981e+00         2.147395e+00         2.124084e-02
          22         2.142501e+00         2.147172e+00         2.027651e-02
          23         2.229126e+00         2.150735e+00         1.970552e-02
          24         2.029807e+00         2.145697e+00         1.951802e-02
          25         2.157071e+00         2.146152e+00         1.874260e-02
          26         2.084967e+00         2.143798e+00         1.816887e-02
          27         2.147158e+00         2.143923e+00         1.749637e-02
          28         2.179674e+00         2.145200e+00         1.691803e-02
          29         2.142133e+00         2.145094e+00         1.633498e-02
          30         2.062624e+00         2.142345e+00         1.602012e-02
          31         2.105258e+00         2.141148e+00         1.554795e-02
          32         2.033543e+00         2.137786e+00         1.542143e-02
          33         2.166154e+00         2.138645e+00         1.497805e-02
          34         2.076938e+00         2.136831e+00         1.464707e-02
          35         2.157851e+00         2.137431e+00         1.424089e-02
          36         2.112371e+00         2.136735e+00         1.386231e-02
          37         1.987462e+00         2.132701e+00         1.406248e-02
          38         1.992550e+00         2.129012e+00         1.416781e-02
          39         2.105116e+00         2.128400e+00         1.381778e-02
          40         2.261161e+00         2.131719e+00         1.386522e-02
          41         2.135122e+00         2.131802e+00         1.352729e-02
          42         2.163148e+00         2.132548e+00         1.322579e-02
          43         2.209937e+00         2.134348e+00         1.304009e-02
          44         2.158603e+00         2.134899e+00         1.275537e-02
          45         2.093717e+00         2.133984e+00         1.250471e-02
          46         2.095639e+00         2.133150e+00         1.226062e-02
          47         2.026885e+00         2.130889e+00         1.220644e-02
          48         2.257685e+00         2.133531e+00         1.223463e-02
          49         2.091615e+00         2.132676e+00         1.201482e-02
          50         2.210640e+00         2.134235e+00         1.187527e-02
          51         2.143603e+00         2.134419e+00         1.164384e-02
          52         2.089175e+00         2.133548e+00         1.145238e-02
          53         2.083654e+00         2.132607e+00         1.127493e-02
          54         2.151354e+00         2.132954e+00         1.107148e-02
          55         2.120816e+00         2.132733e+00         1.087238e-02
          56         2.173066e+00         2.133454e+00         1.070206e-02
          57         1.970805e+00         2.130600e+00         1.088807e-02
          58         2.055659e+00         2.129308e+00         1.077674e-02
          59         2.006508e+00         2.127227e+00         1.079320e-02
          60         2.074814e+00         2.126353e+00         1.064861e-02
          61         2.040912e+00         2.124953e+00         1.056576e-02
          62         2.175528e+00         2.125768e+00         1.042678e-02
          63         2.099651e+00         2.125354e+00         1.026952e-02
          64         2.166997e+00         2.126004e+00         1.012965e-02
          65         2.199210e+00         2.127131e+00         1.003622e-02
          66         2.185481e+00         2.128015e+00         9.923022e-03
          67         2.077186e+00         2.127256e+00         9.803874e-03
          68         2.200434e+00         2.128332e+00         9.718582e-03
          69         2.192717e+00         2.129265e+00         9.622424e-03
          70         2.053741e+00         2.128186e+00         9.545256e-03
          71         2.186956e+00         2.129014e+00         9.446637e-03
          72         2.217237e+00         2.130240e+00         9.394565e-03
          73         2.151267e+00         2.130528e+00         9.270287e-03
          74         2.163398e+00         2.130972e+00         9.155649e-03
          75         2.133529e+00         2.131006e+00         9.033637e-03
          76         2.211365e+00         2.132063e+00         8.976441e-03
          77         2.278197e+00         2.133961e+00         9.058268e-03
          78         2.193822e+00         2.134728e+00         8.974587e-03
          79         2.036718e+00         2.133488e+00         8.946326e-03
          80         2.138974e+00         2.133556e+00         8.834759e-03
          81         2.001759e+00         2.131929e+00         8.874261e-03
          82         2.040932e+00         2.130820e+00         8.835152e-03
          83         2.114385e+00         2.130622e+00         8.730923e-03
          84         2.134786e+00         2.130671e+00         8.627124e-03
          85         2.132480e+00         2.130692e+00         8.525655e-03
          86         2.127783e+00         2.130659e+00         8.426586e-03
          87         2.074012e+00         2.130007e+00         8.354847e-03
          88         2.296395e+00         2.131898e+00         8.471152e-03
          89         2.096950e+00         2.131506e+00         8.385066e-03
          90         2.054119e+00         2.130646e+00         8.335869e-03
          91         2.376920e+00         2.133352e+00         8.672459e-03
          92         2.310888e+00         2.135282e+00         8.790269e-03
          93         2.390125e+00         2.138022e+00         9.112865e-03
          94         2.292800e+00         2.139669e+00         9.163468e-03
          95         2.191808e+00         2.140217e+00         9.083432e-03
          96         2.188020e+00         2.140715e+00         9.002451e-03
          97         2.295940e+00         2.142316e+00         9.050753e-03
          98         2.104793e+00         2.141933e+00         8.966493e-03
          99         2.116865e+00         2.141680e+00         8.879497e-03
         100         2.181273e+00         2.142075e+00         8.799525e-03
