#     BLOCK:          ACTUAL_P:              P_AVE:              ERROR:
           1         9.666012e+00         9.666012e+00         0.000000e+00
           2         9.670147e+00         9.668080e+00         1.462135e-03
           3         9.650955e+00         9.662371e+00         4.761582e-03
           4         9.624867e+00         9.652995e+00         8.870596e-03
           5         9.649019e+00         9.652200e+00         7.132040e-03
           6         9.630669e+00         9.648611e+00         6.786389e-03
           7         9.635427e+00         9.646728e+00         6.072642e-03
           8         9.675727e+00         9.650353e+00         6.303288e-03
           9         9.664703e+00         9.651947e+00         5.801075e-03
          10         9.642879e+00         9.651041e+00         5.291365e-03
          11         9.628641e+00         9.649004e+00         5.187384e-03
          12         9.661873e+00         9.650077e+00         4.864692e-03
          13         9.644898e+00         9.649678e+00         4.506768e-03
          14         9.639602e+00         9.648959e+00         4.241939e-03
          15         9.656988e+00         9.649494e+00         3.992777e-03
          16         9.660103e+00         9.650157e+00         3.797883e-03
          17         9.648936e+00         9.650085e+00         3.575156e-03
          18         9.659217e+00         9.650592e+00         3.412340e-03
          19         9.638592e+00         9.649961e+00         3.290680e-03
          20         9.666969e+00         9.650811e+00         3.234170e-03
          21         9.655129e+00         9.651017e+00         3.086690e-03
          22         9.649369e+00         9.650942e+00         2.947294e-03
          23         9.667113e+00         9.651645e+00         2.901800e-03
          24         9.662504e+00         9.652097e+00         2.815945e-03
          25         9.650608e+00         9.652038e+00         2.703938e-03
          26         9.644612e+00         9.651752e+00         2.614979e-03
          27         9.660959e+00         9.652093e+00         2.540262e-03
          28         9.633487e+00         9.651429e+00         2.534964e-03
          29         9.655576e+00         9.651572e+00         2.451583e-03
          30         9.647603e+00         9.651439e+00         2.373430e-03
          31         9.671828e+00         9.652097e+00         2.386255e-03
          32         9.646771e+00         9.651931e+00         2.317481e-03
          33         9.648823e+00         9.651837e+00         2.249167e-03
          34         9.648355e+00         9.651734e+00         2.185345e-03
          35         9.640960e+00         9.651426e+00         2.144477e-03
          36         9.670745e+00         9.651963e+00         2.151005e-03
          37         9.654072e+00         9.652020e+00         2.093624e-03
          38         9.641085e+00         9.651732e+00         2.058208e-03
          39         9.663938e+00         9.652045e+00         2.029089e-03
          40         9.641236e+00         9.651775e+00         1.996273e-03
          41         9.633496e+00         9.651329e+00         1.996744e-03
          42         9.624892e+00         9.650700e+00         2.046016e-03
          43         9.641824e+00         9.650493e+00         2.008819e-03
          44         9.644519e+00         9.650357e+00         1.967747e-03
          45         9.661721e+00         9.650610e+00         1.940154e-03
          46         9.660505e+00         9.650825e+00         1.909865e-03
          47         9.673183e+00         9.651301e+00         1.927564e-03
          48         9.650990e+00         9.651294e+00         1.887417e-03
          49         9.671936e+00         9.651716e+00         1.895326e-03
          50         9.644262e+00         9.651567e+00         1.863272e-03
          51         9.663940e+00         9.651809e+00         1.842466e-03
          52         9.648316e+00         9.651742e+00         1.808258e-03
          53         9.643590e+00         9.651588e+00         1.780670e-03
          54         9.645980e+00         9.651484e+00         1.750721e-03
          55         9.666723e+00         9.651761e+00         1.740675e-03
          56         9.674326e+00         9.652164e+00         1.755611e-03
          57         9.662578e+00         9.652347e+00         1.734291e-03
          58         9.650134e+00         9.652309e+00         1.704809e-03
          59         9.640412e+00         9.652107e+00         1.687797e-03
          60         9.649082e+00         9.652057e+00         1.660420e-03
          61         9.640023e+00         9.651859e+00         1.644877e-03
          62         9.635826e+00         9.651601e+00         1.638549e-03
          63         9.641547e+00         9.651441e+00         1.620293e-03
          64         9.622152e+00         9.650984e+00         1.658347e-03
          65         9.660588e+00         9.651131e+00         1.639404e-03
          66         9.679486e+00         9.651561e+00         1.669908e-03
          67         9.634457e+00         9.651306e+00         1.664383e-03
          68         9.668819e+00         9.651563e+00         1.659712e-03
          69         9.654097e+00         9.651600e+00         1.636065e-03
          70         9.637637e+00         9.651401e+00         1.624806e-03
          71         9.649536e+00         9.651374e+00         1.602134e-03
          72         9.618438e+00         9.650917e+00         1.643890e-03
          73         9.641706e+00         9.650791e+00         1.626206e-03
          74         9.640362e+00         9.650650e+00         1.610325e-03
          75         9.657019e+00         9.650735e+00         1.591092e-03
          76         9.632133e+00         9.650490e+00         1.588871e-03
          77         9.658227e+00         9.650590e+00         1.571410e-03
          78         9.659144e+00         9.650700e+00         1.555085e-03
          79         9.654712e+00         9.650751e+00         1.536229e-03
          80         9.619704e+00         9.650363e+00         1.565278e-03
          81         9.675982e+00         9.650679e+00         1.577586e-03
          82         9.666051e+00         9.650867e+00         1.569445e-03
          83         9.634103e+00         9.650665e+00         1.563478e-03
          84         9.660689e+00         9.650784e+00         1.549412e-03
          85         9.638838e+00         9.650643e+00         1.537545e-03
          86         9.650130e+00         9.650637e+00         1.519678e-03
          87         9.653497e+00         9.650670e+00         1.502566e-03
          88         9.630573e+00         9.650442e+00         1.502747e-03
          89         9.640908e+00         9.650335e+00         1.489676e-03
          90         9.633217e+00         9.650145e+00         1.485216e-03
          91         9.626664e+00         9.649887e+00         1.491140e-03
          92         9.646003e+00         9.649844e+00         1.475530e-03
          93         9.650703e+00         9.649854e+00         1.459692e-03
          94         9.653568e+00         9.649893e+00         1.444699e-03
          95         9.667285e+00         9.650076e+00         1.441044e-03
          96         9.656747e+00         9.650146e+00         1.427707e-03
          97         9.629391e+00         9.649932e+00         1.428931e-03
          98         9.649915e+00         9.649931e+00         1.414350e-03
          99         9.644905e+00         9.649881e+00         1.400975e-03
         100         9.642610e+00         9.649808e+00         1.388850e-03
