    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         4.529877e+03         4.529877e+03         0.000000e+00
           2         4.401225e+03         4.465551e+03         4.548535e+01
           3         4.345838e+03         4.425647e+03         4.450939e+01
           4         4.623080e+03         4.475005e+03         5.423603e+01
           5         4.433834e+03         4.466771e+03         4.400947e+01
           6         4.511276e+03         4.474188e+03         3.729440e+01
           7         4.519104e+03         4.480605e+03         3.251393e+01
           8         4.438647e+03         4.475360e+03         2.886960e+01
           9         4.587019e+03         4.487767e+03         2.820196e+01
          10         4.508711e+03         4.489861e+03         2.545942e+01
          11         4.654704e+03         4.504847e+03         2.720005e+01
          12         4.594752e+03         4.512339e+03         2.594470e+01
          13         4.513004e+03         4.512390e+03         2.394900e+01
          14         4.677416e+03         4.524178e+03         2.497131e+01
          15         4.467090e+03         4.520372e+03         2.359479e+01
          16         4.611338e+03         4.526057e+03         2.279480e+01
          17         4.650608e+03         4.533384e+03         2.260070e+01
          18         4.576092e+03         4.535756e+03         2.146929e+01
          19         4.691658e+03         4.543962e+03         2.185114e+01
          20         4.212285e+03         4.527378e+03         2.630953e+01
