    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         2.330300e+00         2.330300e+00         0.000000e+00
           2         2.388900e+00         2.359600e+00         2.071823e-02
           3         3.047100e+00         2.588767e+00         1.876229e-01
           4         2.740200e+00         2.626625e+00         1.444862e-01
           5         2.180800e+00         2.537460e+00         1.404319e-01
           6         2.186200e+00         2.478917e+00         1.286520e-01
           7         2.560000e+00         2.490500e+00         1.107933e-01
           8         2.813800e+00         2.530912e+00         1.040538e-01
           9         2.932700e+00         2.575556e+00         1.016188e-01
          10         2.269800e+00         2.544980e+00         9.594658e-02
          11         2.867600e+00         2.574309e+00         9.159722e-02
          12         2.481300e+00         2.566558e+00         8.429141e-02
          13         2.930200e+00         2.594531e+00         8.231809e-02
          14         2.650600e+00         2.598536e+00         7.653559e-02
          15         2.274900e+00         2.576960e+00         7.441224e-02
          16         1.950900e+00         2.537831e+00         7.938533e-02
          17         1.713200e+00         2.489324e+00         8.830068e-02
          18         3.068400e+00         2.521494e+00         8.906295e-02
          19         2.766800e+00         2.534405e+00         8.530609e-02
          20         2.796100e+00         2.547490e+00         8.203815e-02
