    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1         2.458200e+00         2.458200e+00         0.000000e+00
           2         2.615300e+00         2.536750e+00         5.554324e-02
           3         2.416300e+00         2.496600e+00         4.945519e-02
           4         2.440900e+00         2.482675e+00         3.900257e-02
           5         2.530600e+00         2.492260e+00         3.235840e-02
           6         2.732200e+00         2.532250e+00         4.538498e-02
           7         2.498600e+00         2.527443e+00         3.915516e-02
           8         2.607500e+00         2.537450e+00         3.551655e-02
           9         2.286400e+00         2.509556e+00         4.108925e-02
          10         2.459200e+00         2.504520e+00         3.728760e-02
          11         2.564700e+00         2.509991e+00         3.429682e-02
          12         2.547700e+00         2.513133e+00         3.158239e-02
          13         2.639600e+00         2.522862e+00         3.061460e-02
          14         2.706200e+00         2.535957e+00         3.110286e-02
          15         2.173300e+00         2.511780e+00         3.725946e-02
          16         2.347200e+00         2.501494e+00         3.632287e-02
          17         2.996300e+00         2.530600e+00         4.434003e-02
          18         2.473900e+00         2.527450e+00         4.198844e-02
          19         2.935700e+00         2.548937e+00         4.494125e-02
          20         3.219000e+00         2.582440e+00         5.375065e-02
