    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1        -5.329400e+00        -5.329400e+00         0.000000e+00
           2         2.271010e+01         8.690350e+00         9.913460e+00
           3         1.685530e+01         1.141200e+01         6.972574e+00
           4         2.648920e+01         1.518130e+01         6.164630e+00
           5        -1.697780e+01         8.749480e+00         7.577358e+00
           6        -1.711450e+01         4.438817e+00         7.440249e+00
           7         2.267170e+01         7.043514e+00         6.818058e+00
           8         5.566700e+00         6.858912e+00         5.968300e+00
           9         1.719130e+01         8.006956e+00         5.414446e+00
          10        -3.216080e+01         3.990180e+00         6.186048e+00
          11         1.104330e+01         4.631373e+00         5.656812e+00
          12         1.105730e+01         5.166867e+00         5.210695e+00
          13         4.750100e+00         5.134808e+00         4.809971e+00
          14        -5.779400e+00         4.355221e+00         4.529138e+00
          15        -2.140830e+01         2.637653e+00         4.541206e+00
          16        -4.495500e+00         2.191831e+00         4.279208e+00
          17         5.184700e+00         2.367882e+00         4.031110e+00
          18        -2.561600e+00         2.094022e+00         3.816451e+00
          19        -3.111000e-01         1.967437e+00         3.617684e+00
          20         1.824870e+01         2.781500e+00         3.527202e+00
