    # BLOCK:          ACTUAL_M:          M_AVE:              ERROR:
           1        -4.639000e-01        -4.639000e-01         0.000000e+00
           2        -1.731000e-01        -3.185000e-01         1.028133e-01
           3         3.230000e-01        -1.046667e-01         1.875664e-01
           4         1.426000e-01        -4.285000e-02         1.505170e-01
           5         3.421000e-01         3.414000e-02         1.387134e-01
           6        -2.975000e-01        -2.113333e-02         1.261271e-01
           7         2.400000e-03        -1.777143e-02         1.081537e-01
           8         5.800000e-03        -1.482500e-02         9.467464e-02
           9         2.355000e-01         1.298889e-02         8.814624e-02
          10         8.380000e-02         2.007000e-02         7.961553e-02
          11         4.810000e-02         2.261818e-02         7.241852e-02
          12         2.587000e-01         4.229167e-02         6.900421e-02
          13        -4.330000e-02         3.570769e-02         6.400952e-02
          14         1.866000e-01         4.648571e-02         6.033800e-02
          15         1.911000e-01         5.612667e-02         5.708050e-02
          16        -1.211000e-01         4.505000e-02         5.457712e-02
          17        -6.790000e-02         3.840588e-02         5.176954e-02
          18         5.310000e-02         3.922222e-02         4.889989e-02
          19         3.191000e-01         5.395263e-02         4.849415e-02
          20        -3.337000e-01         3.457000e-02         4.979253e-02
