    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.249065e+01         1.249065e+01         0.000000e+00
           2         1.269079e+01         1.259072e+01         7.076050e-02
           3         1.266185e+01         1.261443e+01         5.099188e-02
           4         1.284944e+01         1.267318e+01         6.365188e-02
           5         1.248618e+01         1.263578e+01         6.092658e-02
           6         1.256951e+01         1.262474e+01         5.176358e-02
           7         1.259150e+01         1.261999e+01         4.458594e-02
           8         1.258135e+01         1.261516e+01         3.927341e-02
           9         1.255171e+01         1.260811e+01         3.553678e-02
          10         1.247773e+01         1.259507e+01         3.429149e-02
          11         1.260732e+01         1.259618e+01         3.119215e-02
          12         1.258142e+01         1.259495e+01         2.861707e-02
          13         1.252611e+01         1.258966e+01         2.690135e-02
          14         1.264317e+01         1.259348e+01         2.524991e-02
          15         1.251759e+01         1.258842e+01         2.406810e-02
          16         1.261392e+01         1.259001e+01         2.261656e-02
          17         1.252329e+01         1.258609e+01         2.162409e-02
          18         1.269957e+01         1.259239e+01         2.132196e-02
          19         1.236932e+01         1.258065e+01         2.320824e-02
          20         1.256188e+01         1.257971e+01         2.206680e-02
