    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.497577e+01         1.497577e+01         0.000000e+00
           2         1.500222e+01         1.498900e+01         9.351870e-03
           3         1.501771e+01         1.499857e+01         9.996497e-03
           4         1.479217e+01         1.494697e+01         4.530985e-02
           5         1.493861e+01         1.494530e+01         3.627867e-02
           6         1.480171e+01         1.492137e+01         3.729940e-02
           7         1.462504e+01         1.487903e+01         5.057840e-02
           8         1.515610e+01         1.491367e+01         5.484680e-02
           9         1.458738e+01         1.487741e+01         5.954113e-02
          10         1.485278e+01         1.487495e+01         5.363794e-02
          11         1.512092e+01         1.489731e+01         5.321909e-02
          12         1.488352e+01         1.489616e+01         4.879656e-02
          13         1.475313e+01         1.488516e+01         4.626678e-02
          14         1.466582e+01         1.486949e+01         4.553752e-02
          15         1.499473e+01         1.487784e+01         4.326034e-02
          16         1.466773e+01         1.486471e+01         4.250302e-02
          17         1.467050e+01         1.485328e+01         4.150980e-02
          18         1.492536e+01         1.485729e+01         3.939633e-02
          19         1.505819e+01         1.486786e+01         3.871582e-02
          20         1.476330e+01         1.486263e+01         3.713137e-02
