    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         1.074271e+01         1.074271e+01         0.000000e+00
           2         1.055822e+01         1.065047e+01         6.522679e-02
           3         1.078248e+01         1.069447e+01         5.640786e-02
           4         1.066021e+01         1.068591e+01         4.295152e-02
           5         1.074711e+01         1.069815e+01         3.606353e-02
           6         1.055522e+01         1.067433e+01         3.709523e-02
           7         1.065710e+01         1.067187e+01         3.187746e-02
           8         1.056611e+01         1.065865e+01         3.051111e-02
           9         1.052866e+01         1.064420e+01         3.034755e-02
          10         1.068555e+01         1.064834e+01         2.759299e-02
          11         1.064682e+01         1.064820e+01         2.508488e-02
          12         1.070733e+01         1.065313e+01         2.347339e-02
          13         1.070539e+01         1.065715e+01         2.200937e-02
          14         1.072605e+01         1.066207e+01         2.098035e-02
          15         1.044795e+01         1.064779e+01         2.395027e-02
          16         1.065432e+01         1.064820e+01         2.245685e-02
          17         1.077385e+01         1.065559e+01         2.231905e-02
          18         1.062562e+01         1.065393e+01         2.114111e-02
          19         1.051286e+01         1.064650e+01         2.129229e-02
          20         1.056529e+01         1.064244e+01         2.061122e-02
