    # BLOCK:          ACTUAL_CV:          CV_AVE:              ERROR:
           1         2.103693e+01         2.103693e+01         0.000000e+00
           2         2.072287e+01         2.087990e+01         1.110359e-01
           3         2.058644e+01         2.078208e+01         1.088973e-01
           4         2.162160e+01         2.099196e+01         1.992669e-01
           5         2.049829e+01         2.089323e+01         1.822397e-01
           6         2.109268e+01         2.092647e+01         1.548686e-01
           7         2.140274e+01         2.099451e+01         1.469320e-01
           8         2.033172e+01         2.091166e+01         1.501163e-01
           9         2.132884e+01         2.095801e+01         1.404110e-01
          10         2.109999e+01         2.097221e+01         1.270857e-01
          11         2.069956e+01         2.094742e+01         1.179248e-01
          12         2.123683e+01         2.097154e+01         1.105363e-01
          13         2.151617e+01         2.101344e+01         1.096859e-01
          14         2.087350e+01         2.100344e+01         1.023056e-01
          15         2.158994e+01         2.104254e+01         1.026856e-01
          16         2.054534e+01         2.101147e+01         1.008602e-01
          17         2.096224e+01         2.100857e+01         9.496878e-02
          18         2.171724e+01         2.104794e+01         9.751263e-02
          19         2.042910e+01         2.101537e+01         9.766846e-02
          20         2.128199e+01         2.102870e+01         9.369041e-02
